Rank_1994,Rank_1995,Rank_1996,Rank_1997,Rank_1998,Rank_1999,Rank_2000,Rank_2001,Rank_2002,Rank_2003,Rank_2004,Rank_2005,Rank_2006,Rank_2007,Rank_2008,Rank_2009,Rank_2010,Rank_2011,Rank_2012,Rank_2013,Rank_2014,Rank_2015,Rank_2016,Rank_2017,Rank_2018,Rank_2019,Rank_2020,Rank_2021,Rank_2022,Rank_2023
1,4,3,2,1,-1,3T,-1,1,1,6,-1,5,6,4,8,1,1,3,1,1.0,1,3,1,1.0,1.0,3.0,1.0,3.0,6.0
2,1,6,1,2,4,1,1,3T,11,2,9,3,2,1,1,-1,5,18T,3.0,4.0,3.0,1,2.0,3,2.0,1.0,9.0,6.0,-1.0
4,2,4,-1,4,1,5T,5T,2,4,-1.0,18T,7,21T,9,-1,-1,2,2.0,21,13T,4,2,3,15T,5.0,11,5.0,1,2.0
7T,3,-1.0,3,3,7T,2,3,-1,-1,-1,10,-1.0,1,2,2,4,6.0,12T,13,7.0,5.0,4.0,-1.0,-1.0,6T,8T,6.0,10,1.0
3,5,2,6T,5T,3,-1,1,3T,5.0,7,7,2,4,-1,5,6,12T,5,8.0,5,2,10,-1,6,-1.0,2,3,-1,-1.0
-1,6T,5,5,5T,5T,7,8T,-1,-1.0,5,-1.0,1,5,12,7,5,18,-1,6,3.0,13T,-1.0,5T,15T,6T,-1.0,-1,-1,7T
10,6T,7,4,11T,7T,3T,11T,-1,3,1,-1.0,13T,13T,6,-1,14,11,10,2,-1,15T,7.0,-1.0,-1,-1,-1.0,-1,5.0,-1.0
9,-1,8T,-1,11T,7T,8T,11T,-1,13T,10T,5,6,-1.0,-1,-1,10T,10.0,7,5.0,2.0,8,-1.0,-1.0,4.0,-1,10.0,7,4.0,-1.0
-1,-1,1,-1.0,5T,7T,8T,4.0,-1,-1.0,3,3,10T,3,-1,6,2,25,-1,7.0,-1.0,-1,11T,-1.0,-1,-1,-1,11T,-1.0,9T
7T,-1,-1,-1,11T,-1,-1,2,-1,6,-1.0,18T,13T,-1.0,16T,-1.0,12,3,-1.0,-1,13T,-1.0,-1,5T,-1,-1,-1,2.0,-1.0,9T
