Rank_1994,Rank_1995,Rank_1996,Rank_1997,Rank_1998,Rank_1999,Rank_2000,Rank_2001,Rank_2002,Rank_2003,Rank_2004,Rank_2005,Rank_2006,Rank_2007,Rank_2008,Rank_2009,Rank_2010,Rank_2011,Rank_2012,Rank_2013,Rank_2014,Rank_2015,Rank_2016,Rank_2017,Rank_2018,Rank_2019,Rank_2020,Rank_2021,Rank_2022,Rank_2023
1,1,3,2,1,4,5T,-1,1,1,6,-1,5,6,1,1,1,1,2.0,13,1.0,1,2,1,1.0,1.0,3.0,1.0,3.0,1.0
2,4,6,-1,2,1,1,-1,3T,-1,2,9,7,2,10,8,-1,2,18T,1,4.0,4,1,2.0,3,2.0,1.0,9.0,-1.0,2.0
7T,2,4,1,3,5T,3T,1,-1,4,7,18T,4,1,2,-1,-1,10.0,10,21,5,3.0,3,3,6,-1,2,5.0,-1,6.0
4,3,2,5,4,-1,2,1,2,13T,-1.0,11,3,21T,3,-1,6,6.0,-1,3.0,7.0,5.0,4.0,-1.0,-1,-1,11,6.0,6.0,3.0
3,6T,-1.0,3,5T,7T,-1,5T,-1,-1.0,3,10,4,13T,6,7,4,16,4,8.0,13T,2,10,5T,15T,3.0,10.0,-1.0,9,-1
10,6T,1,6T,11T,7T,7,3,-1,3,-1.0,-1.0,-1,3,9,6,10T,12T,-1,14,2.0,-1,-1,-1,15T,6T,-1.0,3,1,-1
-1,5,5,4,9T,7T,3T,11T,3T,8,3,-1,6,4,16T,2,12,11,6.0,-1,13T,15T,-1.0,-1.0,-1.0,-1,8T,-1,-1.0,-1
9,-1,7,-1.0,5T,3,-1,8T,-1,2,10T,1,13T,-1,7T,5,2,9,-1,6,10.0,6.0,11T,-1,-1,5.0,-1.0,10,-1,11.0
-1,-1,8T,-1,11T,-1,8T,2,-1,5.0,4,5,9,11T,11,-1.0,5,5,-1,-1,-1,13T,13T,-1.0,-1.0,-1,-1.0,-1,-1.0,9T
5,-1,-1,-1,5T,-1,8T,11T,-1.0,6,-1,18T,10T,8,4,-1.0,-1,8,7,2,8T,-1.0,-1.0,-1,8.0,-1,-1.0,-1.0,-1,9T
