,PLAYER,TEAM,AGE,GP,W,L,MIN,DEF RTG,DREB,DREB%,%DREB,STL,STL%,BLK,%BLK,OPP PTS OFF TOV,OPP PTS 2ND CHANCE,OPP PTS FB,OPP PTS PAINT,DEF WS
0,Tim Duncan,SAS,22,82,56,26,39.1,97.3,8.6,21.0,32.8,0.7,13.8,2.5,42.5,12.8,10.9,8.4,26.9,0.176
1,Wesley Person,CLE,27,82,47,35,39.0,97.6,3.6,9.7,15.7,1.6,19.5,0.6,14.3,15.2,10.7,11.0,30.1,0.174
2,David Robinson,SAS,32,73,50,23,33.7,95.3,7.3,20.4,31.9,0.9,20.9,2.6,51.1,11.3,9.5,6.9,21.9,0.174
3,Patrick Ewing,NYK,35,26,15,11,32.6,96.0,7.9,24.3,36.5,0.6,11.3,2.2,58.6,12.3,8.1,8.2,22.4,0.169
4,Shawn Kemp,CLE,28,80,47,33,34.6,96.4,6.6,20.1,32.0,1.4,17.8,1.1,29.9,12.6,9.4,9.3,26.2,0.167
5,Michael Jordan,CHI,35,82,62,20,38.8,98.3,4.2,11.0,17.7,1.7,26.2,0.5,16.0,11.6,10.6,10.0,29.9,0.163
6,Toni Kukoc,CHI,29,74,57,17,30.2,94.8,2.8,9.1,14.8,1.0,19.9,0.5,17.7,9.1,8.7,7.8,22.9,0.161
7,Avery Johnson,SAS,33,75,50,25,35.6,97.7,1.6,4.2,6.6,1.1,24.5,0.2,4.9,11.8,10.1,8.0,25.4,0.158
8,Brevin Knight,CLE,22,80,45,35,31.1,95.7,2.3,7.7,12.4,2.5,36.5,0.2,6.5,11.0,8.6,8.1,23.1,0.157
9,Alonzo Mourning,MIA,28,58,39,19,33.4,96.4,6.3,19.0,30.3,0.7,13.3,2.2,55.6,10.5,9.4,7.2,23.2,0.157
10,Rasheed Wallace,POR,23,77,43,34,37.6,98.5,4.5,11.8,18.6,1.0,17.4,1.1,26.7,13.3,9.4,10.1,27.6,0.157
11,Jaren Jackson,SAS,30,82,56,26,27.1,93.6,1.9,6.7,10.3,0.7,20.5,0.1,2.6,8.4,6.5,5.5,18.8,0.155
12,Mookie Blaylock,ATL,31,70,44,26,38.5,99.0,3.7,9.8,15.7,2.6,39.5,0.3,5.9,12.5,10.4,9.7,28.5,0.153
13,Dikembe Mutombo,ATL,32,82,50,32,35.5,97.8,8.0,22.4,36.2,0.4,7.7,3.4,68.2,11.1,9.7,9.4,24.8,0.152
14,Derek Anderson,CLE,23,66,40,26,27.8,95.0,2.0,7.7,12.7,1.3,22.7,0.2,7.0,10.7,7.0,7.6,20.7,0.148
15,Charles Oakley,NYK,34,79,42,37,34.6,98.1,6.4,19.7,31.0,1.6,27.2,0.3,12.5,11.0,8.7,6.7,23.3,0.147
16,Allan Houston,NYK,27,82,43,39,34.7,98.6,2.8,8.4,13.0,0.8,14.2,0.3,11.4,10.9,8.8,6.6,23.8,0.144
17,Chris Mills,NYK,28,80,42,38,27.3,95.1,3.6,13.6,21.4,0.6,12.2,0.4,19.7,8.4,7.1,5.0,18.1,0.143
18,Cedric Henderson,CLE,23,82,47,35,30.8,97.1,3.1,10.5,16.9,1.2,18.4,0.5,15.8,12.3,8.0,8.6,23.7,0.143
19,Tim Hardaway,MIA,31,81,55,26,37.4,99.7,3.1,8.3,13.5,1.7,28.6,0.2,4.7,12.4,11.2,8.4,29.1,0.142
20,Charlie Ward,NYK,27,82,43,39,28.3,96.1,3.0,10.7,16.2,1.8,37.6,0.5,21.0,8.8,6.7,5.4,18.4,0.141
21,Shaquille O'Neal,LAL,26,60,46,14,36.2,99.3,7.9,20.7,33.8,0.7,9.5,2.4,44.7,12.7,11.1,9.7,29.1,0.139
22,Sean Elliott,SAS,30,36,24,12,28.1,96.4,3.0,9.8,15.3,0.7,17.9,0.4,8.9,9.6,8.2,6.2,18.3,0.139
23,Zydrunas Ilgauskas,CLE,23,82,47,35,29.0,96.6,5.4,19.6,31.2,0.6,10.5,1.6,48.6,11.5,7.7,7.8,21.6,0.138
24,Scottie Pippen,CHI,32,44,36,8,37.6,100.2,4.0,10.9,17.3,1.8,26.0,1.0,28.1,10.5,10.5,10.0,30.6,0.137
25,Jimmy Oliver,WAS,28,1,0,1,10.1,71.4,2.0,18.2,28.6,0.0,0.0,0.0,0.0,2.0,5.0,0.0,4.0,0.137
26,Jason Kidd,PHX,25,82,56,26,38.0,100.3,4.9,13.1,21.0,2.0,26.3,0.3,8.1,12.5,11.0,9.5,31.7,0.136
27,Reggie Miller,IND,32,81,58,23,34.5,99.3,2.3,6.5,11.1,1.0,18.2,0.1,4.0,9.9,10.7,8.9,28.1,0.136
28,Luc Longley,CHI,29,58,42,16,29.4,97.0,3.9,13.5,21.6,0.6,11.8,1.1,38.8,9.3,7.7,8.1,22.2,0.135
29,Gary Payton,SEA,29,82,61,21,38.4,100.6,3.6,9.7,17.0,2.3,28.8,0.2,5.7,11.5,12.1,9.9,30.1,0.134
30,Dennis Rodman,CHI,37,80,60,20,35.7,99.7,9.8,28.2,44.4,0.6,9.6,0.2,7.3,11.2,9.8,9.1,28.0,0.133
31,Rik Smits,IND,31,73,52,21,28.5,96.9,5.2,18.0,29.6,0.5,12.5,1.2,40.7,8.4,8.4,8.1,23.1,0.133
32,Ron Harper,CHI,34,82,62,20,27.9,96.5,2.2,8.1,12.9,1.3,25.4,0.6,23.3,8.8,7.6,7.2,22.3,0.133
33,Tyrone Corbin,ATL,35,79,49,30,34.1,99.4,3.6,10.5,17.1,1.3,24.0,0.1,1.9,11.2,9.2,9.3,25.5,0.131
34,P.J. Brown,MIA,28,74,48,26,31.9,98.6,5.4,17.1,27.4,0.9,17.4,1.3,34.5,10.9,9.2,6.9,24.4,0.131
35,Grant Hill,DET,25,81,36,45,40.7,101.5,6.5,16.9,27.5,1.8,25.9,0.7,18.7,12.7,11.8,9.0,28.8,0.129
36,Tyrone Hill,MIL,30,57,26,31,36.2,100.2,6.9,21.1,34.3,1.2,17.5,0.5,16.8,14.0,8.9,11.9,29.9,0.129
37,Danny Manning,PHX,32,70,46,24,25.7,96.0,4.0,15.4,24.7,1.0,20.7,0.7,24.5,8.4,7.1,5.2,18.3,0.127
38,Voshon Lenard,MIA,25,81,54,27,32.3,99.2,2.7,8.4,13.5,0.7,14.2,0.2,5.6,10.6,9.7,7.2,25.4,0.127
39,Horace Grant,ORL,32,76,38,38,36.9,100.7,5.1,14.4,24.6,1.1,18.6,1.0,24.2,12.6,10.9,11.3,31.2,0.127
40,Isaiah Rider,POR,27,74,41,33,37.7,101.1,3.3,8.8,13.9,0.7,13.3,0.3,6.3,13.2,9.8,10.5,28.9,0.126
41,Arvydas Sabonis,POR,33,73,40,33,31.9,99.2,7.9,25.3,38.5,0.9,19.0,1.1,34.6,11.3,7.2,9.3,23.3,0.125
