,Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,DWS,DBPM,DRtg
0,1,Ben Wallace,27,DET,116.0,116.0,120,0.967,80,36.5,7.6,13.0,1.4,1.7,3.5,0.531,0.0,0.423,11.6,0.19,7.2,3.3,93
1,2,Kevin Garnett,25,MIN,2.0,2.0,120,0.017,81,39.2,21.2,12.1,5.2,1.2,1.6,0.47,0.319,0.801,12.8,0.194,4.9,1.8,101
2,3T,Kobe Bryant,23,LAL,1.0,1.0,120,0.008,80,38.3,25.2,5.5,5.5,1.5,0.4,0.469,0.25,0.829,12.7,0.199,3.8,0.3,103
3,3T,Dikembe Mutombo,35,PHI,1.0,1.0,120,0.008,80,36.3,11.5,10.8,1.0,0.4,2.4,0.501,,0.764,9.6,0.158,5.5,1.2,98
