Rank_1994,Rank_1995,Rank_1996,Rank_1997,Rank_1998,Rank_1999,Rank_2000,Rank_2001,Rank_2002,Rank_2003,Rank_2004,Rank_2005,Rank_2006,Rank_2007,Rank_2008,Rank_2009,Rank_2010,Rank_2011,Rank_2012,Rank_2013,Rank_2014,Rank_2015,Rank_2016,Rank_2017,Rank_2018,Rank_2019,Rank_2020,Rank_2021,Rank_2022,Rank_2023
2,4,4,2,4,5T,2,3,3T,1,6,4,1,6,1,8,1,1,3,21,1.0,1,1,1,15T,3.0,1.0,1.0,3.0,3.0
1,-1.0,6,5,5T,1,5T,5T,-1,11,2,9,6,2,-1,1,14,2,5,14,13T,4,2,2.0,15T,1.0,3.0,6.0,-1.0,2.0
-1.0,2,3,4,2,-1,-1,8T,1,4,7,-1,5,3,6,2,-1,5,9.0,2,10.0,8,4.0,-1,3,-1,2,-1,-1.0,9T
-1.0,-1,7,3,5T,2,-1,8T,-1,-1,-1.0,-1,7,1,9,6,-1,10.0,4,5.0,13T,2,10,-1,1.0,2.0,8T,-1,-1,6.0
-1.0,6T,1,-1,1,-1,7,-1,2,3,4,1,13T,-1.0,2,5,-1,6.0,-1,-1,8T,3.0,-1,5T,6,4,-1.0,7,6.0,1.0
-1.0,3,5,-1,3,-1,8T,-1.0,-1,11,1,10,4,13T,10,11,3,25,12T,8.0,7.0,-1.0,-1,-1.0,-1.0,6T,8T,5.0,-1,-1
-1.0,1,-1,1,5T,-1,3T,11T,-1,-1,-1,5,-1.0,5,-1,-1,6,12T,7,6,-1,10T,11T,-1,-1.0,-1,-1,3,4.0,-1.0
-1,5,-1,6T,-1,3,3T,5T,-1,6,-1,-1,4,4,16T,10,4,17,18T,4.0,4.0,5.0,13T,4.0,-1.0,-1,-1,9.0,11,5.0
-1.0,-1,2,-1,9T,4,-1.0,11T,-1.0,8,10T,-1,13T,-1.0,4,-1,12,18,10,-1,2.0,15T,3,-1,14.0,-1,-1,-1,-1.0,-1
7T,6T,8T,-1,11T,7T,1,1,3T,13T,5,11,9,13T,3,-1.0,10T,3,-1,1,11,15T,-1.0,3,8.0,-1,-1,4.0,-1,-1.0
