Rank_1994,Rank_1995,Rank_1996,Rank_1997,Rank_1998,Rank_1999,Rank_2000,Rank_2001,Rank_2002,Rank_2003,Rank_2004,Rank_2005,Rank_2006,Rank_2007,Rank_2008,Rank_2009,Rank_2010,Rank_2011,Rank_2012,Rank_2013,Rank_2014,Rank_2015,Rank_2016,Rank_2017,Rank_2018,Rank_2019,Rank_2020,Rank_2021,Rank_2022,Rank_2023
1,4,3,2,1,1,2,-1.0,1,1,6,4,1,-1.0,2,8,14,1,2.0,7.0,1.0,4,2,2.0,1.0,1.0,1.0,1.0,3.0,2.0
2,1,4,5,4,2,5T,7,3T,4,2,-1,5,2,1,1,-1,2,3,3.0,7.0,1,1,1,8.0,2.0,3.0,9.0,-1.0,1.0
3,2,6,-1.0,2,3,1,1,-1,3,3,9,2,1,12,2,1,10.0,5,21,10.0,3.0,3,-1,6,5.0,2,-1,9,-1
-1.0,3,-1.0,4,5T,5T,7,1,2,-1,-1,10,3,6,-1,7,-1,17,4,8.0,4.0,2,4.0,5T,-1,3.0,11,-1,-1,9T
-1.0,6T,2,3,3,4,3T,8T,-1,8,3,-1,7,3,10,-1,-1,5,-1,6,5,6.0,10,-1.0,3,-1,-1.0,3,4.0,3.0
-1,-1.0,5,1,5T,7T,-1,3,-1,11,-1.0,5,4,-1,3,6,6,12T,9.0,14,13T,8,-1,-1,15T,4,10.0,11T,6.0,6.0
-1.0,5,7,-1,9T,-1,-1,-1,-1.0,-1,7,11,6,-1,4,-1,4,18,7,2,13T,-1,-1.0,-1.0,15T,-1,-1,6.0,-1,7T
-1.0,6T,1,-1,5T,7T,8T,-1.0,-1,11,-1.0,2,4,-1,7T,16T,12,-1,-1,-1,3.0,-1.0,7.0,-1.0,-1,-1.0,-1,-1.0,-1.0,5.0
-1.0,-1,8T,6T,-1.0,-1,3T,5T,-1,13T,4,7,-1.0,13T,5,5,3,9,18T,1,2.0,-1.0,-1.0,-1,-1.0,-1,8T,5.0,1,-1.0
-1.0,-1,8T,-1,11T,7T,5T,-1.0,3T,-1.0,5,1,13T,4,6,4,10T,6.0,12T,-1,6,15T,11T,-1.0,-1.0,6T,-1,7,10,9T
