Rank_1998,Rank_1999,Rank_2000,Rank_2001,Rank_2002,Rank_2003,Rank_2004,Rank_2005,Rank_2006,Rank_2007,Rank_2008,Rank_2009,Rank_2010,Rank_2011,Rank_2012,Rank_2013,Rank_2014,Rank_2015,Rank_2016,Rank_2017,Rank_2018,Rank_2019,Rank_2020,Rank_2021,Rank_2022,Rank_2023
-1.0,4,2,8T,-1,4,7,4,13T,13T,7T,2,1,1,3,21,1.0,2,1,2.0,3,1.0,1.0,1.0,-1.0,-1.0
-1.0,1,8T,3,1,3,2,10,-1,3,1,1,-1,10.0,5,-1,7.0,4,2,1,6,2.0,8T,-1.0,-1.0,-1.0
-1.0,-1,-1,2,-1,6,6,5,-1,-1,5,6,10T,5,-1,-1,11,1,3,5T,15T,-1,3.0,-1.0,-1.0,-1.0
-1.0,-1,3T,-1,-1,1,-1,1,6,-1,7T,3,-1,2,7,14,5,3.0,10,-1,-1.0,3.0,2,7,3.0,-1.0
-1.0,-1,5T,5T,2,13T,4,8,7,-1.0,9,-1,10T,6.0,4,6,10.0,-1.0,4.0,-1.0,1.0,4,-1,-1,-1,-1.0
-1.0,2,-1,-1,-1,8,-1.0,9,1,1,2,5,12,25,9.0,4.0,13T,-1.0,5.0,-1,-1.0,-1.0,8T,3,-1.0,-1.0
-1.0,7T,7,-1,3T,-1,1,11,-1,16T,-1.0,-1,4,12T,18T,-1.0,-1.0,5.0,-1.0,5T,-1.0,-1,8T,5.0,-1.0,2.0
4,-1,-1,-1.0,3T,9,-1,7,-1.0,6,6,11,3,-1.0,10,1,13T,10T,-1.0,-1.0,15T,-1,10.0,-1,-1.0,3.0
-1.0,-1,-1,11T,-1,-1,5,-1,-1,4,16T,-1.0,5,15.0,12T,5.0,8T,15T,-1,-1,-1.0,-1,-1.0,6.0,-1.0,9T
5T,5T,-1,1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,8,6,-1.0,-1.0,2,-1.0,7.0,11T,-1.0,-1.0,-1.0,-1.0,-1,-1.0,6.0
