Rank_1998,Rank_1999,Rank_2000,Rank_2001,Rank_2002,Rank_2003,Rank_2004,Rank_2005,Rank_2006,Rank_2007,Rank_2008,Rank_2009,Rank_2010,Rank_2011,Rank_2012,Rank_2013,Rank_2014,Rank_2015,Rank_2016,Rank_2017,Rank_2018,Rank_2019,Rank_2020,Rank_2021,Rank_2022,Rank_2023
-1.0,1,1,3,1,1,2,-1,1,3,7T,2,1,1,3,-1,1.0,4,3,2.0,15T,1.0,1.0,1.0,-1.0,-1.0
-1.0,7T,7,2,-1,4,-1,6.0,13T,13T,2,1,4,10.0,2.0,21,7.0,2,1,-1.0,1.0,2.0,3.0,9.0,-1.0,1.0
-1.0,4,-1,8T,-1,3,6,4,7,-1.0,5,6,-1,2,5,3.0,5,1,2,1,6,-1,11,-1.0,3.0,2.0
-1.0,2,3T,-1,2,6,-1.0,9,-1,-1,7T,3,5,5,9.0,6,11,-1.0,5.0,5T,3,5.0,2,-1.0,-1.0,9T
-1.0,3,5T,5T,-1,8,3,11,-1,1,-1.0,16T,10T,-1,7,8.0,10.0,3.0,4.0,-1.0,-1.0,-1,-1.0,-1,-1.0,-1.0
-1.0,5T,2,-1,-1,13T,7,7,-1.0,-1,-1.0,-1.0,-1,-1,-1,2,13T,5.0,-1,-1,15T,-1.0,10.0,6.0,-1.0,3.0
-1.0,-1,3T,-1,3T,9,5,10,6,16T,1,-1,-1,-1.0,4,1,4.0,15T,-1.0,-1.0,8.0,-1.0,-1,3,9,-1.0
4,-1,-1,1,-1.0,-1,-1,5,-1,4,-1.0,7,14,12T,12T,14,-1.0,7.0,10,-1,-1.0,4,-1.0,-1,-1.0,-1.0
5T,7T,8T,1,-1,11,-1,-1.0,-1,6,12,-1.0,10T,-1.0,10,-1,13T,-1,11T,-1.0,-1.0,-1.0,-1.0,-1,-1.0,9T
11T,-1,-1,-1,-1,11,-1.0,-1.0,3,24T,16T,12,-1.0,6.0,18T,4.0,-1.0,-1.0,-1.0,5T,-1,-1,8T,10,-1,-1.0
