Rank_1998,Rank_1999,Rank_2000,Rank_2001,Rank_2002,Rank_2003,Rank_2004,Rank_2005,Rank_2006,Rank_2007,Rank_2008,Rank_2009,Rank_2010,Rank_2011,Rank_2012,Rank_2013,Rank_2014,Rank_2015,Rank_2016,Rank_2017,Rank_2018,Rank_2019,Rank_2020,Rank_2021,Rank_2022,Rank_2023
-1.0,4,-1,8T,1,4,10T,10,-1,-1,7T,1,1,1,3,-1,1.0,2,1,2.0,3,1.0,2,1.0,-1.0,9T
-1.0,1,-1,-1,-1,13T,-1,1,13T,-1,5,2,4,25,5,14,13T,8,2,1,1.0,3.0,3.0,4.0,3.0,3.0
4,-1,-1,-1,-1,8,7,8,-1,2,6,6,3,2,10,6,7.0,1,5.0,-1,15T,2.0,-1,2.0,-1,5.0
-1.0,7T,2,5T,-1,1,-1,5,6,13T,-1,-1,5,6.0,12T,-1,10.0,4,3,3,15T,-1,1.0,7,1,9T
5T,7T,-1,-1,-1,-1,6,4,1,3,-1,3,7.0,-1.0,4,4.0,8T,10T,10,-1,14.0,-1,6T,3,-1,-1
2,-1,8T,-1,-1,3,2,9,3,6,12,11,2,5,-1,-1.0,13T,7.0,4.0,-1,6,-1,-1.0,6.0,7.0,2.0
3,-1,-1,-1,-1,9,1,-1,7,4,9,5,14,17,12T,5.0,4.0,-1.0,-1.0,-1,-1.0,-1,8T,-1,-1.0,-1.0
-1.0,-1,3T,3,-1,-1,10T,-1,4,1,2,-1.0,-1,-1.0,7,2,11,5.0,-1,5T,8.0,6T,-1,-1,9,-1.0
-1,7T,8T,2,-1,-1,-1,-1,10T,20.0,1,-1,10T,12T,-1,8.0,-1,15T,11T,5T,-1,-1,-1,5.0,4.0,1.0
-1,-1,5T,5T,-1,-1,9,-1,5,-1.0,-1.0,13T,12,3,-1,1,-1,13T,-1,5T,-1.0,-1.0,-1,9.0,-1.0,-1.0
