Rank_1998,Rank_1999,Rank_2000,Rank_2001,Rank_2002,Rank_2003,Rank_2004,Rank_2005,Rank_2006,Rank_2007,Rank_2008,Rank_2009,Rank_2010,Rank_2011,Rank_2012,Rank_2013,Rank_2014,Rank_2015,Rank_2016,Rank_2017,Rank_2018,Rank_2019,Rank_2020,Rank_2021,Rank_2022,Rank_2023
-1.0,1,1,3,-1,1,2,-1,1,13T,7T,2,1,1,3,-1,1.0,4,3,2.0,15T,1.0,1.0,1.0,-1.0,-1.0
-1.0,7T,7,2,1,4,-1,6.0,13T,3,2,1,4,10.0,2.0,21,11,2,1,-1.0,3,2.0,3.0,9.0,-1.0,-1.0
-1.0,3,5T,8T,-1,3,6,9,7,-1.0,5,6,-1,2,5,3.0,5,1,2,5T,1.0,-1,2,-1.0,-1.0,1.0
-1.0,4,2,-1,-1,6,3,4,-1,1,7T,3,5,5,9.0,6,7.0,-1.0,10,1,6,5.0,11,-1.0,3.0,-1.0
-1.0,-1,3T,5T,2,13T,7,11,-1,-1,-1.0,16T,-1,-1,7,2,13T,7.0,4.0,-1,-1.0,-1,10.0,-1,-1.0,2.0
-1.0,2,-1,-1,-1,8,-1.0,7,-1.0,-1,-1.0,-1.0,-1.0,-1,-1,1,10.0,15T,11T,-1.0,14.0,-1.0,8T,-1,-1.0,9T
4,-1,-1,-1,3T,-1,5,5,6,16T,1,-1,10T,12T,4,-1,-1.0,3.0,-1.0,-1.0,-1,-1.0,-1,7,-1.0,3.0
-1.0,-1,-1,1,-1.0,9,-1,10,-1,4,-1.0,-1.0,-1,-1.0,10,14,-1.0,5.0,5.0,5T,-1,4,8T,5.0,5.0,-1.0
-1.0,7T,3T,1,-1,13T,-1,-1.0,-1,24T,16T,7,10T,17,12T,8.0,4.0,-1,-1,-1,15T,-1,-1.0,-1,-1,-1.0
5T,5T,8T,-1,-1,11,10T,-1.0,3,6,9,10,14,6.0,18T,4.0,13T,-1.0,-1.0,-1.0,-1.0,-1.0,8T,-1,-1.0,9T
