Feature,Importance
D-LEBRON_bball,924
DWS_advanced,617
raptor_defense_raptor,605
Dpoy_votes,554
WS/48_advanced,523
DEF WS_nba,491
predator_defense_raptor,453
BLK_nba,410
WS_advanced,389
DRPM_espn,326
BLK_100_poss,302
BLK%_advanced,299
BLK_team,298
BLK,272
DRtg_100_poss,271
AST_team,271
RPM_espn,268
Age,267
TRB,264
%BLK_nba,263
GS,262
DRB%_advanced,256
SOS_misc,254
war_total_raptor,220
DRB,217
DBPM_advanced,206
PER_advanced,206
WINS_espn,192
raptor_total_raptor,189
BPM_advanced,184
pace_impact_raptor,183
predator_total_raptor,176
FT%_opponent,168
DRB_100_poss,149
poss_raptor,146
war_reg_season_raptor,145
DREB_nba,143
DREB%_nba,135
2P%_opponent,134
TRB_100_poss,130
%DREB_nba,127
MP_100_poss,125
mp_raptor,117
VORP_advanced,113
FG%_opponent,111
TOV%.1_misc,98
TRB_team,95
Dpoy_titles,88
OPP PTS FB_nba,87
PF_100_poss,86
TRB%_advanced,85
AST_opponent,83
MP,82
MPG_espn,82
STL_100_poss,81
PF,78
W_nba,75
DRtg_misc,70
G,67
TOV,66
TOV%_misc,65
PF_team,65
3PA_opponent,63
STL_nba,62
DRB%_misc,60
STL%_nba,58
STL_team,58
TOV_100_poss,57
Pace_misc,56
OPP PTS 2ND CHANCE_nba,56
2PA_opponent,53
OPP PTS OFF TOV_nba,52
DEF RTG_nba,51
TRB_opponent,47
3P%_opponent,46
DRB_team,44
STL,43
TOV_team,42
GP_espn,39
OPP PTS PAINT_nba,38
2P_opponent,37
3P_opponent,34
ORB_opponent,34
FGA_opponent,32
FT_opponent,31
FTA_opponent,26
PW_misc,24
SRS_misc,23
L_misc,23
MOV_misc,21
PL_misc,19
W_misc,18
teamates_with_dpoy,12
GP_nba,3
MIN_nba,2
STL%_advanced,0
won_dpoy_last_season,0
MP_advanced,0
