Feature,Importance
DWS_advanced,0.5962496
DRtg_100_poss,0.16280964
BLK,0.04933141
BLK_team,0.023214933
SOS_misc,0.02114244
STL,0.018869797
TOV%.1_misc,0.016381444
Dpoy_titles,0.014618203
FT%_opponent,0.0141628105
Dpoy_votes,0.011700041
PF,0.010301955
war_total_raptor,0.0051807505
TRB,0.0049659186
VORP_advanced,0.0049485643
OPP PTS OFF TOV_nba,0.0041308673
TOV_100_poss,0.0036455176
MP_100_poss,0.0034368525
DEF WS_nba,0.0033735663
WS_advanced,0.002534817
BLK_nba,0.0025298872
3PA_opponent,0.002322696
DRB,0.0022672233
raptor_defense_raptor,0.0022510893
TOV,0.0019855415
GS,0.0018800779
RPM_espn,0.0016619881
W_nba,0.0014045136
SRS_misc,0.0013163417
DRPM_espn,0.0012647202
DRB%_misc,0.0010670933
2P%_opponent,0.0009016599
predator_defense_raptor,0.0008013555
DRtg_misc,0.0005381904
teamates_with_dpoy,0.00043345735
G,0.00043219398
STL_100_poss,0.00039678416
2P_opponent,0.00037778297
OPP PTS FB_nba,0.00035359024
3P_opponent,0.00034847556
WINS_espn,0.0003414216
war_reg_season_raptor,0.0003228936
ORB_opponent,0.0002986094
TOV_team,0.00029851779
TRB%_advanced,0.00028167164
Age,0.00023136429
PER_advanced,0.00021735381
OPP PTS 2ND CHANCE_nba,0.00020430709
D-LEBRON_bball,0.00019230848
MP,0.00017893543
STL_nba,0.00017703879
raptor_total_raptor,0.00016355322
L_misc,0.00015221842
2PA_opponent,0.00012685808
DEF RTG_nba,0.00011208511
OPP PTS PAINT_nba,0.000111382695
STL_team,0.00010438224
DBPM_advanced,0.000103222534
AST_team,6.946412e-05
pace_impact_raptor,6.40912e-05
TRB_opponent,5.5283057e-05
TRB_100_poss,5.357783e-05
FG%_opponent,4.9411265e-05
PF_100_poss,4.5626803e-05
FGA_opponent,3.9368617e-05
won_dpoy_last_season,3.8159353e-05
DRB%_advanced,3.7900947e-05
WS/48_advanced,3.6712197e-05
poss_raptor,3.65129e-05
mp_raptor,3.6367474e-05
FTA_opponent,3.0533978e-05
PF_team,2.9735262e-05
predator_total_raptor,2.9076524e-05
TOV%_misc,2.2653203e-05
DRB_100_poss,2.2652997e-05
TRB_team,2.097e-05
MPG_espn,1.806879e-05
FT_opponent,1.7562219e-05
DRB_team,1.4087788e-05
AST_opponent,1.2045229e-05
BLK_100_poss,1.1625178e-05
STL%_nba,7.876482e-06
DREB%_nba,7.17501e-06
W_misc,6.7113906e-06
MIN_nba,6.1177184e-06
PW_misc,5.061693e-06
BPM_advanced,4.9737146e-06
3P%_opponent,4.880823e-06
GP_espn,4.825136e-06
%BLK_nba,3.2821301e-06
Pace_misc,1.9529239e-06
PL_misc,1.510011e-06
%DREB_nba,8.34253e-07
BLK%_advanced,7.59192e-07
DREB_nba,4.21106e-07
MOV_misc,2.1507316e-07
GP_nba,2.5639135e-09
MP_advanced,0.0
STL%_advanced,0.0
