Rank_1998,Rank_1999,Rank_2000,Rank_2001,Rank_2002,Rank_2003,Rank_2004,Rank_2005,Rank_2006,Rank_2007,Rank_2008,Rank_2009,Rank_2010,Rank_2011,Rank_2012,Rank_2013,Rank_2014,Rank_2015,Rank_2016,Rank_2017,Rank_2018,Rank_2019,Rank_2020,Rank_2021,Rank_2022,Rank_2023
2,4,1,1,1,-1,2,-1,7,-1,2,1,1,1,2.0,1,1.0,4,3,-1.0,15T,2.0,1.0,1.0,3.0,2.0
-1,1,7,-1,3T,1,1,1,4,3,7T,6,17T,10.0,7,6,7.0,2,5.0,-1.0,1.0,1.0,2,9.0,-1.0,-1.0
1,3,3T,-1,-1,4,-1,5,4,4,9,-1,10T,2,4,14,13T,1,1,2.0,3,-1.0,10.0,5.0,-1.0,1.0
3,5T,-1,2,-1,13T,7,4,13T,24T,1,3,10T,6.0,-1,-1,4.0,-1.0,2,1,6,-1,11,-1,-1,9T
4,-1,5T,1,2,13T,-1,-1,-1,13T,-1.0,2,5,5,18T,3.0,5,13T,10,-1.0,14.0,5.0,-1,-1.0,-1.0,3.0
-1,-1,-1,8T,3T,11,6,9,1,1,-1,13T,14,12T,5,4.0,8T,8,-1,-1,4.0,-1,-1,-1,-1.0,6.0
-1,2,8T,3,-1,3,-1.0,-1,10T,6,-1,-1.0,2,-1.0,12T,10.0,2.0,15T,-1.0,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0
-1,5T,3T,11T,-1,8,10T,18T,6,-1,-1,7,-1,9,3,5.0,8T,10T,-1.0,5T,-1,3.0,-1.0,-1.0,-1.0,-1.0
-1,-1,8T,11T,-1,5.0,-1,8,13T,5,-1,8,17T,25,-1,2,13T,-1,4.0,3,-1,-1,5.0,3,-1.0,-1.0
-1,-1,-1,5T,-1,6,4,6.0,10T,20.0,12,10,4,23T,-1,-1,-1.0,6.0,-1.0,5T,-1,-1,-1.0,-1,10,-1.0
