Rank_1998,Rank_1999,Rank_2000,Rank_2001,Rank_2002,Rank_2003,Rank_2004,Rank_2005,Rank_2006,Rank_2007,Rank_2008,Rank_2009,Rank_2010,Rank_2011,Rank_2012,Rank_2013,Rank_2014,Rank_2015,Rank_2016,Rank_2017,Rank_2018,Rank_2019,Rank_2020,Rank_2021,Rank_2022,Rank_2023
-1,1,1,1,1,-1,2,1,4,-1,9,1,1,1,2.0,1,1.0,4,3,-1.0,3,2.0,1.0,1.0,3.0,2.0
1,4,-1,-1,-1,1,1,-1,4,3,2,6,10T,10.0,18T,6,7.0,-1.0,5.0,-1.0,6,-1.0,2,5.0,-1.0,-1.0
2,5T,7,-1,3T,-1,-1,4,8,1,1,3,5,6.0,4,14,4.0,15T,1,2.0,15T,1.0,10.0,-1,-1.0,1.0
3,3,3T,3,-1,4,7,5,7,4,-1,-1,10T,-1.0,5,-1,5,-1,2,1,-1,-1,3.0,-1,-1.0,9T
4,-1,-1,1,3T,13T,-1,9,1,5,-1,13T,-1.0,23T,7,3.0,13T,13T,-1.0,3,14.0,-1,-1,9.0,-1.0,7T
-1,-1,5T,8T,-1,11,6,-1.0,-1,20.0,-1,-1,-1,2,12T,4.0,13T,1,-1.0,-1,1.0,5.0,11,3,-1,6.0
-1,2,8T,11T,-1,3,10T,18T,13T,6,-1,-1.0,2,5,-1,5.0,8T,10T,-1,4.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0
-1,5T,3T,2,-1,5.0,-1,-1,10T,11T,-1,2,4,12T,3,2,8T,2,-1.0,-1.0,-1,-1,-1.0,-1,-1.0,-1
-1,-1,8T,-1,-1,13T,4,-1.0,6,24T,16T,-1.0,14,9,8,21,6,8,11T,-1,-1.0,3.0,-1.0,-1.0,-1.0,-1
-1,-1,-1,5T,-1,8,-1,-1,3,2,6,-1.0,12,25,10,10.0,-1.0,13T,13T,5T,4.0,6T,-1.0,-1,6.0,-1.0
