,RK,NAME,TEAM,GP,MPG,ORPM,DRPM,RPM,WINS
0,1,"Stephen Curry, PG",GS,79,34.2,12.03,-0.66,11.37,27.01
1,2,"LeBron James, SF",CLE,76,35.6,5.75,2.88,8.63,20.19
2,3,"Kevin Durant, PF",OKC,72,35.8,6.14,0.35,6.49,16.18
3,4,"Kawhi Leonard, SF",SA,72,33.1,2.09,4.29,6.37,13.88
4,5,"Kyle Lowry, PG",TOR,77,37.0,4.23,1.30,5.53,14.91
5,6,"Chris Paul, PG",LAC,74,32.7,4.61,0.84,5.45,13.13
6,7,"John Wall, PG",WSH,77,36.2,4.68,0.65,5.33,15.19
7,8,"Isaiah Thomas, G",BOS,82,32.2,5.70,-0.51,5.19,14.47
8,9,"Russell Westbrook, PG",OKC,80,34.4,7.29,-2.26,5.02,14.44
9,10,"James Harden, SG",HOU,82,38.1,5.96,-1.37,4.59,15.42
10,11,"Nikola Jokic, C",DEN,80,21.7,1.28,3.18,4.45,7.97
11,12,"JJ Redick, SG",LAC,75,28.0,2.10,2.04,4.14,9.46
12,13,"Draymond Green, PF",GS,81,34.7,3.43,0.47,3.90,12.71
13,14,"Klay Thompson, SG",GS,80,33.3,4.19,-0.31,3.87,11.92
14,15,"Dirk Nowitzki, F",DAL,75,31.5,1.27,2.47,3.75,9.74
15,16,"Khris Middleton, SF",MIL,79,36.1,1.68,1.87,3.54,11.51
16,17,"Jrue Holiday, PG",NO,65,28.2,3.97,-0.51,3.46,7.57
17,18,"Paul George, F",IND,81,34.8,3.35,0.11,3.45,11.63
18,19,"Mike Scott, PF",ATL,75,15.3,0.57,2.87,3.44,4.56
19,20,"Manu Ginobili, G",SA,58,19.6,1.89,1.47,3.36,4.45
20,21,"Kyle Korver, G",ATL,80,30.0,0.75,2.50,3.25,9.52
21,22,"Kelly Olynyk, PF",BOS,69,20.2,1.58,1.55,3.13,5.44
22,23,"Steven Adams, C",OKC,80,25.2,-1.25,4.29,3.04,7.51
23,24,"Channing Frye, F",ORL/CLE,70,17.1,0.20,2.82,3.02,4.12
24,25,"Patrick Beverley, PG",HOU,71,28.7,1.03,1.97,3.01,7.58
25,26,"Danny Green, F",SA,79,26.1,-0.40,3.38,2.98,7.24
26,27,"Ricky Rubio, PG",MIN,76,30.6,2.31,0.40,2.71,8.27
27,28,"Kemba Walker, PG",CHA,81,35.6,1.28,1.43,2.70,9.93
28,29,"Jeremy Lamb, SG",CHA,66,18.6,-0.24,2.87,2.63,4.13
29,30,"Patty Mills, PG",SA,81,20.5,2.31,0.30,2.60,5.58
30,31,"Patrick Patterson, PF",TOR,79,25.6,0.55,1.95,2.50,6.40
31,32,"Goran Dragic, PG",MIA,72,32.8,1.18,1.29,2.47,7.67
32,33,"Eric Bledsoe, SG",PHX,31,34.2,3.44,-1.01,2.44,3.74
33,34,"CJ McCollum, SG",POR,80,34.8,1.52,0.88,2.39,9.08
34,35,"Victor Oladipo, SG",ORL,72,33.0,0.55,1.75,2.30,7.51
35,36,"Mario Chalmers, G",MIA/MEM,61,22.5,0.44,1.78,2.22,4.24
36,37,"Damian Lillard, PG",POR,75,35.7,4.89,-2.70,2.20,8.55
37,38,"Mike Conley, PG",MEM,56,31.4,1.12,1.07,2.19,5.32
38,39,"Matthew Dellavedova, PG",CLE,76,24.6,0.20,1.95,2.15,5.63
39,40,"Avery Bradley, PG",BOS,76,33.4,1.89,0.23,2.12,8.08
40,41,"Tim Duncan, C",SA,61,25.2,-0.47,2.57,2.1,4.53
41,42,"Anthony Tolliver, PF",DET,72,18.6,0.41,1.69,2.1,4.07
42,43,"Kentavious Caldwell-Pope, SG",DET,76,36.7,0.35,1.74,2.09,8.54
43,44,"Kevin Love, PF",CLE,77,31.5,1.75,0.33,2.08,7.18
44,45,"Jae Crowder, PF",BOS,73,31.6,1.57,0.36,1.93,7.14
45,46,"Chris Bosh, PF",MIA,53,33.5,-0.5,2.4,1.9,4.99
46,47,"Michael Kidd-Gilchrist, F",CHA,7,29.3,0.92,0.98,1.9,0.59
47,48,"Brook Lopez, C",BKN,73,33.7,-0.2,2.09,1.89,7.14
48,49,"Al Horford, C",ATL,82,32.1,1.48,0.39,1.86,7.9
49,50,"DeMarcus Cousins, C",SAC,65,34.6,3.1,-1.29,1.81,6.86
50,51,"Dennis Schroder, PG",ATL,80,20.3,0.31,1.49,1.8,4.62
51,52,"Kristaps Porzingis, C",NY,72,28.4,-0.92,2.71,1.79,5.72
52,53,"Ronnie Price, PG",PHX,62,19.5,-1.31,3.07,1.76,3.49
53,54,"Omri Casspi, F",SAC,69,27.2,1.73,0.02,1.75,5.58
54,55,"Robert Covington, PF",PHI,67,28.4,0.92,0.73,1.65,5.42
55,56,"Derrick Favors, F",UTAH,62,32.0,-0.34,1.94,1.59,5.17
56,57,"Jarell Eddie, F",WSH,26,5.7,2.06,-0.48,1.57,0.42
57,58,"Boban Marjanovic, C",SA,54,9.4,1.86,-0.31,1.55,1.29
58,59,"Tyreke Evans, G",NO,25,30.6,1.39,0.12,1.51,2.04
59,60,"Mirza Teletovic, PF",PHX,79,21.3,3.72,-2.26,1.47,4.65
60,61,"DeAndre Jordan, C",LAC,77,33.7,0.35,1.09,1.44,6.78
61,62,"Paul Millsap, PF",ATL,81,32.7,1.64,-0.21,1.43,7.13
62,63,"LaMarcus Aldridge, C",SA,74,30.6,-0.66,2.09,1.43,5.63
63,64,"Garrett Temple, SF",WSH,80,24.4,-0.6,1.97,1.37,5.09
64,65,"Jimmy Butler, SF",CHI,67,36.9,0.53,0.82,1.36,6.33
65,66,"Andre Drummond, C",DET,81,32.9,0.28,1.08,1.36,6.72
66,67,"Danilo Gallinari, PF",DEN,53,34.7,0.16,1.18,1.34,4.68
67,68,"Rodney Hood, SG",UTAH,79,32.2,-0.58,1.91,1.33,6.09
68,69,"Marcus Thornton, SG",HOU/WSH,61,18.2,2.73,-1.43,1.3,2.93
69,70,"Andrew Bogut, C",GS,70,20.7,-1.89,3.19,1.3,3.7
70,71,"Wesley Johnson, F",LAC,80,20.8,-0.27,1.55,1.29,4.15
71,72,"Marvin Williams, F",CHA,81,28.9,0.99,0.25,1.24,5.68
72,73,"George Hill, PG",IND,74,34.1,-0.11,1.35,1.24,6.29
73,74,"Ramon Sessions, G",WSH,82,20.3,2.47,-1.3,1.17,4.15
74,75,"Rudy Gobert, C",UTAH,61,31.7,-1.82,2.99,1.17,4.45
75,76,"Blake Griffin, PF",LAC,35,33.4,1.26,-0.09,1.16,2.87
76,77,"Darren Collison, PG",SAC,74,30.0,2.5,-1.36,1.14,5.6
77,78,"Terrence Ross, G",TOR,73,23.9,-0.86,2.0,1.14,3.91
78,79,"Ryan Anderson, PF",NO,66,30.4,1.19,-0.06,1.13,5.0
79,80,"Jon Leuer, F",PHX,67,18.7,1.2,-0.07,1.13,3.19
80,81,"Brandon Jennings, G",DET/ORL,48,18.1,1.84,-0.73,1.11,2.08
81,82,"Festus Ezeli, C",GS,46,16.7,-1.04,2.14,1.11,1.86
82,83,"Eric Gordon, SG",NO,45,32.9,1.57,-0.53,1.04,3.6
83,84,"Pau Gasol, PF",CHI,72,31.8,0.38,0.64,1.02,5.33
84,85,"David West, F",SA,78,18.0,0.0,1.01,1.01,3.09
85,86,"Trevor Booker, F",UTAH,79,20.7,-1.83,2.82,0.99,3.61
86,87,"Will Barton, G",DEN,82,28.7,0.89,0.1,0.99,5.42
87,88,"Kevin Garnett, PF",MIN,38,14.6,-2.77,3.76,0.99,1.26
88,89,"Alan Anderson, SG",WSH,13,14.8,0.8,0.18,0.99,0.45
89,90,"Cristiano Felicio, PF",CHI,31,10.4,0.13,0.85,0.98,0.73
90,91,"Andre Iguodala, F",GS,65,26.6,0.24,0.72,0.97,4.07
91,92,"Tony Snell, SF",CHI,64,20.3,-2.48,3.42,0.94,2.93
92,93,"Chandler Parsons, SF",DAL,61,29.5,0.87,0.07,0.94,3.94
93,94,"Clint Capela, C",HOU,77,19.1,-0.16,1.09,0.93,3.36
94,95,"Gordon Hayward, SF",UTAH,80,36.2,0.86,0.07,0.93,6.33
95,96,"Jodie Meeks, G",DET,3,14.3,0.82,0.1,0.92,0.1
96,97,"Jeff Teague, PG",ATL,79,28.5,1.95,-1.05,0.91,5.24
97,98,"Tiago Splitter, C",ATL,36,16.1,-1.4,2.29,0.88,1.28
98,99,"Tim Frazier, PG",POR/NO,51,14.5,0.44,0.41,0.86,1.63
99,100,"Lavoy Allen, F",IND,79,20.2,-1.73,2.54,0.81,3.38
100,101,"Gorgui Dieng, C",MIN,82,27.1,-0.69,1.5,0.81,4.81
101,102,"James Ennis III, F",MIA/MEM/NO,22,15.0,2.2,-1.4,0.79,0.7
102,103,"Marc Gasol, C",MEM,52,34.4,-2.12,2.88,0.76,3.69
103,104,"Dahntay Jones, SG",CLE,1,42.0,0.9,-0.15,0.75,0.09
104,105,"Rajon Rondo, PG",SAC,72,35.2,2.94,-2.19,0.75,5.74
105,106,"Carmelo Anthony, PF",NY,72,35.1,1.33,-0.6,0.73,5.23
106,107,"Christian Wood, F",PHI,17,8.5,0.22,0.5,0.72,0.33
107,108,"Langston Galloway, SG",NY,82,24.8,-0.58,1.29,0.71,4.27
108,109,"Quincy Acy, F",SAC,59,14.8,-0.58,1.29,0.7,1.89
109,110,"Andrew Nicholson, F",ORL,56,14.7,-1.01,1.71,0.7,1.69
110,111,"Joe Johnson, G",BKN/MIA,81,33.4,-0.23,0.93,0.69,5.58
111,112,"Andrew Wiggins, SF",MIN,81,35.1,-0.07,0.76,0.69,6.04
