,RK,NAME,TEAM,GP,MPG,ORPM,DRPM,RPM,WINS
168,169,"Dale Ellis, G",MIL/CHA,42,13.4,0.26,-0.39,-0.13,0.8
169,170,"Glen Rice, SF",LAL,80,31.6,0.88,-1.01,-0.14,3.96
170,171,"Derrick Coleman, PF",CHA,74,31.7,0.05,-0.2,-0.15,3.52
171,172,"Wally Szczerbiak, SG",MIN,73,29.7,0.42,-0.61,-0.19,3.25
172,173,"Kelvin Cato, C",HOU,65,24.3,-1.67,1.47,-0.2,2.39
173,174,"Elton Brand, PF",CHI,81,37.0,-0.26,0.06,-0.2,4.34
174,175,"Andrae Patterson, F",MIN,5,4.0,0.32,-0.53,-0.21,0.03
175,176,"Terry Mills, F",DET,82,22.5,-0.41,0.18,-0.23,2.83
176,177,"Bruce Bowen, SF",PHI/MIA,69,12.7,-3.58,3.31,-0.27,1.21
177,178,"Kenny Thomas, PF",HOU,72,25.0,-0.18,-0.09,-0.27,2.66
178,179,"A.C. Green, F",LAL,82,23.5,-2.64,2.36,-0.29,2.74
179,180,"Rasho Nesterovic, C",MIN,82,21.0,-1.84,1.53,-0.31,2.37
180,181,"Don Reid, F",DET/WSH,38,13.1,-2.34,2.02,-0.32,0.7
181,182,"Chris Crawford, PG",,--,--,-1.0,0.65,-0.35,0.93
182,183,"Baron Davis, PG",CHA,82,18.6,0.47,-0.83,-0.36,2.08
183,184,"Brian Grant, PF",POR,63,21.0,-1.67,1.3,-0.37,1.73
184,185,"Joe Smith, PF",MIN,78,25.3,-1.19,0.8,-0.39,2.7
185,186,"Isaiah Rider, G",ATL,60,34.7,1.11,-1.5,-0.39,2.85
186,187,"Robert Traylor, PF",MIL,44,10.2,0.06,-0.46,-0.4,0.6
187,188,"Raef LaFrentz, C",DEN,81,30.1,0.63,-1.05,-0.41,3.42
188,189,"Cedric Ceballos, F",DAL,69,29.9,1.55,-1.97,-0.42,2.9
189,190,"Bryce Drew, PG",HOU,72,18.0,0.06,-0.5,-0.44,1.72
190,191,"Felton Spencer, C",SA,26,5.7,-1.56,1.09,-0.47,0.18
191,192,"Michael Smith, F",WSH,46,24.9,-0.7,0.22,-0.48,1.51
192,193,"Brevin Knight, PG",CLE,65,27.0,0.36,-0.86,-0.51,2.46
193,194,"Mirsad Turkcan, F",,--,--,-0.05,-0.47,-0.52,0.1
194,195,"Vernon Maxwell, G",SEA,47,21.0,1.81,-2.35,-0.55,1.26
195,196,"Devin Gray, F",HOU,21,5.9,-0.45,-0.11,-0.56,0.15
196,197,"Terry Cummings, F",GS,22,18.1,-0.59,0.03,-0.56,0.5
197,198,"Lamond Murray, SF",CLE,74,32.0,-0.36,-0.21,-0.58,3.08
198,199,"Donyell Marshall, PF",GS,64,32.4,0.14,-0.74,-0.6,2.64
199,200,"Nick Anderson, F",SAC,72,29.1,1.24,-1.84,-0.6,2.79
200,201,"Donyell Marshall, PF",GS,64,32.4,0.14,-0.74,-0.6,2.64
201,202,"Nick Anderson, F",SAC,72,29.1,1.24,-1.84,-0.6,2.79
202,203,"Jeff Hornacek, G",UTAH,77,27.7,0.43,-1.04,-0.61,2.56
203,204,"Felipe Lopez, G",VAN,65,12.0,-1.14,0.47,-0.67,0.89
204,205,"Matt Geiger, C",PHI,65,21.6,-1.29,0.59,-0.7,1.63
205,206,"Jelani McCoy, PF",SEA,58,12.9,-1.49,0.77,-0.73,0.85
206,207,"Damon Jones, PG",GS/DAL,55,11.1,2.35,-3.08,-0.73,0.71
207,208,"Tim Thomas, PF",MIL,80,26.2,-0.01,-0.73,-0.75,2.38
208,209,"Darrick Martin, PG",SAC,71,12.6,0.77,-1.54,-0.77,0.99
209,210,"Adrian Griffin, G",BOS,72,26.8,-1.39,0.61,-0.78,2.22
210,211,"Billy Owens, F",PHI/GS,62,21.0,-2.18,1.4,-0.79,1.44
