,RK,NAME,TEAM,GP,MPG,ORPM,DRPM,RPM,WINS
0,1,"Dwight Howard, C",ORL,78,37.6,2.19,4.86,7.05,19.82
1,2,"Ryan Anderson, PF",ORL,64,22.3,3.03,3.10,6.13,8.71
2,3,"LeBron James, SF",MIA,79,38.8,4.84,0.89,5.74,18.33
3,4,"Chris Paul, PG",NO,80,36.0,3.06,2.54,5.60,16.35
4,5,"Dirk Nowitzki, F",DAL,73,34.3,2.82,2.00,4.82,13.21
5,6,"Manu Ginobili, G",SA,80,30.3,5.17,-0.53,4.64,12.92
6,7,"Paul Pierce, SF",BOS,80,34.7,2.42,2.20,4.62,14.31
7,8,"Derrick Rose, PG",CHI,81,37.4,4.85,-0.43,4.42,15.01
8,9,"Kevin Garnett, PF",BOS,71,31.3,-0.07,4.40,4.33,11.10
9,10,"Dwyane Wade, G",MIA,76,37.1,4.71,-0.59,4.12,13.91
10,11,"Steve Nash, PG",PHX,75,33.3,4.82,-0.75,4.06,12.30
11,12,"CJ Miles, G",UTAH,78,25.2,1.41,2.51,3.92,9.08
12,13,"Tim Duncan, C",SA,76,28.4,0.65,3.25,3.90,10.37
13,14,"Kyle Lowry, PG",HOU,75,34.2,2.24,1.63,3.87,12.30
14,15,"Pau Gasol, PF",LAL,82,37.0,1.47,2.29,3.76,13.69
15,16,"Andrew Bynum, C",LAL,54,27.8,0.00,3.72,3.72,6.55
16,17,"Kobe Bryant, SF",LAL,82,33.9,4.69,-1.03,3.66,12.41
17,18,"Paul Millsap, PF",UTAH,76,34.3,0.70,2.74,3.44,11.35
18,19,"LaMarcus Aldridge, C",POR,81,39.6,-0.18,3.57,3.39,13.23
19,20,"Luol Deng, F",CHI,82,39.1,0.33,3.05,3.38,13.69
20,21,"Kevin Love, PF",MIN,73,35.8,3.28,0.05,3.32,11.78
21,22,"Zach Randolph, F",MEM,75,36.3,2.11,1.20,3.31,11.89
22,23,"Andre Iguodala, F",PHI,67,36.9,0.70,2.52,3.22,10.38
23,24,"Kevin Durant, PF",OKC,78,38.9,3.80,-0.59,3.21,13.14
24,25,"Tyson Chandler, C",DAL,74,27.8,-0.19,3.10,2.91,8.22
25,26,"Josh Smith, PF",ATL,77,34.4,-0.39,3.28,2.89,10.30
26,27,"Stephen Curry, PG",GS,74,33.6,3.13,-0.34,2.79,10.22
27,28,"Chris Bosh, PF",MIA,77,36.3,0.65,2.02,2.67,10.88
28,29,"James Posey, SF",IND,49,17.1,-0.01,2.65,2.64,3.31
29,30,"Lamar Odom, PF",LAL,82,32.2,1.38,1.17,2.55,9.80
30,31,"Baron Davis, PG",LAC/CLE,58,28.4,3.05,-0.53,2.52,6.22
31,32,"Tracy McGrady, SG",DET,72,23.4,-1.09,3.57,2.47,5.94
32,33,"Joe Johnson, G",ATL,72,35.5,1.56,0.90,2.45,9.12
33,34,"Gerald Wallace, SF",CHA/POR,71,37.9,-0.56,2.99,2.43,9.57
34,35,"Chase Budinger, SF",HOU,78,22.3,1.23,1.20,2.43,6.50
35,36,"Lou Williams, SG",PHI,75,23.3,2.99,-0.59,2.40,6.44
36,37,"Vince Carter, G",ORL/PHX,73,28.1,1.68,0.71,2.39,7.67
37,38,"Tyreke Evans, G",SAC,57,37.0,0.22,2.11,2.33,7.87
38,39,"Andrew Bogut, C",MIL,65,35.3,-2.19,4.43,2.24,7.95
39,40,"Anthony Tolliver, PF",MIN,65,21.0,0.18,2.01,2.19,5.04
40,41,"Deron Williams, PG",UTAH/NJ,65,37.9,4.34,-2.21,2.13,8.65
41,42,"Toney Douglas, PG",NY,81,24.3,2.2,-0.07,2.13,7.13
42,43,"Henry Walker, SF",NY,61,12.9,0.89,1.24,2.13,2.81
43,44,"Chris Andersen, PF",DEN,45,16.3,0.07,2.03,2.1,2.64
44,45,"Blake Griffin, PF",LAC,82,38.0,1.89,0.18,2.07,10.91
45,46,"David West, F",NO,70,35.0,-0.43,2.46,2.03,8.06
46,47,"Eric Gordon, SG",LAC,56,37.7,2.81,-0.91,1.9,7.18
47,48,"Andre Miller, PG",POR,81,32.7,-0.11,1.99,1.89,8.29
48,49,"JR Smith, G",DEN,79,24.9,2.27,-0.39,1.88,6.77
49,50,"Brad Miller, C",HOU,60,16.9,0.76,1.07,1.83,3.37
50,51,"Omer Asik, C",CHI,82,12.1,-1.96,3.75,1.79,3.13
51,52,"Matt Bonner, C",SA,66,21.7,0.38,1.41,1.79,4.68
52,53,"Mike Dunleavy, SG",IND,61,27.6,1.32,0.43,1.75,5.67
53,54,"Carmelo Anthony, PF",DEN/NY,77,35.7,3.26,-1.54,1.71,9.13
54,55,"Emeka Okafor, C",NO,72,31.8,-1.81,3.52,1.71,7.05
55,56,"Al Horford, C",ATL,77,35.1,-0.38,2.08,1.7,8.38
56,57,"Amir Johnson, F",TOR,72,25.7,0.34,1.34,1.68,6.08
57,58,"Tony Parker, G",SA,78,32.4,1.85,-0.24,1.6,8.06
58,59,"Nene Hilario, C",DEN,75,30.5,1.09,0.51,1.6,7.38
59,60,"Keyon Dooling, PG",MIL,80,22.0,-0.36,1.93,1.58,5.32
60,61,"Marcin Gortat, C",ORL/PHX,80,25.4,-1.29,2.86,1.58,6.28
61,62,"James Harden, SG",OKC,82,26.7,1.61,-0.06,1.54,6.85
62,63,"Ray Allen, SG",BOS,80,36.1,0.9,0.63,1.53,8.86
63,64,"Peja Stojakovic, SF",NO/TOR/DAL,33,18.7,1.96,-0.47,1.49,1.91
64,65,"Joey Dorsey, PF",TOR,43,12.1,-1.39,2.86,1.46,1.56
65,66,"Alexis Ajinca, C",DAL/TOR,34,10.0,-0.7,2.14,1.44,1.04
