,RK,NAME,TEAM,GP,MPG,ORPM,DRPM,RPM,WINS
0,1,"Kevin Garnett, PF",MIN,82,40.5,3.98,4.46,8.44,25.76
1,2,"Tim Duncan, C",SA,81,39.3,2.57,3.75,6.32,19.77
2,3,"Dirk Nowitzki, F",DAL,80,39.0,4.17,2.04,6.21,20.00
3,4,"Tracy McGrady, SG",ORL,75,39.4,7.52,-1.88,5.64,17.75
4,5,"Arvydas Sabonis, C",POR,78,15.5,1.27,3.79,5.06,6.26
5,6,"Toni Kukoc, SF",MIL,63,27.0,2.56,2.38,4.94,9.10
6,7,"Jason Kidd, PG",NJ,80,37.4,3.87,1.06,4.93,16.09
7,8,"Rasheed Wallace, PF",POR,74,36.3,1.45,3.32,4.77,13.69
8,9,"Baron Davis, PG",NO,50,37.8,1.97,2.45,4.43,9.24
9,10,"Shaquille O'Neal, C",LAL,67,37.8,5.64,-1.24,4.40,12.93
10,11,"Andrei Kirilenko, SF",UTAH,80,27.7,0.50,3.62,4.12,10.45
11,12,"Ray Allen, SG",MIL/SEA,76,37.9,3.65,0.42,4.07,13.55
12,13,"Kobe Bryant, SF",LAL,82,41.5,4.42,-0.37,4.05,16.44
13,14,"Charlie Ward, PG",NY,66,22.2,2.68,1.30,3.98,6.93
14,15,"John Stockton, G",UTAH,82,27.7,2.58,1.28,3.86,10.25
15,16,"Shawn Marion, SG",PHX,81,41.6,1.94,1.89,3.83,15.91
16,17,"Reggie Miller, SG",IND,70,30.2,1.81,1.80,3.60,9.60
17,18,"Michael Finley, SG",DAL,69,38.3,2.37,1.14,3.52,11.95
18,19,"Steve Francis, PG",HOU,81,41.0,1.85,1.64,3.49,14.35
19,20,"Ben Wallace, PF",DET,73,39.4,-3.00,6.42,3.42,11.82
20,21,"Vince Carter, G",TOR,43,34.2,2.90,0.46,3.36,6.27
21,22,"Jon Barry, SG",DET,80,18.4,2.46,0.72,3.17,5.84
22,23,"Eddie Jones, SG",MIA,47,38.1,1.09,2.00,3.09,7.01
23,24,"Metta World Peace, SF",IND,69,33.6,1.35,1.65,3.00,9.57
24,25,"Mike James, PG",MIA,78,22.1,-0.08,2.97,2.89,6.43
25,26,"Eric Piatkowski, SG",LAC,62,21.9,2.05,0.83,2.87,5.32
26,27,"Paul Pierce, SF",BOS,79,39.2,2.97,-0.28,2.68,11.92
27,28,"Jamal Crawford, G",CHI,80,24.9,2.11,0.57,2.67,7.84
28,29,"David Robinson, C",SA,64,26.2,-0.87,3.54,2.67,6.30
29,30,"Robert Horry, PF",LAL,80,29.3,-0.50,3.04,2.54,8.83
30,31,"Earl Watson, PG",MEM,79,17.3,0.39,2.10,2.49,4.98
31,32,"Chauncey Billups, PG",DET,74,31.4,2.13,0.18,2.30,7.98
32,33,"Vlade Divac, C",SAC,80,29.8,0.09,2.20,2.29,8.89
33,34,"Allen Iverson, SG",PHI,82,42.5,2.95,-0.66,2.29,12.97
34,35,"Peja Stojakovic, SF",SAC,72,34.0,3.83,-1.56,2.27,9.29
35,36,"Shawn Bradley, C",DAL,81,21.4,-1.16,3.41,2.25,6.14
36,37,"Michael Jordan, G",WSH,82,37.0,-0.05,2.30,2.25,10.31
37,38,"Derrick Coleman, PF",PHI,64,27.2,-0.49,2.74,2.24,6.30
38,39,"Greg Ostertag, C",UTAH,81,23.8,-2.46,4.69,2.22,6.42
39,40,"Kerry Kittles, SG",NJ,65,30.0,1.89,0.29,2.19,6.88
40,41,"Eddie Griffin, PF",HOU,77,24.5,-0.33,2.51,2.18,6.37
41,42,"Gary Payton, PG",SEA/MIL,80,40.1,3.43,-1.27,2.16,11.18
42,43,"Stephon Marbury, PG",PHX,81,40.0,3.86,-1.71,2.15,11.73
43,44,"Scott Padgett, PF",UTAH,82,16.1,-0.33,2.39,2.06,4.43
44,45,"Chris Webber, C",SAC,67,39.1,1.95,0.1,2.05,9.4
45,46,"Michael Redd, SG",MIL,82,28.2,3.91,-1.89,2.02,7.92
46,47,"Reggie Slater, F",MIN,26,5.4,2.51,-0.5,2.01,0.47
47,48,"Derek Anderson, SG",POR,76,33.6,1.94,-0.06,1.88,8.34
48,49,"Vladimir Radmanovic, SF",SEA,72,26.5,0.05,1.8,1.85,6.16
49,50,"Elton Brand, PF",LAC,62,39.6,1.07,0.69,1.75,7.96
50,51,"Brent Barry, SG",SEA,75,33.1,1.04,0.67,1.72,7.72
51,52,"Brad Miller, C",IND,73,31.1,1.1,0.51,1.61,7.22
52,53,"Shane Battier, SF",MEM,78,30.6,0.45,1.14,1.59,7.59
53,54,"Donyell Marshall, PF",CHI,78,30.5,0.32,1.26,1.58,7.59
54,55,"Bobby Jackson, PG",SAC,59,28.4,2.31,-0.74,1.56,5.35
55,56,"Marko Jaric, PG",LAC,66,20.9,0.57,0.98,1.55,4.18
56,57,"Doug Christie, SG",SAC,80,33.9,1.09,0.44,1.53,8.8
57,58,"Casey Jacobsen, SG",PHX,72,15.9,-0.01,1.54,1.53,3.59
58,59,"Kenyon Martin, PF",NJ,77,34.1,0.13,1.36,1.49,7.98
59,60,"Tim Hardaway, G",IND,10,12.7,2.0,-0.51,1.49,0.42
60,61,"Erick Strickland, PG",IND,71,18.0,0.66,0.81,1.46,3.78
61,62,"Jason Terry, G",ATL,81,38.0,2.8,-1.36,1.44,9.49
62,63,"Zydrunas Ilgauskas, C",CLE,81,30.0,0.53,0.91,1.43,7.55
63,64,"Matt Harpring, SF",UTAH,78,32.8,1.31,0.08,1.4,7.5
64,65,"Scot Pollard, C",SAC,23,14.1,-0.44,1.83,1.39,0.96
65,66,"Tony Battie, C",BOS,67,25.1,-1.14,2.5,1.35,4.85
66,67,"Chris Crawford, PG",,--,--,1.78,-0.43,1.35,0.11
67,68,"Scottie Pippen, SF",POR,64,29.9,0.47,0.84,1.32,5.56
68,69,"Earl Boykins, PG",GS,68,19.4,2.02,-0.76,1.26,4.01
69,70,"Austin Croshere, PF",IND,49,12.9,1.26,0.0,1.26,1.76
70,71,"Kelvin Cato, C",HOU,73,17.1,-1.44,2.68,1.24,3.43
71,72,"LaPhonso Ellis, F",MIA,55,14.3,-0.19,1.4,1.22,2.09
72,73,"Jermaine O'Neal, C",IND,77,37.2,0.72,0.49,1.21,8.28
73,74,"Bruce Bowen, SF",SA,82,31.3,-1.77,2.98,1.21,7.25
74,75,"Marcus Fizer, F",CHI,38,21.3,1.03,0.16,1.19,2.35
75,76,"Raef LaFrentz, C",DAL,69,23.3,1.26,-0.08,1.18,4.65
76,77,"Dale Davis, PF",POR,78,29.3,-1.11,2.27,1.16,6.24
77,78,"Bo Outlaw, PF",PHX,80,22.5,-1.03,2.18,1.14,5.09
78,79,"Allan Houston, SG",NY,82,37.9,2.08,-0.96,1.12,8.75
79,80,"Mike Bibby, PG",SAC,55,33.4,2.34,-1.22,1.12,5.43
80,81,"Robert Traylor, PF",NO,69,12.3,-0.64,1.72,1.08,2.33
81,82,"Tony Parker, G",SA,82,33.8,1.97,-0.91,1.06,7.71
82,83,"Eddie House, SG",MIA,55,18.6,-0.57,1.63,1.06,2.72
83,84,"Shammond Williams, PG",BOS/DEN,78,24.1,-0.23,1.26,1.03,5.19
84,85,"Jamison Brewer, PG",IND,10,8.0,1.91,-0.9,1.01,0.21
85,86,"Adonal Foyle, C",GS,82,21.8,-1.4,2.34,0.94,5.0
86,87,"Jerry Stackhouse, SF",WSH,70,39.2,1.19,-0.26,0.93,7.15
87,88,"Morris Peterson, SG",TOR,82,36.0,-0.0,0.9,0.9,7.71
88,89,"Derek Fisher, PG",LAL,82,34.5,0.18,0.72,0.89,7.64
89,90,"Mike Wilks, PG",ATL/MIN,46,15.0,-2.27,3.15,0.88,1.68
90,91,"Antoine Walker, PF",BOS,78,41.5,1.26,-0.39,0.87,8.52
91,92,"Jerome Williams, PF",TOR,71,33.0,-0.76,1.6,0.84,6.06
92,93,"Gilbert Arenas, PG",GS,82,35.0,3.08,-2.29,0.79,7.92
93,94,"Kurt Thomas, PF",NY,81,31.8,-0.62,1.41,0.79,6.61
94,95,"Richard Hamilton, SG",DET,82,32.2,0.2,0.59,0.78,6.5
95,96,"Andrew DeClercq, C",ORL,77,17.2,-1.3,2.07,0.76,3.38
96,97,"Quentin Richardson, SF",LAC,59,23.2,0.03,0.73,0.76,3.45
97,98,"Rodney Rogers, SF",NJ,68,19.2,-1.12,1.87,0.76,3.27
98,99,"Corliss Williamson, PF",DET,82,25.1,-0.3,1.05,0.75,5.02
99,100,"Kevin Ollie, PG",MIL/SEA,82,23.1,-1.01,1.75,0.74,4.69
100,101,"Steve Nash, PG",DAL,82,33.1,4.42,-3.68,0.74,7.22
101,102,"Anthony Johnson, PG",NJ,66,12.8,-1.42,2.16,0.73,2.0
102,103,"Dion Glover, SG",ATL,76,24.9,-0.16,0.87,0.71,4.77
103,104,"David Wesley, SG",NO,73,37.1,0.62,0.08,0.71,6.8
104,105,"Darrel Armstrong, PG",ORL,82,28.7,0.47,0.2,0.66,6.05
105,106,"Marcus Camby, C",DEN,29,21.2,-0.21,0.84,0.63,1.55
106,107,"Richard Jefferson, F",NJ,80,36.0,0.03,0.59,0.62,7.11
107,108,"Jamal Mashburn, SF",NO,82,40.5,1.18,-0.57,0.61,8.13
108,109,"Corie Blount, PF",CHI,50,16.7,-1.79,2.37,0.58,2.05
109,110,"Juwan Howard, PF",DEN,77,35.5,-0.09,0.65,0.56,6.65
110,111,"Elden Campbell, C",NO/SEA,56,15.5,-2.32,2.87,0.55,1.95
111,112,"Steven Hunter, C",ORL,33,13.5,-1.05,1.6,0.54,1.08
112,113,"Chris Mills, SF",GS,21,12.5,0.66,-0.14,0.52,0.65
113,114,"Karl Malone, PF",UTAH,81,36.2,1.48,-0.98,0.5,6.92
114,115,"George Lynch, SF",NO,81,18.5,-0.91,1.39,0.48,3.45
115,116,"Manu Ginobili, G",SA,69,20.7,0.39,0.06,0.45,3.4
116,117,"Jerome Moiso, C",NO,51,12.6,-2.3,2.71,0.41,1.39
117,118,"Desmond Mason, SF",SEA/MIL,80,34.5,-0.24,0.65,0.41,6.37
118,119,"Erick Dampier, C",GS,82,24.1,-0.87,1.23,0.36,4.66
119,120,"Rick Fox, SF",LAL,76,28.7,0.31,0.03,0.33,5.07
120,121,"Vladimir Stepania, C",MIA,79,20.2,-3.62,3.94,0.32,3.32
121,122,"Jumaine Jones, SF",CLE,80,27.6,0.85,-0.56,0.3,5.11
122,123,"Keon Clark, PF",SAC,80,22.3,-1.73,1.98,0.25,4.0
123,124,"Tremaine Fowlkes, PF",LAC,37,15.5,-0.77,1.01,0.24,1.26
124,125,"Greg Buckner, SG",PHI,75,20.2,-0.88,1.11,0.23,3.39
125,126,"Chucky Atkins, PG",DET,65,21.5,-0.05,0.24,0.19,2.9
126,127,"Cuttino Mobley, SG",HOU,73,41.7,-0.16,0.34,0.19,6.55
127,128,"Mehmet Okur, C",DET,72,19.0,-0.07,0.24,0.17,2.76
128,129,"Danny Manning, F",DET,13,6.8,-0.64,0.8,0.15,0.18
129,130,"Damon Stoudamire, PG",POR,59,22.3,-0.43,0.54,0.11,2.65
130,131,"Rasho Nesterovic, C",MIN,77,30.4,-0.65,0.73,0.08,4.92
131,132,"Jake Voskuhl, C",PHX,65,14.6,-0.53,0.61,0.08,2.03
132,133,"Damon Jones, PG",SAC,49,14.5,1.17,-1.09,0.07,1.49
133,134,"Brian Skinner, PF",PHI,77,17.9,-0.88,0.94,0.06,2.96
134,135,"Glen Rice, SF",HOU,62,24.7,0.04,0.01,0.05,3.14
135,136,"Theo Ratliff, C",ATL,81,31.1,-3.54,3.56,0.02,5.23
136,137,"Al Harrington, PF",IND,82,30.1,-1.52,1.53,0.01,5.07
137,138,"Stromile Swift, PF",MEM,67,22.1,-0.7,0.71,0.01,3.05
138,139,"Othella Harrington, PF",NY,74,25.0,-1.64,1.62,-0.02,3.69
139,140,"Eduardo Najera, PF",DAL,48,23.0,0.49,-0.52,-0.03,2.36
140,141,"Rafer Alston, PG",TOR,47,20.9,0.96,-1.0,-0.04,1.93
141,142,"Aaron McKie, SG",PHI,80,29.7,-0.15,0.07,-0.08,5.0
142,143,"Dan Langhi, PF",PHX,60,9.0,-0.89,0.79,-0.1,1.09
143,144,"Kenny Anderson, PG",SEA/NO,61,18.6,-1.04,0.94,-0.1,2.17
144,145,"Jason Williams, PG",MEM,76,31.7,4.03,-4.13,-0.11,4.95
145,146,"Anfernee Hardaway, SF",PHX,58,30.6,-0.76,0.65,-0.11,3.55
146,147,"Yao Ming, C",HOU,82,29.0,-0.44,0.32,-0.12,4.63
147,148,"Chris Andersen, PF",DEN,59,15.4,-1.6,1.47,-0.13,1.78
148,149,"Ryan Bowen, SF",DEN,62,16.1,-2.4,2.26,-0.14,1.89
149,150,"Howard Eisley, PG",NY,82,27.4,1.28,-1.42,-0.14,4.36
150,151,"Tony Delk, PG",BOS,67,28.0,-0.23,0.05,-0.17,3.64
151,152,"Jonathan Bender, SF",IND,46,17.8,-0.86,0.64,-0.22,1.54
152,153,"Eric Snow, PG",PHI,82,37.9,-0.04,-0.18,-0.22,6.14
153,154,"J.R. Bremer, PG",BOS,64,23.5,0.96,-1.19,-0.23,2.77
154,155,"Eric Williams, PF",BOS,82,28.7,-1.42,1.17,-0.25,4.38
155,156,"Kedrick Brown, SG",BOS,51,13.1,-2.68,2.42,-0.25,1.2
156,157,"Zach Randolph, F",POR,77,16.9,0.45,-0.72,-0.27,2.32
157,158,"Jason Collins, C",NJ,81,23.5,-2.77,2.48,-0.29,3.49
158,159,"Keith Van Horn, PF",PHI,74,31.6,1.02,-1.32,-0.3,4.47
159,160,"Lucious Harris, SG",NJ,77,25.6,-0.35,0.05,-0.31,3.61
160,161,"Stacey Augmon, SF",NO,70,12.3,-2.32,2.01,-0.31,1.55
161,162,"Brendan Haywood, C",WSH,81,23.8,-1.36,1.01,-0.35,3.32
162,163,"Christian Laettner, PF",WSH,76,29.1,-1.14,0.76,-0.38,3.84
163,164,"Shareef Abdur-Rahim, PF",ATL,81,38.1,0.88,-1.29,-0.41,5.54
164,165,"Bob Sura, PG",GS,55,20.5,0.85,-1.28,-0.42,2.06
165,166,"Wally Szczerbiak, SG",MIN,52,35.3,1.26,-1.69,-0.43,3.28
166,167,"Joe Smith, PF",MIN,54,20.7,-0.44,-0.0,-0.44,1.97
167,168,"Shandon Anderson, SF",NY,82,21.1,-0.97,0.53,-0.45,2.98
168,169,"Jamaal Magloire, C",NO,82,29.8,-1.51,1.01,-0.5,4.13
169,170,"Grant Hill, SF",ORL,29,29.1,1.02,-1.54,-0.52,1.48
170,171,"Predrag Drobnjak, C",SEA,82,24.2,-1.28,0.76,-0.53,3.23
171,172,"Jerome James, C",SEA,51,15.0,-2.97,2.44,-0.53,1.23
172,173,"Maceo Baston, SF",TOR,16,6.6,-1.46,0.93,-0.53,0.18
173,174,"Kenny Thomas, PF",HOU/PHI,66,30.0,-0.63,0.09,-0.55,3.43
174,175,"Alvin Williams, PG",TOR,78,33.8,1.29,-1.86,-0.57,4.41
175,176,"P.J. Brown, PF",NO,78,33.4,-0.36,-0.22,-0.58,4.32
176,177,"Pat Garrity, PF",ORL,81,31.9,0.65,-1.23,-0.58,4.45
177,178,"Corey Maggette, SF",LAC,64,31.3,1.1,-1.69,-0.59,3.43
178,179,"Joe Johnson, G",PHX,82,27.5,-0.23,-0.37,-0.59,3.82
179,180,"Gary Trent, PF",MIN,80,15.3,-0.43,-0.17,-0.59,1.97
180,181,"Matt Maloney, G",ATL,14,7.4,-0.49,-0.11,-0.6,0.15
181,182,"Rod Strickland, PG",MIN,47,20.3,0.35,-0.96,-0.61,1.58
182,183,"Lindsey Hunter, SG",TOR,29,23.2,-0.77,0.16,-0.62,1.08
183,184,"Steve Kerr, G",SA,75,12.7,-0.52,-0.1,-0.62,1.5
184,185,"Walter McCarty, PF",BOS,82,23.8,-1.1,0.47,-0.63,3.24
185,186,"Reggie Evans, C",SEA,67,20.4,-2.98,2.34,-0.64,2.08
186,187,"Antawn Jamison, PF",GS,82,39.3,2.09,-2.73,-0.64,5.6
187,188,"Jeff Trepagnier, SG",DEN,8,12.1,-0.49,-0.16,-0.66,0.16
188,189,"Jeff Foster, PF",IND,77,10.4,-1.76,1.1,-0.66,1.25
189,190,"Devean George, SF",LAL,71,22.7,-0.92,0.25,-0.67,2.61
190,191,"Brian Grant, PF",MIA,82,32.2,-2.03,1.33,-0.7,4.02
191,192,"Tierre Brown, PG",CLE,15,11.2,-0.01,-0.73,-0.74,0.26
192,193,"Pau Gasol, PF",MEM,82,36.0,1.68,-2.43,-0.76,4.73
193,194,"Caron Butler, SF",MIA,78,36.6,-2.12,1.36,-0.76,4.23
194,195,"Tyronn Lue, PG",WSH,75,26.5,0.15,-0.94,-0.79,2.91
195,196,"Soumaila Samake, C",LAL,13,5.9,-1.2,0.39,-0.81,0.11
196,197,"Speedy Claxton, PG",SA,30,15.7,0.6,-1.41,-0.81,0.7
197,198,"Jim Jackson, SF",SAC,63,20.8,-0.89,0.08,-0.81,1.98
198,199,"Roger Mason Jr., SG",CHI,17,6.6,-0.48,-0.36,-0.84,0.17
199,200,"Jalen Rose, SG",CHI,82,40.9,1.25,-2.1,-0.85,5.17
200,201,"Walt Williams, F",DAL,66,17.6,0.36,-1.23,-0.87,1.77
201,202,"Charles Oakley, PF",WSH,42,12.2,-3.51,2.61,-0.9,0.69
202,203,"James Posey, SF",DEN/HOU,83,30.3,-0.94,0.03,-0.91,3.64
203,204,"Lamar Odom, PF",LAC,49,34.3,0.3,-1.23,-0.93,2.44
204,205,"Monty Williams, SF",PHI,21,13.1,-1.04,0.11,-0.93,0.4
205,206,"Chris Wilcox, PF",LAC,46,10.4,-0.91,-0.02,-0.93,0.68
206,207,"Melvin Ely, C",LAC,52,15.4,-2.19,1.25,-0.93,1.11
207,208,"Chris Whitney, PG",DEN/ORL,51,20.6,-0.03,-0.91,-0.94,1.51
208,209,"Sean Lampley, SF",MIA,35,13.9,-1.37,0.43,-0.94,0.65
209,210,"Adrian Griffin, G",DAL,74,18.6,-1.61,0.6,-1.01,1.94
210,211,"Nazr Mohammed, C",ATL,35,12.7,-2.13,1.12,-1.02,0.61
211,212,"Tariq Abdul-Wahad, SF",DAL,14,14.6,-0.32,-0.72,-1.04,0.29
212,213,"Jared Jeffries, PF",WSH,20,14.6,-1.91,0.86,-1.05,0.39
213,214,"Horace Grant, C",ORL,5,17.0,-0.92,-0.14,-1.05,0.11
214,215,"Fred Hoiberg, SG",CHI,63,12.4,-2.09,1.03,-1.06,1.11
215,216,"Sam Cassell, PG",MIL,78,34.6,2.87,-3.92,-1.06,3.73
216,217,"Primoz Brezec, C",IND,22,5.0,-0.65,-0.41,-1.07,0.14
217,218,"Jacque Vaughn, PG",ORL,80,21.1,-1.08,0.01,-1.08,2.28
218,219,"Andre Miller, PG",LAC,80,36.4,1.06,-2.15,-1.09,3.94
219,220,"Stephen Jackson, SF",SA,80,28.2,0.64,-1.74,-1.1,2.97
220,221,"Antonio Daniels, PG",POR,67,13.0,-0.25,-0.85,-1.1,1.11
221,222,"Travis Best, PG",MIA,72,25.1,-1.5,0.4,-1.1,2.28
222,223,"Brevin Knight, PG",MEM,55,16.9,-1.56,0.43,-1.13,1.19
223,224,"Malik Rose, PF",SA,79,24.5,-1.03,-0.13,-1.15,2.5
224,225,"Etan Thomas, C",WSH,38,13.5,-0.74,-0.42,-1.15,0.64
225,226,"Bonzi Wells, SG",POR,75,31.9,-0.1,-1.06,-1.16,3.06
226,227,"Clifford Robinson, PF",DET,81,34.9,-1.51,0.32,-1.19,3.42
227,228,"Michael Dickerson, G",MEM,6,14.5,-0.66,-0.58,-1.24,0.1
228,229,"Bobby Simmons, SF",WSH,36,10.5,-0.14,-1.12,-1.25,0.43
229,230,"Latrell Sprewell, SG",NY,74,38.6,0.57,-1.84,-1.26,3.48
230,231,"Tim Thomas, PF",MIL,80,29.5,0.7,-1.97,-1.27,2.87
231,232,"Jason Collier, C",HOU,13,8.0,-1.08,-0.2,-1.28,0.12
232,233,"Nick Van Exel, PG",DAL,73,27.8,2.04,-3.34,-1.3,2.52
233,234,"Juan Dixon, SG",WSH,42,15.4,-0.76,-0.55,-1.31,0.74
234,235,"Oscar Torres, G",GS,17,6.4,-0.52,-0.79,-1.31,0.12
235,236,"Efthimios Rentzias, C",PHI,35,4.1,-0.9,-0.48,-1.38,0.15
236,237,"Todd MacCulloch, C",PHI,42,19.3,-1.38,0.01,-1.38,0.93
237,238,"Donnell Harvey, PF",DEN,77,20.9,-2.18,0.8,-1.38,1.82
238,239,"Jahidi White, C",WSH,16,14.4,-0.28,-1.16,-1.44,0.24
