Rank_1994,Rank_1995,Rank_1996,Rank_1997,Rank_1998,Rank_1999,Rank_2000,Rank_2001,Rank_2002,Rank_2003,Rank_2004,Rank_2005,Rank_2006,Rank_2007,Rank_2008,Rank_2009,Rank_2010,Rank_2011,Rank_2012,Rank_2013,Rank_2014,Rank_2015,Rank_2016,Rank_2017,Rank_2018,Rank_2019,Rank_2020,Rank_2021,Rank_2022,Rank_2023
1,1,3,2,2,3,1,-1,1,1,2,-1,1,5,1,8,1,1,5,7.0,1.0,1,1,2.0,1.0,1.0,1.0,1.0,3.0,1.0
2,3,1,-1,1,1,5T,1,3T,-1,6,10,5,-1,4,1,-1,2,3,1,7.0,4,2,1,-1,2.0,3.0,9.0,-1.0,6.0
-1.0,4,5,1,-1,2,3T,1,-1,4,7,1,2,6,3,4,-1,5,7,6,4.0,3.0,3,-1,8.0,5.0,2,-1,4.0,3.0
-1,2,4,5,3,7T,-1,-1,-1,3,1,5,3,-1,2,6,14,12T,4,2,13T,2,4.0,-1.0,6,3.0,11,-1,10,2.0
7T,6T,6,4,5T,4,2,7,2,11,3,4,4,2,-1,-1,-1,25,9.0,14,10.0,6.0,10,3,-1.0,-1,-1.0,6.0,-1.0,9T
-1.0,5,2,3,4,5T,-1,3,-1,8,3,-1,4,1,-1.0,2,4,6.0,2.0,3.0,5,-1,-1,-1.0,3,-1.0,8T,3,9,-1
-1.0,6T,7,6T,11T,-1,-1,11T,3T,-1,5,-1,6,-1,6,-1,12,10.0,-1,-1,-1,8,11T,5T,-1,6T,8T,5.0,6.0,9T
4,-1.0,8T,-1,11T,7T,7,5T,-1,5.0,-1,9,7,-1.0,12,-1,3,17,10,21,11,-1.0,7.0,-1,15T,4,-1,11T,-1.0,5.0
7T,6T,-1,-1,5T,7T,3T,8T,-1,13T,-1.0,-1,-1,8,9,5,6,9,-1,5.0,2.0,15T,-1,-1.0,15T,-1,10.0,-1.0,-1,-1
3,-1,8T,-1,5T,-1,-1,-1,-1,11,10T,21T,10T,3,16T,-1,10T,16,12T,4.0,13T,10T,-1,-1.0,-1.0,6T,-1,7,1,-1.0
