Rank_1994,Rank_1995,Rank_1996,Rank_1997,Rank_1998,Rank_1999,Rank_2000,Rank_2001,Rank_2002,Rank_2003,Rank_2004,Rank_2005,Rank_2006,Rank_2007,Rank_2008,Rank_2009,Rank_2010,Rank_2011,Rank_2012,Rank_2013,Rank_2014,Rank_2015,Rank_2016,Rank_2017,Rank_2018,Rank_2019,Rank_2020,Rank_2021,Rank_2022,Rank_2023
1,1,3,2,1,3,1,-1,1,1,2,-1,1,5,1,1,1,1,3,7.0,1.0,1,1,2.0,1.0,1.0,1.0,1.0,3.0,6.0
2,3,1,1,2,7T,3T,1,3T,4,6,10,2,6,3,8,-1,2,2.0,1,7.0,4,2,1,-1,2.0,3.0,9.0,-1.0,1.0
-1.0,4,5,-1,-1,2,5T,1,-1,3,7,1,5,2,2,2,4,25,5,6,3.0,3.0,3,-1.0,-1.0,5.0,8T,-1,10,9T
-1.0,2,4,3,-1.0,1,-1,7,-1,-1,5,9,3,1,6,6,3,6.0,-1.0,14,5,2,4.0,-1,8.0,3.0,-1.0,-1.0,2.0,2.0
-1,-1.0,6,-1.0,3,4,-1,3,-1,-1,3,3,4,-1,7T,5,6,12T,-1.0,-1,-1.0,-1.0,10,-1.0,6,6T,11,5.0,6.0,3.0
7T,-1,2,-1.0,-1.0,5T,2,-1,-1,-1.0,1,18T,4,4,-1.0,-1,-1,9,12T,3.0,4.0,-1.0,-1.0,3,3,-1.0,2,6.0,-1.0,9T
-1.0,-1.0,-1.0,4,-1.0,-1,-1,5T,-1,5.0,3,4,7,-1.0,16T,13T,12,-1.0,6.0,8.0,11,6.0,-1,-1.0,-1.0,-1,10.0,3,-1.0,-1
3,-1.0,-1,5,5T,-1,-1.0,-1.0,-1,11,-1,-1,13T,3,12,-1,2,10.0,-1,21,2.0,8,7.0,-1.0,-1.0,4,-1.0,-1,-1.0,-1
4,-1.0,-1.0,6T,-1,-1.0,-1.0,11T,-1.0,13T,-1.0,-1,10T,21T,-1,-1.0,10T,-1.0,10,2,-1,-1.0,-1,-1.0,-1.0,-1,-1,-1.0,1,4
7T,-1.0,-1.0,-1,5T,-1.0,3T,-1.0,-1,-1.0,-1,8,-1,13T,-1,4,7.0,17,7,4.0,10.0,5.0,5.0,5T,-1,-1,-1,-1,4.0,-1
