Feature,Importance
First_votes,0.9202807454586444
D-LEBRON_bball,0.008198082294204209
Dpoy_titles,0.0036915664036613507
OPP PTS 2ND CHANCE_nba,0.0029387318749262105
BLK_100_poss,0.002303809595579886
DEF RTG_nba,0.00226492041395415
STL,0.0022096309188070853
raptor_defense_raptor,0.0018625623674237866
DRtg_100_poss,0.0018446584881810523
DEF WS_nba,0.0018133396295909423
OPP PTS PAINT_nba,0.001589542021055222
STL_nba,0.0015634928736751564
predator_defense_raptor,0.0013690899779635953
MP,0.0013353299766918634
mp_raptor,0.0013165147031051969
MIN_nba,0.0012536914908366265
MPG_espn,0.0012170059986720712
2P%_opponent,0.0011682990510814228
OPP PTS OFF TOV_nba,0.001144871988534332
BLK_nba,0.0011270636408126952
pace_impact_raptor,0.0010119167836373
DBPM_advanced,0.0009822109883220723
DRtg_misc,0.000981346417791556
RPM_espn,0.0009610164099383627
DRB%_misc,0.0009337955262465075
3P%_opponent,0.0008983397962091356
STL%_nba,0.0008975464531043155
TRB%_advanced,0.0008875218703078781
STL_100_poss,0.0008851259241965621
poss_raptor,0.0008631828432926728
BLK%_advanced,0.000834937193917352
BLK,0.0008066970649885434
MP_100_poss,0.0007960377200378417
%DREB_nba,0.0007947327208363805
AST_opponent,0.0007894694421986377
TRB,0.0007522560310478592
DWS_advanced,0.000743100654752834
TRB_team,0.0007225508198572973
STL%_advanced,0.000719295266602677
FT%_opponent,0.0007082818764798372
DRB%_advanced,0.0007078104437374182
BLK_team,0.0006940531327020437
DREB_nba,0.0006897885399849974
DRB_100_poss,0.0006686023543546803
TRB_opponent,0.0006578843474467587
L_misc,0.0006311415371556874
SOS_misc,0.0006256622014719345
TRB_100_poss,0.0006234589833929613
PF,0.0005544097166131808
2P_opponent,0.0005479406781322648
3P_opponent,0.0005436133140665093
3PA_opponent,0.0005341576854661636
%BLK_nba,0.0005307327745751894
SRS_misc,0.0005124095795944972
W_nba,0.0004981539071465592
PF_100_poss,0.0004882849138780431
MOV_misc,0.0004752200297224914
PF_team,0.0004711203838033744
PER_advanced,0.00046932692348330556
raptor_total_raptor,0.0004641146292749919
MP_advanced,0.00043362871360942375
war_total_raptor,0.00043270403775182696
TOV%_misc,0.00043218209581676135
BPM_advanced,0.000424187523350029
FT_opponent,0.00041682947347142013
WINS_espn,0.00038870792767902834
PL_misc,0.0003814282691534059
teamates_with_dpoy,0.00037131198444001804
OPP PTS FB_nba,0.0003476640408716182
PW_misc,0.0003467049495321971
Pace_misc,0.0003442320514834199
DRPM_espn,0.00034224979623740704
ORB_opponent,0.00034092652069673017
STL_team,0.0003348198660413499
W_misc,0.0003283562338765184
TOV,0.0003133091011290355
DREB%_nba,0.00031302666755815756
VORP_advanced,0.0003115854034749411
2PA_opponent,0.00029919323317129516
war_reg_season_raptor,0.00029560784556959934
TOV_team,0.0002882995785037851
GP_nba,0.00028550352510804797
GS,0.00028313645745221594
Dpoy_votes,0.0002817036810711327
DRB,0.0002803182528121379
TOV_100_poss,0.00027752257004750805
FGA_opponent,0.00027002003613856755
G,0.00024214856051653152
AST_team,0.00020484180660679317
predator_total_raptor,0.00020255080095448318
DRB_team,0.00020231456682931421
TOV%.1_misc,0.00020167038536151536
WS/48_advanced,0.0001878056028381794
FTA_opponent,0.00018092804128026684
WS_advanced,0.00017317569166523414
Age,0.00013563310571553235
GP_espn,0.00013061550243188974
FG%_opponent,0.00012295905258294016
