,Feature,Importance
0,First_votes,0.7521128266767686
1,MP,0.0009404109774630673
2,TOV,0.0026318286344953422
3,PF,0.0008307618612656211
4,MP_100_poss,0.0031695450742540163
5,BLK_100_poss,0.00118502717752489
6,TOV_100_poss,0.004338349067047332
7,PER_advanced,0.001088542399326378
8,TS%_advanced,0.003162626521871791
9,TOV%_advanced,0.001002519066168539
10,USG%_advanced,0.0016063451163125873
11,DWS_advanced,0.0013776484035371926
12,WS/48_advanced,0.001781400083495877
13,DBPM_advanced,0.0025554654811217057
14,VORP_advanced,0.0013845612137062325
15,DRB_team,0.0010020853808462304
16,TRB_team,0.0008831204367231682
17,STL_team,0.0009628491287152027
18,BLK_team,0.0013763790612565806
19,PF_team,0.002018290432854338
20,3P_opponent,0.002907185963150501
21,3PA_opponent,0.005250165947120748
22,3P%_opponent,0.0009492258951218739
23,2P_opponent,0.0008726310336267317
24,2PA_opponent,0.0011373138895857135
25,FT%_opponent,0.002240205372562088
26,ORB_opponent,0.04101795684444489
27,SOS_misc,0.0009054830442472829
28,DRtg_misc,0.0008395478035692092
29,Pace_misc,0.0010847982119314792
30,TOV%_misc,0.0013930380238841749
31,DRB%_misc,0.08043607743946554
32,MPG_espn,0.0008403076127303778
33,DRPM_espn,0.001127274410676553
34,WINS_espn,0.0012132011180010288
35,poss_raptor,0.0013298141494470582
36,mp_raptor,0.0010006220387518653
37,raptor_defense_raptor,0.0015297712684816975
38,war_reg_season_raptor,0.001662542134317431
39,predator_defense_raptor,0.005570456434089987
40,pace_impact_raptor,0.001652417486710674
41,L_nba,0.00167751210285111
42,MIN_nba,0.0007524754035994146
43,DEF RTG_nba,0.0045712131632390605
44,%DREB_nba,0.0008070957895373699
45,STL_nba,0.0011949680367335988
46,STL%_nba,0.016015702047138997
47,BLK_nba,0.0013254204492664282
48,%BLK_nba,0.0022245914359417898
49,OPP PTS 2ND CHANCE_nba,0.001046139655433819
50,OPP PTS PAINT_nba,0.0018302198431582668
51,DEF WS_nba,0.0021175516345773053
52,D-LEBRON_bball,0.002614069453741296
