,Feature,MI_Score
67,SOS_misc,0.0
48,FGA_opponent,0.0
45,TOV_team,0.0
42,AST_team,0.0
72,TOV%.1_misc,0.00020665185202117797
44,BLK_team,0.0002988610125103097
56,FT_opponent,0.0005598468179406346
41,TRB_team,0.0010484568161770458
57,FTA_opponent,0.0011388718268352527
53,2P_opponent,0.001175180128306863
46,PF_team,0.0012283207260610496
0,Dpoy_titles,0.0012711016387987328
43,STL_team,0.0013849531713652219
58,FT%_opponent,0.0013856833408545377
29,AST%_advanced,0.0015993073464619645
71,TOV%_misc,0.0018195608833879717
52,3P%_opponent,0.002339121681901535
33,USG%_advanced,0.002493464477775431
60,TRB_opponent,0.002693652561195359
70,Pace_misc,0.0027014057036849337
18,AST_100_poss,0.0027683152379525122
51,3PA_opponent,0.0028615791176496153
40,DRB_team,0.0031116421926837834
50,3P_opponent,0.003484645449011614
47,PTS_team,0.003568872456831018
54,2PA_opponent,0.003876048579765312
73,DRB%_misc,0.003950073531884701
55,2P%_opponent,0.004008568173387683
21,TOV_100_poss,0.0045351134577893415
49,FG%_opponent,0.0045685358119154085
61,AST_opponent,0.004712009140485307
32,TOV%_advanced,0.004752013039177827
59,ORB_opponent,0.004820950777462141
4,Age,0.004893724908260788
28,TRB%_advanced,0.004978970736077226
30,STL%_advanced,0.005321451515758913
27,DRB%_advanced,0.005394074972683516
19,STL_100_poss,0.005450901022491461
69,DRtg_misc,0.005512871708518885
3,teamates_with_dpoy,0.005708665161538784
95,%DREB_nba,0.005712103254663425
94,DREB%_nba,0.00599193601875414
99,%BLK_nba,0.006019096684823255
31,BLK%_advanced,0.006085990513297945
16,DRB_100_poss,0.006581845740453618
65,PL_misc,0.006591638667980737
63,L_misc,0.0068419512921464865
66,MOV_misc,0.00724593957041364
17,TRB_100_poss,0.0073136805367379765
62,W_misc,0.007324072454628405
26,TS%_advanced,0.0073645701469899905
64,PW_misc,0.007619578068731592
68,SRS_misc,0.00763775513170728
20,BLK_100_poss,0.008152215780434346
22,PF_100_poss,0.008280830739596734
10,AST,0.00840286135365842
97,STL%_nba,0.008594969790462592
105,D-LEBRON_bball,0.00862265087805869
87,pace_impact_raptor,0.00976484704704017
92,DEF RTG_nba,0.010281809838776246
90,L_nba,0.010283197196056637
5,G,0.01295207853643876
88,GP_nba,0.013216292968422527
14,PF,0.013267703306689915
74,GP_espn,0.013456545950627063
13,TOV,0.015510600094183147
76,DRPM_espn,0.016827481253753218
23,DRtg_100_poss,0.017160750088473176
25,PER_advanced,0.01796339306036998
11,STL,0.01825707360112805
12,BLK,0.018399834817424576
36,WS/48_advanced,0.01930731435482813
98,BLK_nba,0.019816436319111563
96,STL_nba,0.020253420436951997
89,W_nba,0.02043336563361109
37,DBPM_advanced,0.020980565093549064
9,TRB,0.021858558802396066
93,DREB_nba,0.02193643113231314
101,OPP PTS 2ND CHANCE_nba,0.022692760471301643
103,OPP PTS PAINT_nba,0.023519443294363507
102,OPP PTS FB_nba,0.023520212778019634
77,RPM_espn,0.023607926140650104
8,DRB,0.023842330245985366
75,MPG_espn,0.024034415465022718
100,OPP PTS OFF TOV_nba,0.02410792545526408
91,MIN_nba,0.024300470415856035
38,BPM_advanced,0.025049825257909664
78,WINS_espn,0.026117973146695617
6,GS,0.026828245885292867
24,MP_advanced,0.026995886809010106
81,raptor_defense_raptor,0.027196445588218543
15,MP_100_poss,0.027198874653684646
7,MP,0.027356437367828335
104,DEF WS_nba,0.027717980181087842
80,mp_raptor,0.027796101050519217
79,poss_raptor,0.029027066710827
39,VORP_advanced,0.029612940856363013
82,raptor_total_raptor,0.0302129404295175
86,predator_total_raptor,0.0310523981616615
35,WS_advanced,0.031710255434735934
84,war_reg_season_raptor,0.03374804388122432
85,predator_defense_raptor,0.033845395486401975
83,war_total_raptor,0.03432056093693281
2,First_votes,0.04370094209968123
34,DWS_advanced,0.043952506616431686
1,Dpoy_votes,0.05988139926028091
