,Feature Names,Coefficient_Magnitude_RidgeCV
0,BLK_nba,5.222705406255997
1,First_votes,4.703783596530229
2,BLK,4.644883540279949
3,STL_nba,3.7136093661231095
4,Dpoy_titles,2.818679015414716
5,STL,2.647320761656765
6,BLK_100_poss,2.174432294554663
7,WS/48_advanced,1.8792260767626416
8,BLK%_advanced,1.6937425596256617
9,D-LEBRON_bball,1.4609864105984407
10,TRB_100_poss,1.027518888591203
11,DWS_advanced,1.0126248112184157
12,Dpoy_votes,0.938617399556847
13,2P%_opponent,0.9097254361778546
14,TRB%_advanced,0.908803274492243
15,war_total_raptor,0.8649360260540107
16,DREB_nba,0.8245463204520576
17,DRB%_misc,0.7529210872015426
18,war_reg_season_raptor,0.7465474665330021
19,DEF WS_nba,0.7008223704468728
20,TOV%_misc,0.6530463484808848
21,VORP_advanced,0.46956855812948106
22,TOV%.1_misc,0.4201561005395824
23,WINS_espn,0.4178478728353525
24,TRB,0.36257546643042815
25,DRtg_misc,0.32130329706467364
26,MIN_nba,0.2783556921378647
27,SOS_misc,0.2759958669119058
28,DRPM_espn,0.269066094724252
29,TOV,0.26367051932753327
30,AST,0.26082821115085153
31,OPP PTS 2ND CHANCE_nba,0.259281131423144
32,PL_misc,0.21766071565980383
33,teamates_with_dpoy,0.20535857393106483
34,MP,0.2024889909008607
35,TS%_advanced,0.2016054665029312
36,OPP PTS PAINT_nba,0.20009741227404731
37,DRB_100_poss,0.19819514506775704
38,FT%_opponent,0.1690210184477109
39,L_misc,0.15659208744182251
40,WS_advanced,0.1550988058488656
41,predator_defense_raptor,0.14741140514649942
42,RPM_espn,0.14333943549215178
43,Pace_misc,0.14255299387599507
44,W_misc,0.1395675691494489
45,raptor_defense_raptor,0.12588513055067097
46,OPP PTS OFF TOV_nba,0.1246592501439352
47,AST_100_poss,0.12255845829506029
48,3P%_opponent,0.11459918249172185
49,pace_impact_raptor,0.10945797642919786
50,Age,0.08913159476469446
51,PW_misc,0.0784989409339687
52,predator_total_raptor,0.07271024962176398
53,DBPM_advanced,0.07190992425088893
54,PER_advanced,0.06971742058829022
55,PF,0.0601978084304875
56,DRB%_advanced,0.05337262703926626
57,DREB%_nba,0.049224626663487925
58,MPG_espn,0.041559632943460656
59,%BLK_nba,0.040180977756108405
60,raptor_total_raptor,0.038961501494895856
61,%DREB_nba,0.03872441003949234
62,USG%_advanced,0.0360980015729524
63,TOV_100_poss,0.03490032291494316
64,W_nba,0.029633747909201702
65,L_nba,0.02942185488876703
66,AST%_advanced,0.02911794362978526
67,3P_opponent,0.028544948636408662
68,FG%_opponent,0.027094255731667793
69,PF_100_poss,0.023042559534019347
70,STL%_nba,0.022242168477362156
71,OPP PTS FB_nba,0.022110789996997227
72,ORB_opponent,0.02120294539963652
73,SRS_misc,0.019286679890569758
74,2P_opponent,0.018113381986040622
75,STL_100_poss,0.01690840761718171
76,STL%_advanced,0.01690840761718171
77,MOV_misc,0.016895267000222702
78,DRB,0.016578382227976363
79,FT_opponent,0.01239825335687783
80,DEF RTG_nba,0.010863917673532342
81,DRtg_100_poss,0.009646346829413233
82,mp_raptor,0.00904723658459261
83,GS,0.007321068374949391
84,TOV_team,0.006817968000177643
85,FTA_opponent,0.006677665198367322
86,DRB_team,0.005572954247327289
87,PF_team,0.005301089745898935
88,TOV%_advanced,0.004955461692532026
89,STL_team,0.0048041287586784165
90,poss_raptor,0.00429103581700474
91,PTS_team,0.0038314490375341848
92,BPM_advanced,0.0025372628799686936
93,FGA_opponent,0.002197443427576218
94,G,0.0019841714788526588
95,2PA_opponent,0.0013856552650395315
96,3PA_opponent,0.0008117880242934916
97,AST_team,0.0004988079290342284
98,AST_opponent,0.0004677507131418679
99,BLK_team,0.00041795202741923276
