,Feature Names,Coefficient_Magnitude_RidgeCV
0,BLK_nba,5.2174480642660725
1,First_votes,4.703703474888243
2,BLK,4.476826063082399
3,STL_nba,3.740673719586016
4,Dpoy_titles,2.8109559856889064
5,STL,2.738671911607291
6,BLK_100_poss,2.186870914157325
7,BLK%_advanced,1.6784875126813859
8,D-LEBRON_bball,1.4582265857959718
9,TRB_100_poss,1.0449108819994422
10,DWS_advanced,1.0043812351085535
11,TRB%_advanced,0.940703004938996
12,Dpoy_votes,0.931572182211994
13,2P%_opponent,0.8936991814894464
14,war_total_raptor,0.8623547183922255
15,DRB%_misc,0.832887306715179
16,DREB_nba,0.8307705501139822
17,war_reg_season_raptor,0.7558139063503404
18,WS/48_advanced,0.6616059797475025
19,DEF WS_nba,0.645479363847278
20,TOV,0.6321771064147015
21,TOV%_misc,0.6217193420776823
22,VORP_advanced,0.5704995617938948
23,TOV%.1_misc,0.5560424574541969
24,DRtg_misc,0.4429057606701008
25,WINS_espn,0.4195280956086265
26,TRB,0.27952073154091295
27,MIN_nba,0.27573885791122166
28,OPP PTS 2ND CHANCE_nba,0.26374779541723115
29,DRPM_espn,0.2614147299887293
30,SOS_misc,0.2330564576097487
31,teamates_with_dpoy,0.22040225551418757
32,PL_misc,0.20276178937683653
33,DRB_100_poss,0.1984293749568451
34,OPP PTS PAINT_nba,0.194304060405031
35,MP,0.1885041876704463
36,3P%_opponent,0.17478085394224818
37,FT%_opponent,0.17094624672193703
38,L_misc,0.16486549589899369
39,Pace_misc,0.15852093881647988
40,RPM_espn,0.1550025769873855
41,MOV_misc,0.15202661203102252
42,W_misc,0.14837725901293197
43,predator_defense_raptor,0.14553555637729687
44,raptor_defense_raptor,0.1302794409336343
45,WS_advanced,0.12288906901790142
46,pace_impact_raptor,0.11436291476262284
47,PW_misc,0.11048096553668074
48,PF,0.10164820156070675
49,OPP PTS OFF TOV_nba,0.0932658869990135
50,Age,0.09085647994831447
51,FG%_opponent,0.07440376658170678
52,predator_total_raptor,0.07410725340071167
53,DRB,0.07074517596703345
54,DRB%_advanced,0.06312663194989909
55,W_nba,0.0592539979258504
56,DREB%_nba,0.050692655695044664
57,MPG_espn,0.04950143163927123
58,raptor_total_raptor,0.04440241513782439
59,PF_100_poss,0.04409420470739178
60,%BLK_nba,0.03964873778454603
61,%DREB_nba,0.03831915900758531
62,GP_nba,0.03179973352376919
63,SRS_misc,0.031195163056054298
64,PER_advanced,0.027236073805511296
65,ORB_opponent,0.02379712256060884
66,STL%_nba,0.022183789272162358
67,OPP PTS FB_nba,0.02205284970021637
68,3P_opponent,0.02112443921942031
69,TOV_100_poss,0.018960608017337677
70,DBPM_advanced,0.01329028985713876
71,2P_opponent,0.012836224424972897
72,DEF RTG_nba,0.010820158007391
73,STL_100_poss,0.010717406674030983
74,STL%_advanced,0.010717406674030983
75,FT_opponent,0.009964427718841762
76,mp_raptor,0.008851297461660579
77,DRtg_100_poss,0.008496609316921422
78,FTA_opponent,0.007254238078530761
79,DRB_team,0.0067271389798406744
80,TOV_team,0.006507187704301032
81,GS,0.006431873267501942
82,PF_team,0.00530815669662843
83,STL_team,0.004492812864555162
84,poss_raptor,0.004203534452244639
85,FGA_opponent,0.002960351084766444
86,GP_espn,0.0024754773509982897
87,BPM_advanced,0.0022732542341827866
88,2PA_opponent,0.0017453459258831572
89,3PA_opponent,0.0012150053298682906
90,G,0.0010524928156883107
91,AST_team,0.0006046480566510581
92,AST_opponent,0.0004929489514324814
93,BLK_team,0.00038075460270192707
94,TRB_team,0.00034621153099578805
95,TRB_opponent,0.00027858752218890004
96,MP_100_poss,0.00019112820154987276
97,MP_advanced,0.00019112820154987276
