Rank_1998,Rank_1999,Rank_2000,Rank_2001,Rank_2002,Rank_2003,Rank_2004,Rank_2005,Rank_2006,Rank_2007,Rank_2008,Rank_2009,Rank_2010,Rank_2011,Rank_2012,Rank_2013,Rank_2014,Rank_2015,Rank_2016,Rank_2017,Rank_2018,Rank_2019,Rank_2020,Rank_2021,Rank_2022,Rank_2023
-1,1,1,-1,3T,-1,2,-1,1,-1,7T,2,1,1,3,-1,1.0,4,3,-1.0,1.0,1.0,1.0,1.0,3.0,2.0
1,4,7,3,1,4,1,4,4,3,2,6,3,17,2.0,14,7.0,6.0,1,-1.0,15T,-1,3.0,-1,-1.0,1.0
2,7T,5T,-1,-1,1,-1,-1,4,4,-1.0,1,5,6.0,9.0,21,5,1,5.0,3,6,2.0,11,3,-1,9T
4,7T,8T,-1,2,3,-1,5,-1,13T,16T,-1,10T,11,7,1,4.0,10T,2,-1,-1.0,-1,-1.0,-1,-1.0,-1.0
-1,2,3T,8T,-1,13T,7,9,13T,8,-1,3,10T,2,5,6,13T,13T,-1.0,-1,3,6T,-1.0,9.0,-1.0,-1.0
-1,7T,-1,-1,-1,13T,6,18T,7,1,7T,-1.0,17T,18,-1,3.0,-1.0,-1,-1.0,2.0,-1,-1.0,10.0,5.0,-1.0,-1
-1,7T,2,1,-1,6,10T,-1,6,16T,-1.0,7,-1,10.0,4,10.0,3.0,8,11T,1,14.0,-1.0,-1,-1,-1.0,9T
-1,-1,-1,1,-1,8,-1,8,-1,5,-1,10,14,5,10,2,13T,15T,-1,-1,-1.0,5.0,-1.0,-1.0,-1.0,-1
-1,5T,3T,8T,-1,5.0,-1,6.0,8,7,9,16T,2,12T,12T,-1,2.0,3.0,4.0,5T,-1,3.0,2,-1.0,-1.0,5.0
-1,-1,8T,2,-1,2,10T,-1,-1,24T,12,-1.0,12,-1.0,12T,-1,-1.0,-1.0,13T,5T,8.0,-1.0,-1.0,-1.0,9,-1.0
