Rank_1998,Rank_1999,Rank_2000,Rank_2001,Rank_2002,Rank_2003,Rank_2004,Rank_2005,Rank_2006,Rank_2007,Rank_2008,Rank_2009,Rank_2010,Rank_2011,Rank_2012,Rank_2013,Rank_2014,Rank_2015,Rank_2016,Rank_2017,Rank_2018,Rank_2019,Rank_2020,Rank_2021,Rank_2022,Rank_2023
-1,1,1,-1,3T,1,2,-1,4,-1,7T,2,1,1,7,1,1.0,10T,3,-1.0,1.0,1.0,1.0,1.0,3.0,2.0
2,4,3T,-1,1,-1,1,-1,4,13T,2,6,3,2,5,-1,7.0,13T,1,-1.0,15T,2.0,11,3,-1.0,1.0
1,7T,7,8T,-1,4,-1,-1,13T,3,9,-1,-1,5,2.0,6,5,15T,5.0,2.0,6,-1,3.0,9.0,-1,3.0
4,2,-1,-1,-1,13T,-1,4,-1,1,12,1,-1,10.0,-1,5.0,4.0,4,2,1,3,-1,-1.0,-1,-1.0,9T
-1,7T,2,-1,-1,13T,7,5,1,8,-1,-1,12,8,4,3.0,8T,2,-1.0,-1,-1,-1.0,-1,-1,-1.0,-1.0
-1,7T,8T,1,-1,3,6,9,7,4,3,-1.0,10T,25,18T,14,13T,8,11T,-1,14.0,6T,2,5.0,-1.0,9T
-1,7T,5T,1,2,6,10T,18T,-1,5,16T,3,10T,6.0,9.0,10.0,-1.0,-1,4.0,-1,-1.0,5.0,-1.0,-1.0,-1.0,-1
-1,-1,3T,-1,-1,5.0,-1,1,6,-1.0,-1,16T,6,18,10,21,13T,3.0,-1.0,3,-1,3.0,10.0,-1,-1.0,6.0
-1,5T,8T,5T,-1,11,-1,8,10T,2,-1.0,-1,-1,12T,3,4.0,-1.0,1,-1,-1.0,15T,4,-1.0,-1,-1.0,5.0
-1,-1,8T,8T,-1,8,10T,-1,3,-1,7T,8,7.0,-1,12T,2,8T,5.0,-1,-1.0,-1,-1.0,-1,6.0,9,7T
