Rank_1998,Rank_1999,Rank_2000,Rank_2001,Rank_2002,Rank_2003,Rank_2004,Rank_2005,Rank_2006,Rank_2007,Rank_2008,Rank_2009,Rank_2010,Rank_2011,Rank_2012,Rank_2013,Rank_2014,Rank_2015,Rank_2016,Rank_2017,Rank_2018,Rank_2019,Rank_2020,Rank_2021,Rank_2022,Rank_2023
-1,1,1,-1,1,-1,2,1,1,-1,2,2,1,1,5,1,1.0,10T,3,-1.0,1.0,6T,1.0,1.0,-1,1.0
2,2,8T,-1,-1,11,1,4,8,3,-1,1,12,2,2.0,-1,13T,8,1,-1.0,3,2.0,3.0,9.0,3.0,2.0
1,5T,8T,-1,3T,11,-1,5,10T,24T,-1,3,-1,-1,10,14,8T,13T,-1,-1,15T,1.0,11,5.0,-1.0,9T
4,4,7,-1,-1,1,7,9,-1,8,-1,8,3,25,7,-1,7.0,6.0,5.0,-1,6,-1,2,-1,9,4
-1,-1,-1,1,-1,13T,6,-1,7,4,-1,-1.0,14,5,-1,3.0,10.0,1,2,3,-1,-1,8T,3,-1,5.0
-1,-1,2,1,-1,3,-1,8,13T,13T,-1.0,16T,6,6.0,-1,6,4.0,4,-1.0,2.0,-1.0,5.0,10.0,-1,8,-1
-1,-1,8T,-1,-1,4,4,18T,-1,1,16T,-1,-1.0,9,11.0,10.0,5,7.0,11T,1,-1,-1.0,-1,7,6.0,9T
-1,-1,3T,8T,-1,-1,10T,-1,3,5,5,-1,-1,16,3,15.0,6,5.0,-1.0,-1,-1,-1,-1.0,-1.0,-1,-1.0
-1,7T,8T,-1,2,2,8,-1,4,-1,-1,-1,2,12T,1,4.0,-1.0,15T,13T,5T,12T,9T,-1.0,-1.0,1,-1
-1,7T,-1,3,-1,5.0,-1,-1,10T,6,-1,-1,-1,-1,-1,2,3.0,12.0,-1.0,-1.0,-1.0,3.0,-1.0,2.0,5.0,-1.0
