Rank_1998,Rank_1999,Rank_2000,Rank_2001,Rank_2002,Rank_2003,Rank_2004,Rank_2005,Rank_2006,Rank_2007,Rank_2008,Rank_2009,Rank_2010,Rank_2011,Rank_2012,Rank_2013,Rank_2014,Rank_2015,Rank_2016,Rank_2017,Rank_2018,Rank_2019,Rank_2020,Rank_2021,Rank_2022,Rank_2023
-1,1,1,-1,3T,4,2,-1,1,-1,2,2,1,1,3,14,1.0,4,3,-1.0,1.0,-1,1.0,1.0,3.0,2.0
1,4,7,-1,1,-1,1,-1,4,3,7T,6,5,18,9.0,-1,7.0,-1,5.0,-1.0,15T,1.0,11,3,-1.0,1.0
2,7T,5T,-1,-1,13T,-1,4,4,13T,16T,1,3,17,7,1,5,10T,1,3,6,2.0,3.0,-1,-1,9T
4,7T,3T,1,-1,1,-1,5,-1,4,7T,-1,10T,11,5,10.0,4.0,6.0,2,-1,-1,-1,-1.0,9.0,-1.0,3.0
-1,2,-1,-1,2,3,7,9,13T,8,12,-1,10T,2,-1,3.0,13T,8,11T,-1,3,-1.0,10.0,-1,-1.0,-1.0
-1,-1,8T,8T,-1,13T,6,18T,7,1,-1.0,11,14,10.0,2.0,2,13T,13T,-1.0,1,-1.0,5.0,-1.0,5.0,-1.0,-1.0
-1,5T,3T,1,3T,6,-1,-1,6,5,-1.0,-1,2,6.0,4,6,2.0,15T,-1.0,-1,14.0,6T,8T,-1.0,-1.0,-1.0
-1,-1,-1,2,-1,8,10T,8,-1,24T,-1,16T,-1.0,-1,12T,4.0,3.0,1,13T,2.0,-1,-1.0,-1,-1,-1.0,-1.0
-1,7T,8T,-1,-1,2,10T,6.0,8,16T,-1.0,16T,-1.0,12T,10,-1,-1.0,-1.0,-1.0,5T,-1.0,3.0,-1,-1.0,-1.0,-1.0
-1,7T,-1,-1,-1,5.0,-1,-1,-1,20.0,-1.0,13T,-1.0,-1.0,18T,-1,-1.0,3.0,-1.0,5T,-1.0,-1.0,2,-1,6.0,5.0
