,Feature,MI_Score
0,Dpoy_votes,0.057898773321400254
1,DWS_advanced,0.04333137728454495
2,war_total_raptor,0.034405275311532924
3,predator_defense_raptor,0.03405480820874818
4,war_reg_season_raptor,0.03374354268904356
5,WS_advanced,0.03271069981467711
6,predator_total_raptor,0.03131239228059601
7,raptor_total_raptor,0.030473210446569476
8,poss_raptor,0.02909608480534187
9,VORP_advanced,0.028372613801809665
10,DEF WS_nba,0.028181676638352915
11,mp_raptor,0.028114708678087075
12,raptor_defense_raptor,0.02750833555568244
13,MP_advanced,0.027050002697017073
14,MP,0.02685168782128411
15,GS,0.02657580665828352
16,MP_100_poss,0.026326899113920943
17,BPM_advanced,0.026277297337647054
18,MIN_nba,0.02574580923599812
19,OPP PTS PAINT_nba,0.0250240734613163
20,MPG_espn,0.024967747983119848
21,WINS_espn,0.024941049761026512
22,RPM_espn,0.02301822919465457
23,OPP PTS 2ND CHANCE_nba,0.0228883469055996
24,TRB,0.022635382397760084
25,OPP PTS FB_nba,0.022558398457276363
26,DRB,0.02252128329796288
27,OPP PTS OFF TOV_nba,0.022455845152886456
28,STL_nba,0.021116031311603445
29,DREB_nba,0.021059791923262683
30,BLK,0.019949056941963805
31,DBPM_advanced,0.0199151635716599
32,BLK_nba,0.0197182209918918
33,WS/48_advanced,0.01954373062651249
34,W_nba,0.019068645750954127
35,STL,0.018450185685234377
36,DRPM_espn,0.0174483971107271
37,PER_advanced,0.017158211766932663
38,DRtg_100_poss,0.016330325999853956
39,TOV,0.015320078768568335
40,GP_espn,0.015116699534542644
41,PF,0.0144520792195022
42,GP_nba,0.014298309266360887
43,G,0.013843959198726052
44,teamates_with_dpoy,0.012159937753183803
45,DEF RTG_nba,0.010741121953948829
46,pace_impact_raptor,0.010013246159819467
47,BLK_100_poss,0.009259590357614256
48,D-LEBRON_bball,0.008513100858770217
49,PW_misc,0.00826900630223748
50,L_misc,0.008071503520754364
51,PF_100_poss,0.007892465582484576
52,MOV_misc,0.007407186732039106
53,STL%_nba,0.007287757368740433
54,BLK%_advanced,0.007245885232062044
55,TRB_100_poss,0.007119304364555212
56,PL_misc,0.0071006825521462424
57,DRB_100_poss,0.00680917434977224
58,SRS_misc,0.006800864535426943
59,2P%_opponent,0.006553499150560027
60,W_misc,0.006541276467841639
61,%BLK_nba,0.00603627608494417
62,DREB%_nba,0.005899381332169273
63,DRtg_misc,0.005809078597203365
64,STL%_advanced,0.005315321506653481
65,%DREB_nba,0.005188330672529551
66,TRB%_advanced,0.0050945628987273395
67,DRB%_advanced,0.004907895343631896
68,FG%_opponent,0.004867443699494656
69,2PA_opponent,0.004818983877703076
70,AST_opponent,0.004533813400446007
71,Age,0.004483732563080434
72,STL_100_poss,0.004482287456767597
73,TOV_100_poss,0.0036222467837825345
74,Dpoy_titles,0.0034213121575408234
75,TRB_opponent,0.003273583975483607
76,DRB_team,0.00290543303708235
77,3P_opponent,0.0028997452521337674
78,PF_team,0.0028426206378979746
79,DRB%_misc,0.0027387054111107645
80,ORB_opponent,0.0024129214315811165
81,Pace_misc,0.0022284829232659398
82,2P_opponent,0.0021973817952871677
83,3PA_opponent,0.002009914355989073
84,3P%_opponent,0.001981873964256309
85,STL_team,0.0019629232234699145
86,FT%_opponent,0.0018976067281737397
87,TRB_team,0.0016473335764177754
88,FTA_opponent,0.0012616322770844235
89,AST_team,0.0012116725663076089
90,TOV%_misc,0.0010119660773262318
91,FT_opponent,0.0006425962857039558
92,TOV_team,0.0
93,BLK_team,0.0
94,SOS_misc,0.0
95,FGA_opponent,0.0
96,TOV%.1_misc,0.0
