,Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,DWS,DBPM,DRtg
0,1,Dikembe Mutombo,30,ATL,60.0,60.0,115,0.522,80,37.2,13.3,11.6,1.4,0.6,3.3,0.527,,0.705,11.3,0.183,6.6,2.4,97
1,2,Gary Payton,28,SEA,25.0,25.0,115,0.217,82,39.2,21.8,4.6,7.1,2.4,0.2,0.476,0.313,0.715,12.9,0.193,4.7,1.1,103
2,3,Mookie Blaylock,29,ATL,18.0,18.0,115,0.157,78,39.2,17.4,5.3,5.9,2.7,0.3,0.432,0.366,0.753,12.5,0.197,5.6,2.4,100
3,4,Scottie Pippen,31,CHI,4.0,4.0,115,0.035,82,37.7,20.2,6.5,5.7,1.9,0.5,0.474,0.368,0.701,13.1,0.203,5.2,1.4,101
4,5,Michael Jordan,33,CHI,3.0,3.0,115,0.026,82,37.9,29.6,5.9,4.3,1.7,0.5,0.486,0.374,0.833,18.3,0.283,5.0,1.1,102
5,6T,Joe Dumars,33,DET,1.0,1.0,115,0.009,79,37.0,14.7,2.4,4.0,0.7,0.0,0.44,0.432,0.867,8.8,0.144,2.0,-1.0,110
6,6T,Mario Elie,33,HOU,1.0,1.0,115,0.009,78,34.4,11.7,3.0,4.0,1.2,0.2,0.497,0.42,0.896,8.9,0.159,2.6,0.7,107
7,6T,Rick Fox,27,BOS,1.0,1.0,115,0.009,76,34.9,15.4,5.2,3.8,2.2,0.5,0.456,0.363,0.787,5.2,0.094,1.9,0.7,109
8,6T,Horace Grant,31,ORL,1.0,1.0,115,0.009,67,37.3,12.6,9.0,2.4,1.5,1.0,0.515,0.167,0.715,7.7,0.148,3.6,1.3,103
9,6T,Shawn Kemp,27,SEA,1.0,1.0,115,0.009,81,34.0,18.7,10.0,1.9,1.5,1.0,0.51,0.364,0.742,10.0,0.174,5.4,0.3,99
