,Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,DWS,DBPM,DRtg
0,1,Tyson Chandler,29,NYK,45.0,311.0,605,0.514,62,33.2,11.3,9.9,0.9,0.9,1.4,0.679,0.0,0.689,9.5,0.22,3.6,1.1,99
1,2,Serge Ibaka,22,OKC,41.0,294.0,605,0.486,66,27.2,9.1,7.5,0.4,0.5,3.7,0.535,0.333,0.661,6.2,0.167,3.2,2.3,98
2,3,Dwight Howard,26,ORL,18.0,186.0,605,0.307,54,38.3,20.6,14.5,1.9,1.5,2.1,0.573,0.0,0.491,7.7,0.179,4.4,2.0,96
3,4,LeBron James,27,MIA,7.0,112.0,605,0.185,62,37.5,27.1,7.9,6.2,1.9,0.8,0.531,0.362,0.771,14.5,0.298,4.5,2.7,97
4,5,Kevin Garnett,35,BOS,2.0,44.0,605,0.073,60,31.1,15.8,8.2,2.9,0.9,1.0,0.503,0.333,0.857,6.9,0.178,4.3,2.5,94
5,6,Tony Allen,30,MEM,4.0,36.0,605,0.06,58,26.3,9.8,4.0,1.4,1.8,0.6,0.469,0.308,0.8,4.2,0.131,2.5,2.3,100
6,7,Andre Iguodala,28,PHI,1.0,33.0,605,0.055,62,35.6,12.4,6.1,5.5,1.7,0.5,0.454,0.394,0.617,7.3,0.158,4.2,2.5,98
7,8,Shawn Marion,33,DAL,2.0,17.0,605,0.028,63,30.5,10.6,7.4,2.1,1.1,0.6,0.446,0.294,0.796,3.7,0.092,2.7,0.6,102
8,9,Luol Deng,26,CHI,1.0,16.0,605,0.026,54,39.4,15.3,6.5,2.9,1.0,0.7,0.412,0.367,0.77,5.8,0.132,3.6,1.1,100
9,10,Josh Smith,26,ATL,0.0,9.0,605,0.015,66,35.3,18.8,9.6,3.9,1.4,1.7,0.458,0.257,0.63,6.8,0.139,4.9,2.1,96
10,11,Joakim Noah,26,CHI,0.0,6.0,605,0.01,64,30.4,10.2,9.8,2.5,0.6,1.4,0.508,0.0,0.748,9.0,0.223,4.2,2.1,96
11,12T,Marc Gasol,27,MEM,0.0,5.0,605,0.008,65,36.5,14.6,8.9,3.1,1.0,1.9,0.482,0.083,0.748,8.2,0.166,4.0,2.1,99
12,12T,Chris Paul,26,LAC,0.0,5.0,605,0.008,60,36.4,19.8,3.6,9.1,2.5,0.1,0.478,0.371,0.861,12.7,0.278,2.3,2.4,104
13,14T,Avery Bradley,21,BOS,0.0,2.0,605,0.003,64,21.4,7.6,1.8,1.4,0.7,0.2,0.498,0.407,0.795,2.4,0.085,1.9,0.7,102
14,14T,Mike Conley,24,MEM,0.0,2.0,605,0.003,62,35.1,12.7,2.5,6.5,2.2,0.2,0.433,0.377,0.861,6.4,0.141,2.8,1.4,102
15,14T,Grant Hill,39,PHO,0.0,2.0,605,0.003,49,28.1,10.2,3.5,2.2,0.8,0.6,0.446,0.264,0.761,1.6,0.055,0.9,0.5,107
16,14T,Iman Shumpert,21,NYK,0.0,2.0,605,0.003,59,28.9,9.5,3.2,2.8,1.7,0.1,0.401,0.306,0.798,2.4,0.068,2.5,1.6,101
17,18T,Greg Monroe,21,DET,0.0,1.0,605,0.002,66,31.5,15.4,9.7,2.3,1.3,0.7,0.521,0.0,0.739,7.0,0.161,2.7,0.1,102
18,18T,Dwyane Wade,30,MIA,0.0,1.0,605,0.002,49,33.2,22.1,4.8,4.6,1.7,1.3,0.497,0.268,0.791,7.7,0.227,2.9,1.9,99
19,18T,Russell Westbrook,23,OKC,0.0,1.0,605,0.002,66,35.3,23.6,4.6,5.5,1.7,0.3,0.457,0.316,0.823,7.9,0.163,2.4,-0.7,105
