,Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,DWS,DBPM,DRtg
0,1,Dikembe Mutombo,31,ATL,39.0,39.0,116,0.336,82,35.6,13.4,11.4,1.0,0.4,3.4,0.537,,0.67,10.8,0.177,5.2,1.4,99
1,2,Gary Payton,29,SEA,37.0,37.0,116,0.319,82,38.4,19.2,4.6,8.3,2.3,0.2,0.453,0.338,0.744,12.5,0.19,4.0,0.7,103
2,3,David Robinson,32,SAS,10.0,10.0,116,0.086,73,33.7,21.6,10.6,2.7,0.9,2.6,0.511,0.25,0.735,13.8,0.269,6.0,2.9,94
3,4,Michael Jordan,34,CHI,6.0,6.0,116,0.052,82,38.8,28.7,5.8,3.5,1.7,0.5,0.465,0.238,0.784,15.8,0.238,5.4,1.0,100
4,5T,Mookie Blaylock,30,ATL,4.0,4.0,116,0.034,70,38.6,13.2,4.9,6.7,2.6,0.3,0.392,0.269,0.709,5.6,0.099,3.7,1.5,102
5,5T,Tim Duncan,21,SAS,4.0,4.0,116,0.034,82,39.1,21.1,11.9,2.7,0.7,2.5,0.549,0.0,0.662,12.8,0.192,7.2,2.0,95
6,5T,Bo Outlaw,26,ORL,4.0,4.0,116,0.034,82,36.0,9.5,7.8,2.6,1.3,2.2,0.554,0.25,0.575,7.6,0.124,4.5,2.7,101
7,5T,Dennis Rodman,36,CHI,4.0,4.0,116,0.034,80,35.7,4.7,15.0,2.9,0.6,0.2,0.431,0.174,0.55,7.8,0.131,5.9,0.4,97
8,9T,Anthony Mason,31,CHH,2.0,2.0,116,0.017,81,38.9,12.8,10.2,4.2,0.8,0.2,0.509,0.0,0.649,9.3,0.141,3.5,0.6,104
9,9T,Scottie Pippen,32,CHI,2.0,2.0,116,0.017,44,37.5,19.1,5.2,5.8,1.8,1.0,0.447,0.318,0.777,6.6,0.193,3.0,1.6,99
10,11T,Kevin Garnett,21,MIN,1.0,1.0,116,0.009,82,39.3,18.5,9.6,4.2,1.7,1.8,0.491,0.188,0.738,9.6,0.143,4.2,1.5,103
11,11T,Kendall Gill,29,NJN,1.0,1.0,116,0.009,81,33.7,13.4,4.8,2.5,1.9,0.8,0.429,0.257,0.688,5.9,0.104,3.0,1.5,105
12,11T,Horace Grant,32,ORL,1.0,1.0,116,0.009,76,36.9,12.1,8.1,2.3,1.1,1.0,0.459,0.0,0.678,7.1,0.122,3.6,0.8,103
13,11T,Brevin Knight,22,CLE,1.0,1.0,116,0.009,80,31.0,9.0,3.2,8.2,2.5,0.2,0.441,0.0,0.801,8.4,0.163,4.9,3.1,97
