,Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,DWS,DBPM,DRtg
0,1,Dikembe Mutombo,34,TOT,48.0,48.0,123,0.39,75,34.5,10.0,13.5,1.0,0.4,2.7,0.484,,0.725,8.1,0.151,4.7,1.3,97
1,2,Kevin Garnett,24,MIN,26.0,26.0,123,0.211,81,39.5,22.0,11.4,5.0,1.4,1.8,0.477,0.288,0.764,11.8,0.176,4.8,1.4,99
2,3,Tim Duncan,24,SAS,14.0,14.0,123,0.114,82,38.7,22.2,12.2,3.0,0.9,2.3,0.499,0.259,0.618,13.2,0.2,7.1,1.8,94
3,4,Doug Christie,30,SAC,9.0,9.0,123,0.073,81,36.3,12.3,4.4,3.6,2.3,0.6,0.395,0.376,0.897,8.7,0.141,4.4,2.3,99
4,5T,David Robinson,35,SAS,6.0,6.0,123,0.049,80,29.6,14.4,8.6,1.5,1.0,2.5,0.486,0.0,0.747,12.1,0.246,5.7,2.7,92
5,5T,Ben Wallace,26,DET,6.0,6.0,123,0.049,80,34.5,6.4,13.2,1.5,1.3,2.3,0.49,0.25,0.336,7.0,0.121,6.0,2.5,94
6,7,Theo Ratliff,27,PHI,4.0,4.0,123,0.033,50,36.0,12.4,8.3,1.2,0.6,3.7,0.499,,0.76,5.2,0.138,3.5,2.7,96
7,8T,Bruce Bowen,29,MIA,2.0,2.0,123,0.016,82,32.7,7.6,3.0,1.6,1.0,0.6,0.363,0.336,0.609,4.2,0.075,3.7,1.5,100
8,8T,Anthony Mason,34,MIA,2.0,2.0,123,0.016,80,40.7,16.1,9.6,3.1,1.0,0.3,0.482,,0.781,11.6,0.171,5.6,1.1,98
9,8T,Shaquille O'Neal,28,LAL,2.0,2.0,123,0.016,74,39.5,28.7,12.7,3.7,0.6,2.8,0.572,0.0,0.513,14.9,0.245,3.9,0.7,101
10,11T,Kobe Bryant,22,LAL,1.0,1.0,123,0.008,68,40.9,28.5,5.9,5.0,1.7,0.6,0.464,0.305,0.853,11.3,0.196,2.2,-0.3,105
11,11T,Allen Iverson,25,PHI,1.0,1.0,123,0.008,71,42.0,31.1,3.8,4.6,2.5,0.3,0.42,0.32,0.814,11.8,0.19,4.5,1.1,99
12,11T,Jason Kidd,27,PHO,1.0,1.0,123,0.008,77,39.8,16.9,6.4,9.8,2.2,0.3,0.411,0.297,0.814,9.6,0.15,5.4,1.7,97
13,11T,Shawn Marion,22,PHO,1.0,1.0,123,0.008,79,36.2,17.3,10.7,2.0,1.7,1.4,0.48,0.256,0.81,11.7,0.196,6.4,1.8,93
