,Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,DWS,DBPM,DRtg
0,1,Alonzo Mourning,29,MIA,62.0,62.0,121,0.512,79,34.8,21.7,9.5,1.6,0.5,3.7,0.551,0.0,0.711,12.9,0.226,5.6,2.2,96
1,2,Shaquille O'Neal,27,LAL,21.0,21.0,121,0.174,79,40.0,29.7,13.6,3.8,0.5,3.0,0.574,0.0,0.524,18.6,0.283,7.0,2.0,95
2,3T,Eddie Jones,28,CHH,11.0,11.0,121,0.091,72,39.0,20.1,4.8,4.2,2.7,0.7,0.427,0.375,0.864,10.1,0.172,4.4,2.0,100
3,3T,Dikembe Mutombo,33,ATL,11.0,11.0,121,0.091,82,36.4,11.5,14.1,1.3,0.3,3.3,0.562,,0.708,9.9,0.16,4.3,1.5,101
4,5T,Kobe Bryant,21,LAL,4.0,4.0,121,0.033,66,38.2,22.5,6.3,4.9,1.6,0.9,0.468,0.319,0.821,10.6,0.202,4.5,1.6,98
5,5T,Gary Payton,31,SEA,4.0,4.0,121,0.033,82,41.8,24.2,6.5,8.9,1.9,0.2,0.448,0.34,0.735,13.9,0.195,3.5,0.7,104
6,7,Kevin Garnett,23,MIN,2.0,2.0,121,0.017,81,40.0,22.9,11.8,5.0,1.5,1.6,0.497,0.37,0.765,11.6,0.172,5.6,1.7,99
7,8T,Kendall Gill,31,NJN,1.0,1.0,121,0.008,76,31.0,13.1,3.7,2.8,1.8,0.5,0.414,0.256,0.71,3.7,0.076,2.1,0.7,105
8,8T,Jason Kidd,26,PHO,1.0,1.0,121,0.008,67,39.0,14.3,7.2,10.1,2.0,0.4,0.409,0.337,0.829,8.5,0.156,4.8,2.0,98
9,8T,Anthony Mason,33,CHH,1.0,1.0,121,0.008,82,38.2,11.6,8.5,4.5,0.9,0.4,0.48,0.0,0.746,8.9,0.136,3.9,0.7,102
10,8T,Bo Outlaw,28,ORL,1.0,1.0,121,0.008,82,28.4,6.0,6.4,3.0,1.4,1.8,0.602,0.0,0.506,6.8,0.14,4.0,3.6,99
11,8T,Scottie Pippen,34,POR,1.0,1.0,121,0.008,82,33.5,12.5,6.3,5.0,1.4,0.5,0.451,0.327,0.717,7.8,0.137,4.4,1.7,99
12,8T,Clifford Robinson,33,PHO,1.0,1.0,121,0.008,80,35.5,18.5,4.5,2.8,1.1,0.8,0.464,0.37,0.782,9.6,0.162,3.9,0.4,101
