,Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,DWS,DBPM,DRtg
0,1,Kawhi Leonard,23,SAS,37.0,333.0,645,0.516,64,31.8,16.5,7.2,2.5,2.3,0.8,0.479,0.349,0.802,8.6,0.204,4.4,3.1,96
1,2,Draymond Green,24,GSW,45.0,317.0,645,0.491,79,31.5,11.7,8.2,3.7,1.6,1.3,0.443,0.337,0.66,8.5,0.163,5.2,2.8,97
2,3,DeAndre Jordan,26,LAC,32.0,261.0,645,0.405,82,34.4,11.5,15.0,0.7,1.0,2.2,0.71,0.25,0.397,12.8,0.217,5.4,0.7,98
3,4,Anthony Davis,21,NOP,11.0,107.0,645,0.166,68,36.1,24.4,10.2,2.2,1.5,2.9,0.535,0.083,0.805,14.0,0.274,4.2,2.3,100
4,5,Rudy Gobert,22,UTA,2.0,33.0,645,0.051,82,26.3,8.4,9.5,1.3,0.8,2.3,0.604,0.0,0.623,9.3,0.206,4.3,2.5,98
5,6,Andrew Bogut,30,GSW,0.0,31.0,645,0.048,67,23.6,6.3,8.1,2.7,0.6,1.7,0.563,,0.524,5.2,0.159,3.4,3.3,97
6,7,Tony Allen,33,MEM,1.0,29.0,645,0.045,63,26.2,8.6,4.4,1.4,2.0,0.5,0.495,0.345,0.627,4.1,0.119,3.2,3.1,98
7,8,Tim Duncan,38,SAS,1.0,12.0,645,0.019,77,28.9,13.9,9.1,3.0,0.8,2.0,0.512,0.286,0.74,9.6,0.207,4.7,2.8,97
8,9,Michael Kidd-Gilchrist,21,CHO,0.0,9.0,645,0.014,55,28.9,10.9,7.6,1.4,0.5,0.7,0.465,,0.701,3.8,0.114,2.2,0.6,103
9,10T,Jimmy Butler,25,CHI,0.0,7.0,645,0.011,65,38.7,20.0,5.8,3.3,1.8,0.6,0.462,0.378,0.834,11.2,0.214,3.0,1.2,104
10,10T,Marc Gasol,30,MEM,0.0,7.0,645,0.011,81,33.2,17.4,7.8,3.8,0.9,1.6,0.494,0.176,0.795,10.2,0.182,4.7,2.4,100
11,12,Joakim Noah,29,CHI,0.0,4.0,645,0.006,67,30.6,7.2,9.6,4.7,0.7,1.1,0.445,0.0,0.603,5.6,0.13,3.1,2.0,102
12,13T,Trevor Ariza,29,HOU,0.0,3.0,645,0.005,82,35.7,12.8,5.6,2.5,1.9,0.2,0.402,0.35,0.853,6.6,0.108,3.9,1.1,103
13,13T,LeBron James,30,CLE,0.0,3.0,645,0.005,69,36.1,25.3,6.0,7.4,1.6,0.7,0.488,0.354,0.71,10.4,0.199,2.9,1.0,105
14,15T,Patrick Beverley,26,HOU,0.0,1.0,645,0.002,56,30.8,10.1,4.2,3.4,1.1,0.4,0.383,0.356,0.75,3.5,0.096,1.8,0.5,106
15,15T,DeMarre Carroll,28,ATL,0.0,1.0,645,0.002,70,31.3,12.6,5.3,1.7,1.3,0.2,0.487,0.395,0.702,7.0,0.154,2.8,0.4,104
16,15T,Nerlens Noel,20,PHI,0.0,1.0,645,0.002,75,30.8,9.9,8.1,1.7,1.8,1.9,0.462,,0.609,4.0,0.083,4.2,2.3,99
17,15T,Chris Paul,29,LAC,0.0,1.0,645,0.002,82,34.8,19.1,4.6,10.2,1.9,0.2,0.485,0.398,0.9,16.1,0.27,3.2,1.6,105
18,15T,Hassan Whiteside,25,MIA,0.0,1.0,645,0.002,48,23.8,11.8,10.0,0.1,0.6,2.6,0.628,,0.5,5.3,0.221,2.4,1.6,97
