,Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,DWS,DBPM,DRtg
0,1,Dwight Howard,23,ORL,105.0,542.0,595,0.911,79,35.7,20.6,13.8,1.4,1.0,2.9,0.572,0.0,0.594,13.8,0.234,7.6,2.4,95
1,2,LeBron James,24,CLE,4.0,148.0,595,0.249,81,37.7,28.4,7.6,7.2,1.7,1.1,0.489,0.344,0.78,20.3,0.318,6.5,3.7,99
2,3,Dwyane Wade,27,MIA,3.0,90.0,595,0.151,79,38.6,30.2,5.0,7.5,2.2,1.3,0.491,0.317,0.765,14.7,0.232,4.4,2.4,105
3,4,Shane Battier,30,HOU,2.0,71.0,595,0.119,60,33.9,7.3,4.8,2.3,0.8,0.9,0.41,0.384,0.821,5.2,0.123,2.9,1.9,105
4,5,Metta World Peace,29,HOU,1.0,54.0,595,0.091,69,35.5,17.1,5.2,3.3,1.5,0.3,0.401,0.399,0.748,5.5,0.108,4.0,1.2,103
5,6,Chris Paul,23,NOH,1.0,49.0,595,0.082,78,38.5,22.8,5.5,11.0,2.8,0.1,0.503,0.364,0.868,18.3,0.292,5.0,3.8,103
6,7,Kobe Bryant,30,LAL,2.0,43.0,595,0.072,82,36.1,26.8,5.2,4.9,1.5,0.5,0.467,0.351,0.856,12.7,0.206,4.0,0.3,106
7,8,Kevin Garnett,32,BOS,1.0,31.0,595,0.052,57,31.1,15.8,8.5,2.5,1.1,1.2,0.531,0.25,0.841,7.1,0.193,4.1,3.0,98
8,9,Chris Andersen,30,DEN,0.0,10.0,595,0.017,71,20.6,6.4,6.2,0.4,0.6,2.5,0.548,0.2,0.718,5.4,0.176,2.8,2.4,101
9,10,Rajon Rondo,22,BOS,0.0,8.0,595,0.013,80,33.0,11.9,5.2,8.2,1.9,0.1,0.505,0.313,0.642,9.9,0.179,5.1,2.1,101
10,11,Tim Duncan,32,SAS,0.0,7.0,595,0.012,75,33.7,19.3,10.7,3.5,0.5,1.7,0.504,0.0,0.692,10.1,0.191,5.0,2.0,100
11,12,Raja Bell,32,TOT,0.0,4.0,595,0.007,67,34.6,11.9,3.6,2.1,0.7,0.1,0.437,0.421,0.853,3.6,0.074,1.6,-0.4,111
12,13T,Andre Iguodala,25,PHI,0.0,3.0,595,0.005,82,39.9,18.8,5.7,5.3,1.6,0.4,0.473,0.307,0.724,9.2,0.134,3.5,0.6,108
13,13T,Anderson Varejão,26,CLE,0.0,3.0,595,0.005,81,28.5,8.6,7.2,1.0,0.9,0.8,0.536,0.0,0.616,8.0,0.166,4.7,1.6,100
14,15,Ronny Turiaf,26,GSW,0.0,2.0,595,0.003,79,21.5,5.9,4.6,2.1,0.4,2.1,0.508,0.0,0.79,3.6,0.101,1.4,2.3,110
15,16T,Trevor Ariza,23,LAL,0.0,1.0,595,0.002,82,24.4,8.9,4.3,1.8,1.7,0.3,0.46,0.319,0.71,6.1,0.146,3.5,2.2,102
16,16T,Marcus Camby,34,LAC,0.0,1.0,595,0.002,62,31.0,10.3,11.1,2.0,0.8,2.1,0.512,0.25,0.725,5.2,0.129,2.9,1.8,104
17,16T,Grant Hill,36,PHO,0.0,1.0,595,0.002,82,29.8,12.0,4.9,2.3,1.1,0.7,0.523,0.316,0.808,5.3,0.104,1.9,0.4,111
18,16T,Joel Przybilla,29,POR,0.0,1.0,595,0.002,82,23.8,5.5,8.7,0.3,0.4,1.2,0.625,0.0,0.663,6.6,0.163,3.4,1.2,102
19,16T,Josh Smith,23,ATL,0.0,1.0,595,0.002,69,35.1,15.6,7.2,2.4,1.4,1.6,0.492,0.299,0.588,4.9,0.097,3.6,1.4,104
20,16T,Hedo Türkoğlu,29,ORL,0.0,1.0,595,0.002,77,36.6,16.8,5.3,4.9,0.8,0.2,0.413,0.356,0.807,7.3,0.125,4.4,0.7,104
