,Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,DWS,DBPM,DRtg
0,1,Alonzo Mourning,28,MIA,89.0,89.0,118,0.754,46,38.1,20.1,11.0,1.6,0.7,3.9,0.511,0.0,0.652,7.9,0.216,3.9,2.2,93
1,2,Dikembe Mutombo,32,ATL,10.0,10.0,118,0.085,50,36.6,10.8,12.2,1.1,0.3,2.9,0.512,,0.684,7.9,0.206,4.2,2.5,92
2,3,Gary Payton,30,SEA,6.0,6.0,118,0.051,50,40.2,21.7,4.9,8.7,2.2,0.2,0.434,0.295,0.721,7.2,0.172,1.2,0.0,106
3,4,David Robinson,33,SAS,3.0,3.0,118,0.025,49,31.7,15.8,10.0,2.1,1.4,2.4,0.509,0.0,0.658,8.4,0.261,4.4,3.5,88
4,5T,Tim Duncan,22,SAS,2.0,2.0,118,0.017,50,39.3,21.7,11.4,2.4,0.9,2.5,0.495,0.143,0.69,8.7,0.213,4.7,1.8,91
5,5T,Theo Ratliff,25,PHI,2.0,2.0,118,0.017,50,32.5,11.2,8.1,0.6,0.9,3.0,0.47,,0.725,5.4,0.159,3.3,2.0,94
6,7T,Michael Curry,30,MIL,1.0,1.0,118,0.008,50,22.9,4.9,2.2,1.6,0.8,0.1,0.437,0.067,0.797,1.7,0.07,0.8,0.7,105
7,7T,Kevin Garnett,22,MIN,1.0,1.0,118,0.008,47,37.9,20.8,10.4,4.3,1.7,1.8,0.46,0.286,0.704,5.4,0.146,3.0,1.7,97
8,7T,Eddie Jones,27,TOT,1.0,1.0,118,0.008,50,37.6,15.6,3.9,3.7,2.5,1.2,0.437,0.338,0.782,6.0,0.153,2.2,2.1,101
9,7T,Hakeem Olajuwon,36,HOU,1.0,1.0,118,0.008,50,35.7,18.9,9.6,1.8,1.6,2.5,0.514,0.308,0.717,6.5,0.175,3.3,1.8,96
10,7T,Scottie Pippen,33,HOU,1.0,1.0,118,0.008,50,40.2,14.5,6.5,5.9,2.0,0.7,0.432,0.34,0.721,4.9,0.116,2.3,1.1,101
11,7T,Clifford Robinson,32,PHO,1.0,1.0,118,0.008,50,34.8,16.4,4.5,2.6,1.5,1.2,0.475,0.417,0.697,5.3,0.146,1.7,0.6,103
