,Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,DWS,DBPM,DRtg
0,1,Rudy Gobert,25,UTA,89.0,466.0,505,0.923,56,32.4,13.5,10.7,1.4,0.8,2.3,0.622,,0.682,8.1,0.214,3.9,2.5,99
1,2,Joel Embiid,23,PHI,2.0,163.0,505,0.323,63,30.3,22.9,11.0,3.2,0.6,1.8,0.483,0.308,0.769,6.2,0.155,3.8,1.3,100
2,3,Anthony Davis,24,NOP,5.0,139.0,505,0.275,75,36.4,28.1,11.1,2.3,1.5,2.6,0.534,0.34,0.828,13.7,0.241,4.9,1.4,102
3,4,Paul George,27,OKC,2.0,38.0,505,0.075,79,36.6,21.9,5.7,3.3,2.0,0.5,0.43,0.401,0.822,8.9,0.147,3.9,0.6,106
4,5,Al Horford,31,BOS,1.0,37.0,505,0.073,72,31.6,12.9,7.4,4.7,0.6,1.1,0.489,0.429,0.783,7.8,0.165,3.8,2.0,103
5,6,Draymond Green,27,GSW,1.0,20.0,505,0.04,70,32.7,11.0,7.6,7.3,1.4,1.3,0.454,0.301,0.775,6.1,0.127,3.4,1.9,105
6,7,Jrue Holiday,27,NOP,1.0,11.0,505,0.022,81,36.1,19.0,4.5,6.0,1.5,0.8,0.494,0.337,0.786,7.1,0.116,2.9,0.3,109
7,8,Robert Covington,27,PHI,0.0,8.0,505,0.016,80,31.7,12.6,5.4,2.0,1.7,0.9,0.413,0.369,0.853,6.1,0.116,4.5,1.7,103
8,9,Kevin Durant,29,GSW,0.0,7.0,505,0.014,68,34.2,26.4,6.8,5.4,0.7,1.8,0.516,0.419,0.889,10.4,0.215,2.9,0.6,107
9,10,Jaylen Brown,21,BOS,0.0,5.0,505,0.01,70,30.7,14.5,4.9,1.6,1.0,0.4,0.465,0.395,0.644,4.5,0.1,3.2,0.3,105
10,11,Klay Thompson,27,GSW,0.0,4.0,505,0.008,73,34.3,20.0,3.8,2.5,0.8,0.5,0.488,0.44,0.837,4.9,0.094,1.8,-2.1,111
11,12T,Steven Adams,24,OKC,0.0,3.0,505,0.006,76,32.7,13.9,9.0,1.2,1.2,1.0,0.629,0.0,0.559,9.7,0.187,3.0,-0.6,107
12,12T,Jimmy Butler,28,MIN,0.0,3.0,505,0.006,59,36.7,22.2,5.3,4.9,2.0,0.4,0.474,0.35,0.854,8.9,0.198,1.8,0.7,110
13,14,Clint Capela,23,HOU,0.0,2.0,505,0.004,74,27.5,13.9,10.8,0.9,0.8,1.9,0.652,0.0,0.56,10.2,0.242,4.1,1.0,101
14,15T,Andre Drummond,24,DET,0.0,1.0,505,0.002,78,33.7,15.0,16.0,3.0,1.5,1.6,0.529,0.0,0.605,10.3,0.189,5.7,1.7,99
15,15T,Jusuf Nurkić,23,POR,0.0,1.0,505,0.002,79,26.4,14.3,9.0,1.8,0.8,1.4,0.505,0.0,0.63,4.7,0.108,3.9,1.1,101
16,15T,Victor Oladipo,25,IND,0.0,1.0,505,0.002,75,34.0,23.1,5.2,4.3,2.4,0.8,0.477,0.371,0.799,8.2,0.155,4.0,1.7,104
