Feature,Importance
DWS_advanced,724
MP_100_poss,663
BLK_100_poss,628
BLK%_advanced,512
WS_advanced,450
TRB,447
DRB_100_poss,437
poss_raptor,418
pace_impact_raptor,414
mp_raptor,401
predator_total_raptor,378
DBPM_advanced,364
predator_defense_raptor,357
war_total_raptor,333
raptor_defense_raptor,331
MP,324
BLK,322
STL_100_poss,302
BPM_advanced,298
DRB,295
PER_advanced,295
VORP_advanced,285
WS/48_advanced,258
DEF WS_nba,255
STL,252
DRB%_advanced,249
war_reg_season_raptor,249
TRB_100_poss,234
TOV_100_poss,214
DRtg_100_poss,207
TRB%_advanced,198
Dpoy_votes,177
raptor_total_raptor,177
DRB_team,155
PF_100_poss,150
DRPM_espn,141
RPM_espn,129
WINS_espn,125
DREB_nba,116
STL_team,113
TOV,112
GS,108
G,96
TOV%.1_misc,94
BLK_team,92
DRtg_misc,83
PF,78
DREB%_nba,77
Age,73
W_misc,72
SOS_misc,72
AST_opponent,66
MIN_nba,63
AST_team,61
TOV_team,61
MPG_espn,54
PF_team,54
ORB_opponent,54
TRB_opponent,53
2P_opponent,53
TRB_team,51
2P%_opponent,51
DRB%_misc,50
2PA_opponent,49
TOV%_misc,49
3P%_opponent,49
BLK_nba,46
STL_nba,45
%DREB_nba,45
STL%_nba,42
3P_opponent,42
FT%_opponent,39
MOV_misc,38
PW_misc,37
%BLK_nba,37
FT_opponent,36
3PA_opponent,36
FG%_opponent,34
Pace_misc,33
FTA_opponent,31
FGA_opponent,29
OPP PTS OFF TOV_nba,25
W_nba,24
OPP PTS 2ND CHANCE_nba,24
OPP PTS FB_nba,17
SRS_misc,17
GP_nba,14
DEF RTG_nba,12
OPP PTS PAINT_nba,10
teamates_with_dpoy,10
GP_espn,4
Dpoy_titles,0
PL_misc,0
L_misc,0
STL%_advanced,0
MP_advanced,0
won_dpoy_last_season,0
D-LEBRON_bball,0
