Rank_1994,Rank_1995,Rank_1996,Rank_1997,Rank_1998,Rank_1999,Rank_2000,Rank_2001,Rank_2002,Rank_2003,Rank_2004,Rank_2005,Rank_2006,Rank_2007,Rank_2008,Rank_2009,Rank_2010,Rank_2011,Rank_2012,Rank_2013,Rank_2014,Rank_2015,Rank_2016,Rank_2017,Rank_2018,Rank_2019,Rank_2020,Rank_2021,Rank_2022,Rank_2023
2,4,6,2,4,5T,2,3,3T,1,2,4,1,6,1,8,1,1,5,21,1.0,4,2,1,15T,3.0,2,1.0,3.0,6.0
1,-1.0,4,5,5T,1,5T,5T,-1,11,6,-1,6,3,6,2,14,2,3,14,10.0,1,1,2.0,1.0,1.0,3.0,-1,-1.0,9T
-1.0,2,3,4,2,-1,-1,8T,2,-1,7,1,5,2,12,1,-1,6.0,4,-1,13T,8,4.0,-1,8.0,-1,1.0,6.0,-1.0,2.0
-1.0,-1,1,3,3,4,-1,-1,-1,4,4,9,7,1,-1,6,-1,10.0,10,-1,13T,10T,-1,5T,14.0,6T,8T,5.0,-1,-1
-1.0,3,7,-1,5T,-1,8T,2,1,11,1,-1,4,4,9,-1,-1,25,-1,1,4.0,2,-1,-1,3,-1,10.0,7,4.0,3.0
-1.0,6T,-1,-1,5T,-1,7,7,-1,3,-1,18T,10T,13T,-1,-1,3,5,7,2,7.0,-1.0,11T,5T,15T,-1,8T,3,-1,-1.0
-1.0,1,-1,1,-1,-1,-1.0,11T,-1,-1,10T,10,9,5,2,-1,6,12T,9.0,6,2.0,15T,3,4.0,-1.0,4,-1,-1,6.0,1.0
-1,-1,5,6T,1,3,3T,11T,3T,8,-1,-1,13T,13T,-1,5,12,9,18T,5.0,8T,7.0,13T,-1.0,-1.0,-1,4.0,-1.0,-1.0,5.0
-1.0,5,2,-1,11T,7T,8T,11T,-1,13T,5,16T,3,8,3,7,4,17,12T,4.0,-1,5.0,5.0,-1.0,-1,-1,-1,-1,9,-1
7T,-1,-1.0,-1,9T,2,1,8T,-1,6,-1,5,4,-1,16T,16T,7.0,3,12T,-1,11,15T,-1,3,6,2.0,-1,9.0,1,9T
