Feature,Importance
DEF WS_nba,822
DWS_advanced,797
predator_defense_raptor,749
D-LEBRON_bball,721
DRPM_espn,634
DRtg_100_poss,538
Dpoy_votes,516
poss_raptor,390
predator_total_raptor,351
WS_advanced,345
mp_raptor,306
raptor_defense_raptor,298
BPM_advanced,284
RPM_espn,273
raptor_total_raptor,265
DBPM_advanced,260
WINS_espn,258
war_reg_season_raptor,257
PER_advanced,254
VORP_advanced,241
war_total_raptor,230
W_nba,195
BLK_nba,185
OPP PTS 2ND CHANCE_nba,175
BLK,175
DREB_nba,173
MP_100_poss,172
BLK_100_poss,167
DRB_100_poss,165
DREB%_nba,162
WS/48_advanced,161
%DREB_nba,158
PF,156
TRB,152
TRB_100_poss,150
DRB%_advanced,142
SOS_misc,140
Dpoy_titles,140
pace_impact_raptor,130
BLK%_advanced,127
TRB%_advanced,127
%BLK_nba,123
MPG_espn,111
STL_nba,108
MP,107
AST_opponent,105
OPP PTS FB_nba,101
OPP PTS PAINT_nba,100
DRB,98
GS,91
TOV,82
STL_100_poss,75
DRtg_misc,73
AST_team,71
DEF RTG_nba,70
BLK_team,69
FG%_opponent,67
OPP PTS OFF TOV_nba,66
PF_100_poss,66
STL_team,64
STL%_nba,63
ORB_opponent,62
Age,62
3P%_opponent,61
2PA_opponent,58
STL,58
3P_opponent,58
PF_team,55
FGA_opponent,55
G,55
TRB_team,54
TOV%.1_misc,54
TRB_opponent,54
DRB_team,50
TOV_team,46
TOV_100_poss,44
W_misc,41
GP_espn,40
3PA_opponent,40
FT_opponent,40
2P_opponent,39
DRB%_misc,35
TOV%_misc,35
FTA_opponent,34
2P%_opponent,31
SRS_misc,31
Pace_misc,30
FT%_opponent,28
MOV_misc,21
PW_misc,18
teamates_with_dpoy,11
MIN_nba,4
PL_misc,2
L_misc,2
GP_nba,0
MP_advanced,0
STL%_advanced,0
won_dpoy_last_season,0
