Feature,Importance
DWS_advanced,0.3759423792767748
DEF WS_nba,0.06756319082643308
predator_defense_raptor,0.06369117232926794
D-LEBRON_bball,0.05992349204681752
raptor_defense_raptor,0.05337306447438472
predator_total_raptor,0.03018073625272632
BLK,0.02470505001524442
W_nba,0.023871497922332383
war_reg_season_raptor,0.01703829802464267
raptor_total_raptor,0.013238538128341333
STL_nba,0.012675288876158142
AST_team,0.010235623197601375
BLK_nba,0.009325687194844777
DBPM_advanced,0.009303057154686505
war_total_raptor,0.008462753164748111
VORP_advanced,0.008266228080561341
SRS_misc,0.007438610210348682
PF,0.007351153162292414
WINS_espn,0.0065530574347434254
WS_advanced,0.005851570843913274
pace_impact_raptor,0.005776743855881176
poss_raptor,0.005330614650460815
Dpoy_titles,0.005326306593878991
DRPM_espn,0.005168606776814196
L_misc,0.004894549898609785
won_dpoy_last_season,0.0048805257571330335
Dpoy_votes,0.004394031261843368
RPM_espn,0.004248209337114601
STL,0.004174034517259012
PL_misc,0.0038302436555172304
mp_raptor,0.0037050768512732445
FT%_opponent,0.0036873175320214524
SOS_misc,0.003615479077081396
FTA_opponent,0.003544844937657869
3P_opponent,0.0035179796070550573
BLK%_advanced,0.0035107232969143394
BPM_advanced,0.0034931551367959955
2PA_opponent,0.003419734883092965
STL%_nba,0.0032249900229664582
2P_opponent,0.0032062512680374484
BLK_100_poss,0.0032050349288389353
teamates_with_dpoy,0.0030964897316376407
MOV_misc,0.002873458709669356
WS/48_advanced,0.002859898981482391
OPP PTS FB_nba,0.002781694213524397
W_misc,0.00275955088603677
FT_opponent,0.0025757428420161185
GP_nba,0.0024122069889333823
TRB,0.0024080642344007767
AST_opponent,0.0023849094483105807
FGA_opponent,0.002355234479567924
DRB_team,0.0023117982601798598
TRB_team,0.00230939046016502
DREB%_nba,0.002288551074256498
STL%_advanced,0.002253952622847033
DEF RTG_nba,0.0022242293421435196
GS,0.002206266437626657
TOV,0.0021995102661744857
PF_100_poss,0.002173990674552246
PW_misc,0.002167835755360005
DRtg_100_poss,0.002163734538156808
GP_espn,0.0020934492780234314
MP,0.0020670420710798103
2P%_opponent,0.0020190448776277606
MP_100_poss,0.001885291460956499
PER_advanced,0.0018836898554892526
%BLK_nba,0.0018669876548702538
TRB_100_poss,0.0018369362342278716
BLK_team,0.001771493934036188
PF_team,0.0017628447739229123
3P%_opponent,0.0017212147854869472
G,0.001695011909687839
OPP PTS PAINT_nba,0.0015286612799380256
%DREB_nba,0.00149577437861461
STL_100_poss,0.0014513317222623865
DRtg_misc,0.001424815905143265
Pace_misc,0.001407095015733353
TOV_100_poss,0.001406903931658195
TOV%.1_misc,0.001392242221078766
ORB_opponent,0.0013586849274300884
DRB_100_poss,0.0012920744813325205
TRB_opponent,0.0012637430305861123
OPP PTS 2ND CHANCE_nba,0.001239230513152321
TRB%_advanced,0.001237761210510242
DRB%_misc,0.001206887884761128
MP_advanced,0.0011976066158426296
TOV_team,0.001174714038463203
OPP PTS OFF TOV_nba,0.0011340620924811776
MIN_nba,0.0010709509352663225
3PA_opponent,0.0010643400415870157
MPG_espn,0.001009015512673862
TOV%_misc,0.0009356535031377399
DREB_nba,0.0009265346047605461
DRB%_advanced,0.0008326633490843988
STL_team,0.0007127798833245138
DRB,0.0006970954168388215
FG%_opponent,0.0005187677592270101
Age,0.00046619049955112275
