Rank_1994,Rank_1995,Rank_1996,Rank_1997,Rank_1998,Rank_1999,Rank_2000,Rank_2001,Rank_2002,Rank_2003,Rank_2004,Rank_2005,Rank_2006,Rank_2007,Rank_2008,Rank_2009,Rank_2010,Rank_2011,Rank_2012,Rank_2013,Rank_2014,Rank_2015,Rank_2016,Rank_2017,Rank_2018,Rank_2019,Rank_2020,Rank_2021,Rank_2022,Rank_2023
1,1,3,2,2,3,5T,-1,1,1,6,-1,1,2,2,8,1,1,3,7.0,1.0,1,1,2.0,1.0,1.0,1.0,1.0,3.0,1.0
2,3,1,-1,1,1,1,1,3T,-1,2,-1,2,6,1,1,14,2,5,1,7.0,4,2,1,-1,2.0,3.0,9.0,-1.0,2.0
-1.0,4,5,1,-1,2,3T,1,-1,3,1,4,5,1,3,-1,-1,17,4,6,4.0,3.0,3,-1,6,5.0,2,5.0,4.0,6.0
-1,2,4,5,3,7T,2,-1.0,-1,4,-1,9,4,-1,4,7,-1,10.0,-1,2,13T,2,4.0,-1,8.0,3.0,-1.0,-1,10,7T
7T,6T,6,4,5T,7T,-1,3,-1,13T,3,-1,4,-1,10,6,4,5,2.0,-1,5,6.0,10,-1.0,15T,-1,11,-1,9,3.0
-1.0,5,2,3,5T,4,-1,-1,2,-1,7,-1,3,5,-1.0,2,-1,12T,9.0,3.0,10.0,10T,7.0,5T,3,-1.0,8T,6.0,-1,9T
4,6T,7,6T,-1,-1,-1,7,-1,8,3,5,6,-1,12,10,6,25,-1,14,13T,8,11T,3,15T,4,10.0,3,6.0,5.0
-1.0,6T,-1,-1,4,-1,3T,8T,3T,11,-1.0,1,7,-1.0,7T,4,3,9,10,21,2.0,-1,-1,-1.0,-1.0,-1,-1,11T,-1,9T
7T,-1.0,8T,-1,5T,5T,7,-1,-1,5.0,-1,10,-1,3,9,-1,12,18,7,8.0,11,-1.0,-1.0,-1.0,-1.0,-1,8T,7,-1.0,-1
3,-1,8T,6T,9T,7T,8T,5T,-1,11,-1,-1,13T,13T,6,5,10T,6.0,12T,-1,3.0,15T,-1.0,-1.0,-1.0,6T,-1,-1.0,-1.0,-1.0
