Rank_1994,Rank_1995,Rank_1996,Rank_1997,Rank_1998,Rank_1999,Rank_2000,Rank_2001,Rank_2002,Rank_2003,Rank_2004,Rank_2005,Rank_2006,Rank_2007,Rank_2008,Rank_2009,Rank_2010,Rank_2011,Rank_2012,Rank_2013,Rank_2014,Rank_2015,Rank_2016,Rank_2017,Rank_2018,Rank_2019,Rank_2020,Rank_2021,Rank_2022,Rank_2023
1,1,3,2,2,1,1,-1,1,1,6,-1,1,2,2,8,1,1,3,7.0,1.0,1,1,2.0,1.0,1.0,1.0,1.0,3.0,1.0
2,3,1,1,1,2,5T,1,3T,-1,2,-1,2,6,1,1,14,2,2.0,3.0,7.0,4,2,1,-1,2.0,3.0,9.0,-1.0,2.0
-1.0,4,5,-1,-1,3,3T,1,-1,3,-1,-1,5,1,4,-1,-1,17,5,1,13T,2,3,-1,6,5.0,11,-1,4.0,5.0
-1.0,2,4,5,3,7T,-1,-1.0,-1,4,1,4,4,-1,3,7,4,5,9.0,2,4.0,6.0,4.0,3,8.0,3.0,2,5.0,9,6.0
-1.0,-1.0,6,4,5T,4,2,-1,-1,13T,3,9,6,5,10,6,-1,12T,4,6,5,3.0,10,-1.0,3,4,-1.0,-1,10,3.0
7T,6T,2,3,5T,-1,-1,7,-1,-1,3,1,4,-1,-1,2,-1,18,7,-1,10.0,8,-1,5T,-1.0,6T,10.0,-1.0,-1,9T
-1,6T,7,-1,4,7T,3T,3,2,8,7,10,3,-1,12,-1,6,10.0,12T,14,13T,10T,5.0,-1.0,15T,-1.0,8T,3,6.0,7T
-1.0,-1,8T,6T,9T,5T,-1,5T,-1,-1.0,5,-1,-1,-1.0,9,11,12,25,-1,-1,2.0,-1,7.0,-1,15T,-1.0,8T,6.0,-1,-1
4,-1,8T,-1,-1,-1,7,8T,-1,5.0,-1.0,5,13T,3,-1.0,4,3,9,10,21,11,-1,-1,-1.0,-1.0,-1,-1.0,11T,-1.0,9T
3,6T,-1,-1,5T,7T,8T,-1,3T,11,-1,11,7,-1,7T,10,10T,16,1,11,8T,15T,11T,-1,-1.0,-1,-1,-1.0,-1.0,-1.0
