Feature,correlation,p-value
Dpoy_titles,0.32060058531082175,8.143841757588867e-61
Dpoy_votes,0.31810841044138255,7.497504691028823e-60
DWS_advanced,0.3138114032696944,3.278911522890321e-58
BLK_nba,0.2924015667767613,1.9656620928992064e-50
BLK,0.282479275460548,4.770263364398091e-47
raptor_defense_raptor,0.2662426912762071,8.440104935220959e-42
war_total_raptor,0.24675719265699345,5.741482270689376e-36
predator_defense_raptor,0.23931484144843929,7.1772372816421596e-34
war_reg_season_raptor,0.22301933431020018,1.5863631996190472e-29
DRB,0.22247613168230337,2.1850106156852352e-29
DREB_nba,0.2219874566739797,2.9122652251951883e-29
DRPM_espn,0.21644524635859022,7.219856625433853e-28
TRB,0.21338517071476304,4.092917259974648e-27
DEF WS_nba,0.21203875274720843,8.707722946573449e-27
WINS_espn,0.2113809501980014,1.2568281071597556e-26
VORP_advanced,0.20832131915297938,6.816501898305726e-26
WS_advanced,0.18593447347723688,7.241353386273103e-21
mp_raptor,0.16668723112885542,5.04736402980676e-17
STL_nba,0.16494713539926412,1.0693402042083804e-16
poss_raptor,0.16202971149905168,3.697250685744374e-16
STL,0.16181879395967153,4.0406083452550145e-16
GS,0.15907568279652481,1.2686998553213718e-15
DBPM_advanced,0.1512010158318038,3.031722340301287e-14
predator_total_raptor,0.14923920244712535,6.516431332692151e-14
RPM_espn,0.14874475361544126,7.889930197372654e-14
raptor_total_raptor,0.14818996287302144,9.771053276424875e-14
BLK_100_poss,0.14611098464284764,2.16186394269155e-13
DRtg_100_poss,-0.14504837976903084,3.2300335782638396e-13
W_nba,0.14449567629114438,3.975585191173906e-13
MP_100_poss,0.14394839651870958,4.879419928452363e-13
MP_advanced,0.14394839651870958,4.879419928452363e-13
BLK%_advanced,0.1421800061264138,9.408476500153548e-13
MP,0.1341640904582639,1.666315062719169e-11
MIN_nba,0.13398444887659344,1.7737888512568745e-11
MPG_espn,0.13365958174070589,1.9856334275336014e-11
OPP PTS PAINT_nba,0.12070213207994092,1.4322736356804924e-09
DRB_100_poss,0.12050072359300829,1.525580125911217e-09
%BLK_nba,0.11979752247490728,1.90011325504334e-09
OPP PTS 2ND CHANCE_nba,0.11555081811206872,6.965754020569301e-09
DRB%_advanced,0.11554780638112096,6.97206132531918e-09
DREB%_nba,0.1127823293173851,1.585176097914721e-08
%DREB_nba,0.11087347615328019,2.7631335737612548e-08
OPP PTS FB_nba,0.10888866731860598,4.876383898009186e-08
OPP PTS OFF TOV_nba,0.10704149910678419,8.200102905557041e-08
PL_misc,-0.10582697657663968,1.1486947691866675e-07
PW_misc,0.10582697657663968,1.1486947691866675e-07
MOV_misc,0.10383555835241143,1.980404154020578e-07
W_misc,0.1029410219649997,2.521203057686213e-07
L_misc,-0.1029410219649997,2.521203057686213e-07
SRS_misc,0.09974646437928172,5.874610670933221e-07
TRB_100_poss,0.09793619396248603,9.381186491312051e-07
pace_impact_raptor,-0.09647539918881008,1.3605514462267069e-06
DRtg_misc,-0.09620382414550432,1.457061357702048e-06
TRB%_advanced,0.09542270960769346,1.7727208502703357e-06
3P_opponent,-0.09347860522613005,2.86913973959027e-06
FT_opponent,-0.09032676323527478,6.139811443920833e-06
FTA_opponent,-0.08728698419725936,1.2495408968854497e-05
G,0.08700490232049259,1.3331765049826006e-05
GP_espn,0.08594534863724668,1.697539718917958e-05
GP_nba,0.08587136441456794,1.7262446147174663e-05
3PA_opponent,-0.0834052564534983,2.9958492628119592e-05
AST_opponent,-0.07999903855519183,6.260598538546947e-05
WS/48_advanced,0.07819093827829202,9.152846017387745e-05
BLK_team,0.07804195015978672,9.440475132590697e-05
PF_team,-0.07715172509401903,0.00011344877588543758
3P%_opponent,-0.07553239664388336,0.0001577011557719697
PER_advanced,0.07548154423072685,0.0001593243461167087
PF_100_poss,-0.06726986068394254,0.0007674482118987693
STL%_nba,0.06532357457589325,0.0010879844313772765
TOV,0.0578108671921554,0.00384803173153988
PF,0.05780966791352606,0.003848767061362763
2P%_opponent,-0.05774791324909931,0.0038868044024279592
FG%_opponent,-0.056997982659757904,0.00437673850863751
SOS_misc,-0.054245760307450125,0.006691034966714535
Age,0.04567372520585838,0.022440893991754647
DRB%_misc,0.045242222475851544,0.02374488428982747
STL%_advanced,0.043441310573011024,0.0299209900017024
STL_100_poss,0.043441310573011024,0.0299209900017024
AST_team,0.041748398905899584,0.0369378736604304
Pace_misc,-0.04001610075306536,0.04552137968203431
TOV_team,-0.03896588619931555,0.051501224808278824
2PA_opponent,0.038508875251415706,0.05430147322267403
DRB_team,0.03834845884930567,0.05531402317045942
TRB_opponent,-0.0365216931757872,0.06799359062934406
FT%_opponent,-0.034413827460437585,0.08549582438864772
TOV_100_poss,-0.03430910570999587,0.08645246153853739
ORB_opponent,-0.030177741023826803,0.13158732539302476
TOV%_misc,-0.027121216808070933,0.17538917143203378
BPM_advanced,0.02649281653408813,0.18560919584488525
TRB_team,0.024644890351447905,0.21820245049141368
TOV%.1_misc,0.02223838922362738,0.2665443808810699
DEF RTG_nba,0.01594701730966783,0.4256348164508739
FGA_opponent,-0.012941074646828915,0.5179567638291935
2P_opponent,-0.009687155350557312,0.6284334138598006
STL_team,-0.0005511801035215725,0.9780336678951698
teamates_with_dpoy,0.00015964562857263324,0.9936368628622284
D-LEBRON_bball,,
