,Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,DWS,DBPM,DRtg
0,1,Dwight Howard,25,ORL,114.0,585.0,600,0.975,78,37.6,22.9,14.1,1.4,1.4,2.4,0.593,0.0,0.596,14.4,0.235,7.7,2.4,94
1,2,Kevin Garnett,34,BOS,1.0,77.0,600,0.128,71,31.3,14.9,8.9,2.4,1.3,0.8,0.528,0.2,0.862,9.0,0.194,5.6,2.9,95
2,3,Tyson Chandler,28,DAL,0.0,70.0,600,0.117,74,27.8,10.1,9.4,0.4,0.5,1.1,0.654,,0.732,9.4,0.218,3.5,1.0,102
3,4,Tony Allen,29,MEM,0.0,53.0,600,0.088,72,20.8,8.9,2.7,1.4,1.8,0.6,0.51,0.174,0.753,4.7,0.152,2.7,3.5,101
4,5,Rajon Rondo,24,BOS,0.0,45.0,600,0.075,68,37.2,10.6,4.4,11.2,2.3,0.2,0.475,0.233,0.568,6.6,0.126,4.8,1.4,100
5,6,Andrew Bogut,26,MIL,0.0,32.0,600,0.053,65,35.3,12.8,11.1,2.0,0.7,2.6,0.495,0.0,0.442,5.4,0.112,5.1,2.4,97
6,7,Grant Hill,38,PHO,1.0,30.0,600,0.05,80,30.1,13.2,4.2,2.5,0.8,0.4,0.484,0.395,0.829,4.4,0.087,1.3,-0.3,111
7,8,Andre Iguodala,27,PHI,0.0,29.0,600,0.048,67,36.9,14.1,5.8,6.3,1.5,0.6,0.445,0.337,0.693,6.7,0.13,3.5,1.6,104
8,9,LeBron James,26,MIA,0.0,25.0,600,0.042,79,38.8,26.7,7.5,7.0,1.6,0.6,0.51,0.33,0.759,15.6,0.244,5.3,1.8,102
9,10,Luol Deng,25,CHI,0.0,24.0,600,0.04,82,39.1,17.4,5.8,2.8,1.0,0.6,0.46,0.345,0.753,9.9,0.149,5.2,0.6,102
10,11,Kobe Bryant,32,LAL,0.0,18.0,600,0.03,82,33.9,25.3,5.1,4.7,1.2,0.1,0.451,0.323,0.828,10.3,0.178,3.5,-0.2,105
11,12T,Chuck Hayes,27,HOU,2.0,13.0,600,0.022,74,28.1,7.9,8.1,2.7,1.1,0.7,0.527,0.0,0.662,6.3,0.146,2.4,1.3,106
12,12T,Chris Paul,25,NOH,0.0,13.0,600,0.022,80,36.0,15.9,4.1,9.8,2.4,0.1,0.463,0.388,0.878,13.9,0.232,4.4,2.8,103
13,14,Serge Ibaka,21,OKC,0.0,12.0,600,0.02,82,27.0,9.9,7.6,0.3,0.4,2.4,0.543,0.0,0.75,7.6,0.164,3.2,0.7,104
14,15,Joakim Noah,25,CHI,1.0,11.0,600,0.018,48,32.8,11.7,10.4,2.2,1.0,1.5,0.525,0.0,0.739,6.7,0.205,3.6,2.1,97
15,16,Dwyane Wade,29,MIA,0.0,8.0,600,0.013,76,37.1,25.5,6.4,4.6,1.5,1.1,0.5,0.306,0.758,12.8,0.218,4.7,1.1,102
16,17,Tim Duncan,34,SAS,0.0,7.0,600,0.012,76,28.4,13.4,8.9,2.7,0.7,1.9,0.5,0.0,0.716,7.7,0.171,4.0,2.2,100
17,18,Metta World Peace,31,LAL,0.0,6.0,600,0.01,82,29.4,8.5,3.3,2.1,1.5,0.4,0.397,0.356,0.676,4.4,0.088,3.2,1.5,105
18,19T,Keith Bogans,30,CHI,1.0,5.0,600,0.008,82,17.8,4.4,1.8,1.2,0.5,0.1,0.404,0.38,0.656,3.6,0.118,2.2,1.4,103
19,19T,JaVale McGee,23,WAS,0.0,5.0,600,0.008,79,27.8,10.1,8.0,0.5,0.5,2.4,0.55,0.0,0.583,5.3,0.115,2.5,0.4,106
20,21,Thabo Sefolosha,26,OKC,0.0,4.0,600,0.007,79,25.9,5.1,4.4,1.4,1.2,0.5,0.471,0.275,0.747,4.1,0.097,2.5,1.9,106
21,22,Andrew Bynum,23,LAL,0.0,3.0,600,0.005,54,27.8,11.3,9.4,1.4,0.4,2.0,0.574,,0.66,6.6,0.21,2.8,1.4,100
22,23T,Kenyon Martin,33,DEN,0.0,2.0,600,0.003,48,25.7,8.6,6.2,2.3,0.9,0.7,0.511,0.222,0.583,2.7,0.104,1.6,1.7,105
23,23T,Gerald Wallace,28,TOT,0.0,2.0,600,0.003,71,37.9,15.7,8.0,2.4,1.5,0.9,0.454,0.333,0.746,6.2,0.111,3.6,1.1,105
24,25,Josh Smith,25,ATL,0.0,1.0,600,0.002,77,34.4,16.5,8.5,3.3,1.3,1.6,0.477,0.331,0.725,6.4,0.116,4.5,1.7,102
