,Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,DWS,DBPM,DRtg
0,1,Ben Wallace,28,DET,100.0,531.0,585,0.908,73,39.4,6.9,15.4,1.6,1.4,3.2,0.481,0.167,0.45,10.6,0.176,7.9,3.5,90
1,2,Metta World Peace,23,IND,2.0,122.0,585,0.209,69,33.6,15.5,5.2,2.9,2.3,0.7,0.428,0.336,0.736,7.2,0.15,4.1,2.3,98
2,3,Kevin Garnett,26,MIN,8.0,121.0,585,0.207,82,40.5,23.0,13.4,6.0,1.4,1.6,0.502,0.282,0.751,15.6,0.225,5.8,2.4,98
3,4,Tim Duncan,26,SAS,2.0,90.0,585,0.154,81,39.3,23.3,12.9,3.9,0.7,2.9,0.513,0.273,0.71,16.5,0.248,6.9,2.5,94
4,5,Doug Christie,32,SAC,5.0,85.0,585,0.145,80,33.9,9.4,4.3,4.7,2.3,0.5,0.479,0.395,0.81,8.9,0.157,4.7,3.2,98
5,6,Allen Iverson,27,PHI,0.0,29.0,585,0.05,82,42.5,27.6,4.2,5.5,2.7,0.2,0.414,0.277,0.774,9.2,0.127,4.2,0.2,102
6,7,Bruce Bowen,31,SAS,0.0,20.0,585,0.034,82,31.3,7.1,2.9,1.4,0.8,0.5,0.466,0.441,0.404,5.1,0.096,2.7,1.0,103
7,8,Kobe Bryant,24,LAL,0.0,16.0,585,0.027,82,41.5,30.0,6.9,5.9,2.2,0.8,0.451,0.383,0.843,14.9,0.21,4.0,0.7,103
8,9,Theo Ratliff,29,ATL,0.0,15.0,585,0.026,81,31.1,8.7,7.5,0.9,0.7,3.2,0.464,,0.72,4.0,0.077,3.4,1.8,101
9,10,Eric Snow,29,PHI,0.0,6.0,585,0.01,82,37.9,12.9,3.7,6.6,1.6,0.1,0.452,0.219,0.858,8.4,0.13,2.7,0.3,105
10,11,Gary Payton,34,TOT,0.0,5.0,585,0.009,80,40.1,20.4,4.2,8.3,1.7,0.3,0.454,0.297,0.71,9.1,0.136,2.1,-0.6,107
11,12,Kenyon Martin,25,NJN,0.0,4.0,585,0.007,77,34.1,16.7,8.3,2.4,1.3,0.9,0.47,0.209,0.653,7.1,0.129,5.3,1.2,96
12,13T,Adonal Foyle,27,GSW,0.0,3.0,585,0.005,82,21.8,5.4,6.0,0.5,0.5,2.5,0.536,0.0,0.673,4.0,0.106,1.7,1.7,104
13,13T,Shawn Marion,24,PHO,0.0,3.0,585,0.005,81,41.6,21.2,9.5,2.4,2.3,1.2,0.452,0.387,0.851,13.0,0.186,5.8,1.7,98
14,13T,Shaquille O'Neal,30,LAL,0.0,3.0,585,0.005,67,37.8,27.5,11.1,3.1,0.6,2.4,0.574,,0.622,13.2,0.25,3.0,0.1,102
