,Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,DWS,DBPM,DRtg
0,1,Hakeem Olajuwon,31,HOU,23.0,23.0,101,0.228,80,41.0,27.3,11.9,3.6,1.6,3.7,0.528,0.421,0.716,14.3,0.21,7.9,3.3,95
1,2,David Robinson,28,SAS,22.0,22.0,101,0.218,80,40.5,29.8,10.7,4.8,1.7,3.3,0.507,0.345,0.749,20.0,0.296,6.7,3.8,98
2,3,Dikembe Mutombo,27,DEN,19.0,19.0,101,0.188,82,34.8,12.0,11.8,1.5,0.7,4.1,0.569,0.0,0.583,9.4,0.158,6.4,3.0,96
3,4,Scottie Pippen,28,CHI,11.0,11.0,101,0.109,72,38.3,22.0,8.7,5.6,2.9,0.8,0.491,0.32,0.66,11.2,0.194,6.0,3.2,97
4,5,Gary Payton,25,SEA,9.0,9.0,101,0.089,82,35.1,16.5,3.3,6.0,2.3,0.2,0.504,0.278,0.595,9.3,0.155,4.1,1.3,103
5,6,Dennis Rodman,32,SAS,8.0,8.0,101,0.079,79,37.8,4.7,17.3,2.3,0.7,0.4,0.534,0.208,0.52,8.7,0.14,5.4,0.3,100
6,7T,Mookie Blaylock,26,ATL,3.0,3.0,101,0.03,81,36.0,13.8,5.2,9.7,2.6,0.5,0.411,0.334,0.73,10.2,0.168,5.3,2.3,100
7,7T,Nate McMillan,29,SEA,3.0,3.0,101,0.03,73,25.8,6.0,3.9,5.3,3.0,0.3,0.447,0.391,0.564,6.0,0.154,4.5,5.5,95
8,9,Charles Oakley,30,NYK,2.0,2.0,101,0.02,82,35.8,11.8,11.8,2.7,1.3,0.2,0.478,0.0,0.776,10.5,0.172,6.8,1.5,96
9,10,Horace Grant,28,CHI,1.0,1.0,101,0.01,70,36.7,15.1,11.0,3.4,1.1,1.2,0.524,0.0,0.596,10.0,0.188,4.3,0.9,101
