Rank_1994,Rank_1995,Rank_1996,Rank_1997,Rank_1998,Rank_1999,Rank_2000,Rank_2001,Rank_2002,Rank_2003,Rank_2004,Rank_2005,Rank_2006,Rank_2007,Rank_2008,Rank_2009,Rank_2010,Rank_2011,Rank_2012,Rank_2013,Rank_2014,Rank_2015,Rank_2016,Rank_2017,Rank_2018,Rank_2019,Rank_2020,Rank_2021,Rank_2022,Rank_2023
1,4,3,2,2,5T,1,-1,-1,1,2,10,4,6,1,1,1,1,3,3.0,1.0,1,1,1,1.0,1.0,1.0,1.0,3.0,2.0
4,1,4,-1,1,4,5T,1,1,4,6,4,4,-1.0,2,8,4,12T,5,1,4.0,3.0,3,3,8.0,2.0,3.0,5.0,5.0,9T
7T,3,-1.0,1,3,1,3T,5T,3T,-1,7,-1,3,2,3,-1,2,2,-1.0,14,15T,4,2,-1,3,-1.0,2,-1,2.0,3.0
2,2,2,4,5T,-1,3T,-1,-1,-1,1,1,5,18T,4,7,-1,25,2.0,2,7.0,-1,4.0,5T,6,3.0,-1.0,9.0,-1.0,7T
5,6T,5,-1,5T,3,2,3,3T,8,3,5,2,-1,-1,2,16,6.0,7,8.0,11,10T,10,-1.0,-1.0,5.0,11,6.0,-1.0,1.0
7T,6T,6,5,5T,2,-1,2,-1,6,3,-1,1,5,12,6,12,3,6.0,6,5,-1,-1,2.0,-1,6T,-1.0,2.0,6.0,6.0
10,-1,7,3,9T,-1,8T,-1,-1,-1.0,5,11,7,4,-1,5,10T,5,4,7.0,8T,-1,-1.0,-1,-1.0,-1.0,10.0,-1,-1.0,-1.0
9,6T,-1,6T,5T,5T,8T,8T,-1,5.0,-1,-1,6,1,16T,4,14,16,18T,21,-1.0,2,-1.0,5T,15T,-1,8T,3,9,-1.0
-1,5,8T,-1.0,11T,-1,-1,11T,2,13T,-1.0,3,13T,8,9,-1.0,-1,-1,12T,4.0,2.0,6.0,11T,-1,-1.0,-1,-1.0,4.0,10,-1.0
6,6T,8T,-1.0,4,7T,-1,1,-1,13T,-1.0,18T,8,-1,10,-1,6,17,-1.0,-1,8T,15T,7.0,-1.0,-1,-1,-1,-1.0,-1.0,9T
