Rank_1994,Rank_1995,Rank_1996,Rank_1997,Rank_1998,Rank_1999,Rank_2000,Rank_2001,Rank_2002,Rank_2003,Rank_2004,Rank_2005,Rank_2006,Rank_2007,Rank_2008,Rank_2009,Rank_2010,Rank_2011,Rank_2012,Rank_2013,Rank_2014,Rank_2015,Rank_2016,Rank_2017,Rank_2018,Rank_2019,Rank_2020,Rank_2021,Rank_2022,Rank_2023
1,4,3,2,1,5T,1,-1,1,1,2,-1,4,6,2,1,1,1,10,3.0,1.0,1,1,1,1.0,1.0,1.0,1.0,3.0,6.0
4,3,4,-1,2,1,5T,5T,3T,-1,6,11,4,2,3,-1,4,12T,7,1,4.0,3.0,4.0,2.0,8.0,2.0,3.0,5.0,-1.0,9T
2,1,-1.0,1,3,4,3T,3,-1,4,1,10,5,18T,1,7,2,3,5,2,15T,4,2,3,15T,-1.0,2,9.0,10,2.0
7T,6T,6,3,4,-1,2,-1,-1,6,7,1,1,-1.0,7T,8,12,25,-1.0,21,5,15T,3,-1.0,-1,5.0,11,3,9,-1.0
5,2,2,4,5T,2,3T,1,-1,5.0,5,-1,3,1,4,2,14,-1,2.0,14,6,-1,10,5T,-1.0,3.0,8T,-1.0,-1.0,1.0
10,6T,5,5,5T,3,-1,8T,2,8,-1.0,-1,2,-1,-1,5,10T,16,18T,6,7.0,-1,-1.0,-1,-1,-1.0,-1.0,2.0,4.0,-1.0
7T,5,7,6T,5T,-1,-1,11T,3T,-1,-1,4,6,5,5,6,-1,2,12T,8.0,8T,10T,-1,-1.0,3,6T,10.0,-1,5.0,-1.0
-1,-1,-1,-1.0,-1,-1,8T,1,-1,-1.0,3,18T,-1,4,16T,4,-1,6.0,4,7.0,2.0,2,13T,-1.0,15T,-1,-1.0,4.0,6.0,-1.0
9,6T,8T,-1,9T,-1,-1,-1,-1,3,-1.0,18T,7,8,7T,-1.0,5,-1,3,10.0,8T,15T,-1,-1,6,-1,-1.0,-1.0,-1,-1.0
3,-1,8T,-1,-1,7T,8T,2,-1,13T,3,5,13T,3,-1,-1,3,5,6.0,4.0,13T,5.0,5.0,-1,-1,-1,-1.0,-1,-1,3.0
