Rank_1994,Rank_1995,Rank_1996,Rank_1997,Rank_1998,Rank_1999,Rank_2000,Rank_2001,Rank_2002,Rank_2003,Rank_2004,Rank_2005,Rank_2006,Rank_2007,Rank_2008,Rank_2009,Rank_2010,Rank_2011,Rank_2012,Rank_2013,Rank_2014,Rank_2015,Rank_2016,Rank_2017,Rank_2018,Rank_2019,Rank_2020,Rank_2021,Rank_2022,Rank_2023
1,1,3,2,2,1,1,-1,1,1,6,11,4,2,1,1,1,1,4,1,1.0,1,1,1,1.0,2.0,1.0,1.0,3.0,6.0
4,3,1,1,1,3,5T,3,3T,8,2,-1,4,6,2,8,4,2,5,3.0,15T,3.0,3,3,6,1.0,3.0,9.0,6.0,3.0
7T,4,4,-1,5T,5T,8T,1,-1,5.0,7,1,2,-1,3,7,2,10.0,-1,14,4.0,-1,2,2.0,-1,6T,2,-1.0,-1.0,9T
2,2,5,4,3,2,2,1,-1,4,1,5,5,-1,16T,2,-1,6.0,-1,2,7.0,4,4.0,5T,8.0,-1.0,10.0,-1,10,-1
5,6T,7,5,5T,4,8T,-1,3T,-1,5,4,1,18T,4,-1,-1.0,-1.0,3,6,3.0,2,5.0,-1.0,3,3.0,-1.0,5.0,5.0,1.0
7T,6T,6,6T,5T,7T,-1,2,-1.0,-1.0,3,10,3,4,12,-1,10T,9,1,8.0,11,10T,10,-1,-1,5.0,-1.0,-1,-1.0,9T
10,-1,2,3,4,7T,3T,5T,-1,11,3,3,7,5,6,6,12,5,-1,4.0,2.0,7.0,-1.0,4.0,-1,6T,11,11T,9,-1.0
9,-1,-1,-1,11T,7T,-1,4.0,-1,13T,-1,-1,13T,-1.0,-1,5,14,16,-1,13,8T,15T,-1.0,-1,-1,4,-1.0,-1,-1.0,5.0
-1,5,-1,-1,11T,-1,-1,11T,-1,3,-1.0,9,8,8,-1,4,6,25,7,16,8T,-1,11T,-1.0,-1.0,-1.0,-1,2.0,1,-1.0
6,6T,-1,-1,9T,7T,7,-1,2,-1.0,10T,18T,6,3,10,-1,-1,12T,18T,-1.0,5,8,-1,-1.0,15T,-1,-1,-1.0,-1,-1.0
