,PLAYER,TEAM,AGE,GP,W,L,MIN,DEF RTG,DREB,DREB%,%DREB,STL,STL%,BLK,%BLK,OPP PTS OFF TOV,OPP PTS 2ND CHANCE,OPP PTS FB,OPP PTS PAINT,DEF WS
0,Andre Ingram,LAL,32,2,1,1,32.1,95.1,2.5,7.2,9.3,1.5,18.8,1.5,37.5,7.5,4.0,1.0,35.0,0.218
1,Rudy Gobert,UTA,26,56,37,19,32.4,98.3,7.8,23.4,32.6,0.8,14.1,2.3,61.7,11.5,7.1,6.5,26.5,0.180
2,Joel Embiid,PHI,24,63,41,22,30.4,98.9,8.7,25.5,37.0,0.6,13.2,1.8,51.2,10.7,7.6,5.6,24.3,0.161
3,Robert Covington,PHI,27,80,51,29,31.6,100.0,4.7,13.7,19.3,1.7,28.4,0.9,25.8,11.1,7.7,6.5,26.3,0.158
4,Marcus Smart,BOS,24,54,38,16,29.9,99.6,2.7,8.5,12.3,1.3,27.0,0.4,15.3,9.8,7.2,6.1,26.4,0.156
5,Kawhi Leonard,SAS,27,9,5,4,23.3,95.4,4.0,15.9,22.0,2.0,42.9,1.0,40.9,7.7,6.2,6.1,22.2,0.153
6,Andre Roberson,OKC,26,39,24,15,26.6,97.3,2.8,10.9,15.4,1.2,18.3,0.9,35.0,7.9,5.1,5.2,21.3,0.153
7,Donovan Mitchell,UTA,21,79,46,33,33.4,101.5,3.1,9.3,12.9,1.5,24.1,0.3,9.5,11.7,7.6,6.9,29.2,0.153
8,Jayson Tatum,BOS,20,80,53,27,30.5,100.8,4.4,13.8,19.9,1.0,21.8,0.7,23.3,9.5,7.2,6.6,27.2,0.145
9,Al Horford,BOS,32,72,47,25,31.6,101.6,5.9,17.8,25.2,0.6,12.8,1.1,35.9,10.0,7.2,6.8,28.0,0.142
10,Jaylen Brown,BOS,21,70,47,23,30.7,101.3,4.0,12.4,17.7,1.0,20.6,0.4,12.3,9.5,6.9,6.0,27.3,0.142
11,Ben Simmons,PHI,21,81,51,30,33.7,102.9,6.3,17.1,24.8,1.7,28.9,0.9,24.1,12.8,8.7,6.9,29.0,0.139
12,Ricky Rubio,UTA,27,77,44,33,29.3,101.2,4.0,13.9,19.5,1.6,27.8,0.1,5.1,10.0,6.7,5.7,25.5,0.136
13,Anthony Davis,NOP,25,75,45,30,36.4,104.3,8.6,21.3,31.6,1.5,24.3,2.6,53.5,12.2,10.6,10.9,34.8,0.135
