,PLAYER,TEAM,AGE,GP,W,L,MIN,DEF RTG,DREB,DREB%,%DREB,STL,STL%,BLK,%BLK,OPP PTS OFF TOV,OPP PTS 2ND CHANCE,OPP PTS FB,OPP PTS PAINT,DEF WS
0,Mac McClung,PHI,24,2,2,0,20.5,95.7,3.5,15.2,20.6,0.0,0.0,0.0,0.0,10.0,3.5,7.5,16.0,0.178
1,Darius Garland,CLE,23,69,40,29,35.5,108.8,2.3,6.7,10.0,1.2,22.7,0.1,3.8,10.8,8.8,9.5,33.3,0.146
2,Desmond Bane,MEM,25,58,38,20,31.7,107.4,4.3,12.3,18.5,1.0,16.6,0.4,9.3,10.1,9.5,8.9,31.0,0.145
3,Brook Lopez,MIL,35,78,57,21,30.4,106.6,4.7,13.5,18.6,0.5,12.8,2.5,66.8,10.1,7.6,7.5,29.7,0.145
4,Jrue Holiday,MIL,33,67,50,17,32.6,107.9,3.9,10.7,15.0,1.2,25.5,0.4,10.4,10.5,8.5,7.8,31.7,0.143
5,Zion Williamson,NOP,22,29,17,12,33.0,108.4,5.0,14.8,21.4,1.1,18.0,0.6,19.0,13.1,9.7,9.9,34.3,0.142
6,Evan Mobley,CLE,22,79,48,31,34.4,109.0,6.6,20.0,29.7,0.8,14.9,1.5,43.8,10.9,8.5,9.0,31.1,0.140
7,Jaren Jackson Jr.,MEM,23,63,41,22,28.4,106.6,5.0,15.9,23.8,1.0,20.0,3.0,67.0,8.3,8.1,8.0,25.9,0.137
8,Ja Morant,MEM,23,61,40,21,31.9,108.5,4.9,13.9,20.5,1.1,21.3,0.3,6.7,10.1,9.7,9.2,32.1,0.135
9,Jarrett Allen,CLE,25,68,44,24,32.6,108.8,6.5,21.0,30.3,0.8,16.4,1.2,41.2,10.8,7.4,9.0,30.9,0.134
10,Anthony Davis,LAL,30,56,31,25,34.0,109.5,9.1,24.8,35.7,1.1,20.8,2.0,59.1,11.4,8.9,11.3,35.6,0.133
11,Jayson Tatum,BOS,25,74,52,22,36.9,110.8,7.7,20.0,28.4,1.1,21.9,0.7,16.9,11.1,9.5,9.7,36.7,0.131
12,Karl-Anthony Towns,MIN,27,29,15,14,33.0,109.4,6.5,18.1,27.0,0.7,14.4,0.6,16.3,12.9,9.4,10.1,32.5,0.131
13,Giannis Antetokounmpo,MIL,28,63,47,16,32.1,109.2,9.6,26.8,37.7,0.8,18.7,0.8,25.1,10.0,8.4,8.7,32.1,0.131
14,Donovan Mitchell,CLE,26,68,44,24,35.8,110.4,3.3,9.7,14.2,1.5,28.9,0.4,11.9,11.5,8.2,9.9,33.0,0.131
15,Kevin Durant,PHX,34,47,34,13,35.6,110.3,6.3,16.6,25.2,0.7,14.5,1.4,26.7,12.9,10.8,10.9,35.2,0.130
16,Derrick White,BOS,28,82,57,25,28.3,107.2,2.9,9.8,13.9,0.7,18.9,0.9,29.6,8.5,7.5,7.2,28.6,0.130
17,DeMar DeRozan,CHI,33,74,37,37,36.2,110.7,4.2,11.6,16.7,1.1,19.0,0.5,15.3,11.2,8.6,9.5,34.6,0.129
18,Caris LeVert,CLE,28,74,45,29,30.2,108.5,3.1,10.5,15.8,1.0,22.9,0.3,10.5,9.6,7.9,8.0,29.4,0.128
19,Dillon Brooks,MEM,27,73,46,27,30.3,108.5,2.7,8.4,12.2,0.9,17.9,0.2,6.3,9.1,8.6,8.1,28.5,0.128
20,Joel Embiid,PHI,29,66,43,23,34.6,110.2,8.4,24.3,35.7,1.0,19.2,1.7,52.1,11.3,9.5,10.7,32.6,0.127
21,Draymond Green,GSW,33,73,41,32,31.5,109.2,6.3,18.5,27.1,1.0,22.0,0.8,34.9,11.8,8.3,9.1,30.8,0.127
22,Dennis Smith Jr.,CHA,25,54,19,35,25.7,106.2,2.6,9.3,13.8,1.4,30.2,0.5,15.2,8.1,7.4,5.4,25.4,0.125
23,Immanuel Quickley,NYK,24,81,47,34,28.9,108.1,3.4,11.0,16.6,1.0,24.9,0.2,6.5,9.0,8.1,6.5,26.4,0.125
24,LeBron James,LAL,38,55,30,25,35.5,111.0,7.1,19.1,26.7,0.9,19.2,0.6,17.6,11.3,9.3,10.7,37.5,0.124
