,PLAYER,TEAM,AGE,GP,W,L,MIN,DEF RTG,DREB,DREB%,%DREB,STL,STL%,BLK,%BLK,OPP PTS OFF TOV,OPP PTS 2ND CHANCE,OPP PTS FB,OPP PTS PAINT,DEF WS
0,Luol Deng,CHI,26,82,62,20,39.1,98.8,4.4,11.2,16.6,1.0,16.9,0.6,13.6,12.5,9.8,10.6,30.0,0.193
1,Paul Pierce,BOS,33,80,55,25,34.7,97.8,5.0,14.4,21.4,1.0,16.7,0.6,21.2,10.4,8.6,7.9,26.0,0.182
2,Kevin Garnett,BOS,35,71,49,22,31.3,96.4,7.7,24.9,36.4,1.3,23.2,0.8,31.1,9.1,7.3,6.6,23.2,0.179
3,Rajon Rondo,BOS,25,68,47,21,37.2,99.8,3.1,8.6,12.8,2.3,34.2,0.2,5.1,11.3,9.8,8.5,29.1,0.173
4,Ray Allen,BOS,35,80,55,25,36.1,99.7,2.8,8.0,12.0,1.0,15.3,0.2,6.7,10.9,9.3,8.4,27.8,0.167
5,Andrew Bogut,MIL,26,65,28,37,35.3,99.5,8.0,23.7,34.6,0.7,14.3,2.6,62.0,11.1,8.7,9.1,26.6,0.164
6,Dwight Howard,ORL,25,78,51,27,37.6,100.6,10.1,26.8,39.1,1.4,26.6,2.4,62.0,12.5,8.8,8.2,26.0,0.163
7,Derrick Rose,CHI,22,81,62,19,37.4,100.7,3.1,8.2,12.3,1.0,20.2,0.6,15.3,12.3,9.6,10.3,29.1,0.163
8,Chris Bosh,MIA,27,77,55,22,36.3,100.5,6.5,17.8,25.8,0.8,15.1,0.6,15.4,11.4,9.1,9.5,29.1,0.161
9,LeBron James,MIA,26,79,57,22,38.8,101.4,6.5,16.3,24.4,1.6,29.5,0.6,15.2,12.4,9.9,10.2,31.0,0.160
10,John Salmons,MIL,31,73,30,43,35.0,100.1,3.3,10.0,14.7,1.0,17.3,0.4,11.3,10.5,8.2,8.9,26.7,0.158
11,Dirk Nowitzki,DAL,33,73,55,18,34.3,100.4,6.3,18.4,27.1,0.5,10.4,0.6,21.1,11.1,8.9,10.0,29.7,0.153
12,Caron Butler,DAL,31,29,21,8,29.9,98.5,3.3,10.9,15.7,1.0,21.2,0.3,9.2,8.9,7.1,9.0,24.9,0.150
13,Andre Iguodala,PHI,27,67,36,31,36.8,101.9,4.9,13.6,20.0,1.5,25.1,0.6,15.1,10.8,9.1,9.9,31.0,0.145
14,Pau Gasol,LAL,30,82,57,25,37.0,102.1,6.9,18.3,28.6,0.6,9.9,1.6,42.1,10.5,10.5,10.1,30.6,0.144
15,Rudy Gay,MEM,24,54,30,24,39.8,103.1,4.7,12.4,19.3,1.7,22.6,1.1,25.6,12.5,9.6,12.9,34.0,0.143
16,Ronnie Brewer,CHI,26,81,61,20,22.0,93.9,2.6,11.3,16.8,1.3,35.7,0.3,8.6,6.8,5.0,5.7,16.0,0.143
17,Dwyane Wade,MIA,29,76,54,22,37.1,102.4,4.8,12.7,18.7,1.5,27.3,1.1,26.9,11.7,9.4,10.2,30.0,0.142
18,Glen Davis,BOS,25,78,54,24,29.5,99.0,4.2,14.8,22.5,1.0,20.6,0.4,15.8,8.9,7.9,7.4,22.7,0.142
19,Brandon Jennings,MIL,21,63,27,36,34.4,101.6,3.0,9.5,14.1,1.5,26.4,0.3,9.6,10.5,8.0,9.1,27.1,0.140
20,Joakim Noah,CHI,26,48,36,12,32.8,101.1,6.6,20.0,30.3,1.0,19.6,1.5,41.4,11.5,9.5,9.8,26.7,0.139
