,PLAYER,TEAM,AGE,GP,W,L,MIN,DEF RTG,DREB,DREB%,%DREB,STL,STL%,BLK,%BLK,OPP PTS OFF TOV,OPP PTS 2ND CHANCE,OPP PTS FB,OPP PTS PAINT,DEF WS
0,Mike Conley,MEM,25,80,54,26,34.5,96.0,2.3,7.0,10.6,2.2,33.3,0.3,8.3,9.8,8.4,8.5,27.0,0.183
1,Marc Gasol,MEM,28,80,55,25,35.0,96.3,5.5,16.6,25.4,1.0,15.3,1.7,45.9,10.7,8.0,8.9,26.7,0.182
2,Paul George,IND,23,79,48,31,37.6,98.1,6.5,16.7,25.3,1.8,30.8,0.6,12.7,12.4,10.1,7.2,27.5,0.176
3,George Hill,IND,27,76,46,30,34.5,97.9,3.1,8.7,13.2,1.1,20.1,0.3,7.1,10.7,9.6,6.4,25.1,0.163
4,Joakim Noah,CHI,28,66,36,30,36.8,99.3,7.2,19.3,29.9,1.2,22.2,2.1,53.6,11.6,10.1,9.7,27.8,0.159
5,Zach Randolph,MEM,31,76,51,25,34.3,98.3,7.2,22.6,34.7,0.8,12.6,0.4,12.3,10.6,8.4,9.5,28.2,0.156
6,David West,IND,32,73,43,30,33.4,98.2,5.7,16.7,25.3,1.0,19.2,0.9,20.5,10.5,8.9,6.8,24.2,0.155
7,Kevin Garnett,BOS,37,68,36,32,29.7,96.4,6.7,22.9,34.4,1.1,21.4,0.9,36.9,9.5,8.3,6.6,23.9,0.154
8,Kawhi Leonard,SAS,22,58,43,15,31.2,97.3,4.9,15.5,22.4,1.7,28.8,0.6,14.4,10.0,7.1,8.7,25.6,0.152
9,Tony Allen,MEM,31,79,54,25,26.7,95.4,3.1,12.2,18.5,1.5,28.5,0.6,18.5,8.6,5.9,6.7,21.1,0.148
10,Tony Parker,SAS,31,66,47,19,32.9,98.6,2.7,8.1,11.9,0.8,14.2,0.1,2.2,9.8,8.1,9.0,27.3,0.148
11,Rudy Gay,TOR,26,75,46,29,35.8,99.9,4.8,14.2,21.8,1.5,23.7,0.7,17.5,11.5,8.9,9.7,29.0,0.146
12,Kevin Durant,OKC,24,81,60,21,38.5,100.9,7.3,17.9,27.5,1.4,22.4,1.3,19.8,13.2,10.9,9.4,32.8,0.146
13,Tim Duncan,SAS,37,69,50,19,30.1,97.8,8.1,25.8,37.6,0.7,14.7,2.7,62.5,9.5,7.4,8.7,23.8,0.142
14,Quentin Richardson,NYK,33,1,1,0,28.9,98.3,5.0,14.3,22.7,0.0,0.0,0.0,0.0,19.0,14.0,22.0,34.0,0.141
15,Roy Hibbert,IND,26,79,49,30,28.7,97.3,4.6,15.1,22.7,0.5,11.4,2.6,61.1,8.9,7.8,6.0,20.3,0.141
