,PLAYER,TEAM,AGE,GP,W,L,MIN,DEF RTG,DREB,DREB%,%DREB,STL,STL%,BLK,%BLK,OPP PTS OFF TOV,OPP PTS 2ND CHANCE,OPP PTS FB,OPP PTS PAINT,DEF WS
0,Jimmy Butler,CHI,24,67,43,24,38.7,98.9,3.6,9.5,14.1,1.9,31.1,0.5,12.5,11.6,9.0,9.5,29.7,0.181
1,Paul George,IND,24,80,54,26,36.2,98.0,6.0,15.7,23.0,1.9,36.6,0.3,6.5,11.3,8.4,8.2,26.3,0.181
2,Andre Iguodala,GSW,30,63,41,22,32.4,97.4,3.8,11.2,16.3,1.5,27.2,0.3,8.8,10.6,8.8,8.5,26.5,0.166
3,Lance Stephenson,IND,23,78,53,25,35.3,99.0,5.9,16.0,23.5,0.7,13.9,0.1,2.1,11.4,8.9,8.9,26.9,0.165
4,Joakim Noah,CHI,29,80,48,32,35.2,99.1,7.7,22.1,32.7,1.2,22.9,1.5,40.7,10.8,8.4,9.0,25.9,0.163
5,George Hill,IND,28,76,50,26,32.0,98.0,3.0,8.9,13.2,1.0,23.5,0.3,8.0,9.9,7.6,7.2,23.6,0.159
6,David West,IND,33,80,54,26,30.9,97.6,5.3,15.9,23.5,0.8,18.2,0.9,24.4,9.6,7.6,6.9,22.6,0.157
7,Roy Hibbert,IND,27,81,55,26,29.7,97.5,4.1,13.0,19.1,0.4,9.5,2.2,60.3,9.1,7.5,6.7,21.3,0.152
8,Klay Thompson,GSW,24,81,51,30,35.4,100.3,2.6,7.0,10.1,0.9,16.2,0.5,12.9,12.3,9.7,9.5,29.7,0.151
9,Mike Dunleavy,CHI,33,82,48,34,31.5,98.6,3.6,11.6,17.0,0.8,16.7,0.6,16.7,10.1,7.4,8.3,23.5,0.151
10,David Lee,GSW,31,69,42,27,33.2,99.4,6.7,19.3,27.7,0.7,12.6,0.4,12.0,11.8,8.1,9.6,27.2,0.150
11,Kirk Hinrich,CHI,33,73,45,28,29.0,97.6,2.2,7.7,11.4,1.1,24.9,0.4,11.8,9.3,6.5,7.4,20.3,0.149
12,Stephen Curry,GSW,26,78,50,28,36.5,101.0,3.7,9.7,14.2,1.6,27.1,0.2,4.9,12.9,9.9,9.7,30.5,0.148
13,Kemba Walker,CHA,24,73,38,35,35.8,100.9,3.7,9.9,14.7,1.2,25.8,0.4,11.9,9.4,8.9,7.0,27.8,0.146
14,Kawhi Leonard,SAS,23,66,54,12,29.1,98.1,5.1,16.7,24.0,1.7,35.6,0.8,22.2,9.9,7.2,7.9,24.4,0.145
15,Taj Gibson,CHI,29,82,48,34,28.7,98.1,4.4,14.7,22.2,0.5,12.1,1.4,40.4,9.6,7.0,7.0,22.2,0.142
16,Marcin Gortat,WAS,30,81,44,37,32.8,100.4,7.0,21.8,31.7,0.5,9.1,1.5,46.4,11.0,8.6,8.3,27.9,0.140
17,Trevor Ariza,WAS,28,77,41,36,35.4,102.1,4.9,14.2,21.2,1.6,26.1,0.3,7.4,12.3,9.4,9.2,31.4,0.134
18,Al Horford,ATL,28,29,16,13,33.0,101.1,6.1,18.9,27.7,0.9,15.3,1.5,47.8,10.2,8.8,6.7,29.2,0.133
19,Danny Green,SAS,27,68,54,14,24.3,96.5,3.0,11.7,16.9,1.0,23.8,0.9,30.5,7.7,6.8,6.2,20.5,0.133
20,John Wall,WAS,23,82,44,38,36.3,102.5,3.6,10.2,15.1,1.8,29.4,0.5,13.8,12.4,9.6,9.0,31.4,0.133
21,Chris Paul,LAC,29,62,44,18,35.0,101.9,3.7,10.1,15.4,2.5,36.8,0.1,1.7,11.4,9.8,7.5,31.7,0.133
22,Nene,WAS,31,53,30,23,29.4,99.7,4.3,15.5,22.1,1.2,22.8,0.9,31.3,9.7,6.7,7.0,23.8,0.132
23,Tiago Splitter,SAS,29,59,46,13,21.5,94.8,4.1,17.6,25.8,0.5,14.1,0.5,19.3,7.0,5.9,5.8,17.5,0.130
24,Kevin Durant,OKC,25,81,58,23,38.5,103.3,6.7,16.4,24.2,1.3,19.7,0.7,14.0,14.4,9.9,10.6,32.3,0.130
25,Eric Bledsoe,PHX,24,43,28,15,32.9,101.5,4.1,12.0,17.7,1.6,26.2,0.3,10.4,11.5,9.3,9.8,29.8,0.129
26,Danny Granger,LAC,31,41,31,10,20.7,94.5,2.5,11.4,16.3,0.3,9.8,0.4,18.5,7.3,4.9,5.8,15.4,0.126
27,Blake Griffin,LAC,25,80,56,24,35.8,103.1,7.1,19.1,29.2,1.2,17.4,0.6,17.7,11.3,10.0,7.8,33.6,0.122
28,Andrew Bogut,GSW,29,67,40,27,26.4,99.3,7.3,26.4,37.8,0.7,17.2,1.8,64.7,10.3,6.4,7.7,21.6,0.121
29,Bradley Beal,WAS,21,73,40,33,34.7,102.7,3.0,9.0,13.4,1.0,17.4,0.2,7.9,11.0,9.6,8.3,30.1,0.121
30,Chris Bosh,MIA,30,79,53,26,32.0,102.0,5.4,17.5,26.7,1.0,16.9,1.0,36.4,11.3,8.4,7.7,26.4,0.120
31,Al Jefferson,CHA,29,73,38,35,35.0,103.1,8.7,24.7,35.7,0.9,21.8,1.1,34.1,9.5,8.7,7.2,28.5,0.119
32,Serge Ibaka,OKC,24,81,59,22,32.9,102.5,6.0,17.1,25.3,0.5,8.5,2.7,57.5,12.3,8.5,9.0,27.8,0.119
33,C.J. Watson,IND,30,63,48,15,18.9,94.6,1.3,6.5,9.6,1.0,29.7,0.1,6.1,6.4,4.9,4.7,13.6,0.119
34,Carlos Boozer,CHI,32,76,43,33,28.2,100.8,6.5,23.9,34.9,0.7,16.1,0.3,11.1,9.2,6.7,7.9,22.1,0.118
35,Kyle Korver,ATL,33,71,37,34,33.9,103.0,3.7,11.1,16.6,1.0,16.3,0.3,12.0,11.4,9.1,9.0,29.7,0.117
36,Tony Parker,SAS,32,68,51,17,29.4,101.3,2.0,6.8,9.8,0.5,12.1,0.1,3.8,9.6,7.6,8.7,24.9,0.116
37,Dwyane Wade,MIA,32,54,36,18,32.9,103.0,3.4,10.6,16.5,1.5,22.6,0.5,16.0,12.0,9.7,8.4,27.3,0.116
38,Tim Duncan,SAS,38,74,56,18,29.2,101.5,7.6,25.5,36.7,0.6,13.6,1.9,53.3,10.1,7.6,8.4,24.8,0.113
39,Paul Millsap,ATL,29,74,36,38,33.5,103.3,6.4,19.3,28.7,1.7,28.4,1.1,37.0,11.9,8.8,8.8,29.2,0.113
40,DeMar DeRozan,TOR,24,79,45,34,38.2,104.6,3.7,9.9,15.2,1.1,21.0,0.4,10.2,12.8,10.5,9.3,34.4,0.111
41,Kyle Lowry,TOR,28,79,45,34,36.2,104.3,3.6,10.0,15.3,1.5,29.1,0.2,6.3,12.1,9.7,8.9,31.5,0.111
42,Luol Deng,CLE,29,63,29,34,35.1,103.8,4.2,11.7,17.6,1.0,19.6,0.1,5.5,10.9,8.5,8.3,26.3,0.111
43,Marc Gasol,MEM,29,59,40,19,33.4,103.3,5.8,18.5,27.2,1.0,19.0,1.3,45.0,10.6,8.1,9.2,26.8,0.110
44,Draymond Green,GSW,24,82,51,31,21.9,98.1,3.9,17.3,26.0,1.2,31.5,0.9,35.3,7.4,6.3,5.1,17.8,0.110
45,Zach Randolph,MEM,32,79,49,30,34.2,103.6,6.7,21.1,30.7,0.7,12.7,0.3,10.0,10.5,8.0,9.4,28.3,0.110
46,Reggie Jackson,OKC,24,80,57,23,28.5,101.6,3.4,11.3,16.8,1.1,21.4,0.1,3.2,9.7,7.2,7.1,22.7,0.110
47,D.J. Augustin,CHI,26,71,44,27,27.3,101.1,1.6,5.9,9.0,0.7,18.7,0.0,1.4,9.1,6.9,6.9,22.5,0.110
48,James Harden,HOU,24,73,48,25,38.0,104.9,3.9,9.4,14.4,1.6,26.4,0.4,8.8,14.1,11.7,10.8,34.2,0.108
49,Kevin Love,MIN,25,77,39,38,36.3,104.6,9.6,26.7,39.6,0.8,11.4,0.5,20.7,12.2,9.5,12.7,35.2,0.108
50,DeMarre Carroll,ATL,27,73,37,36,32.1,103.2,4.1,12.7,19.3,1.5,26.0,0.3,10.0,11.2,9.2,8.4,28.3,0.108
51,Harrison Barnes,GSW,22,78,48,30,28.3,101.9,3.1,10.8,15.7,0.8,19.6,0.3,9.5,10.1,7.0,7.9,24.0,0.108
52,Nikola Pekovic,MIN,28,54,27,27,30.8,102.9,4.9,16.3,22.9,0.6,9.8,0.4,27.1,10.5,7.3,10.5,28.7,0.108
53,Jeff Teague,ATL,26,79,37,42,32.2,103.4,2.2,6.9,10.4,1.1,19.2,0.2,7.9,10.9,8.7,8.4,28.1,0.107
54,Jeffery Taylor,CHA,25,26,12,14,24.2,100.2,1.7,7.5,11.2,0.5,12.6,0.2,8.1,8.3,6.2,5.6,18.9,0.107
