,PLAYER,TEAM,AGE,GP,W,L,MIN,DEF RTG,DREB,DREB%,%DREB,STL,STL%,BLK,%BLK,OPP PTS OFF TOV,OPP PTS 2ND CHANCE,OPP PTS FB,OPP PTS PAINT,DEF WS
0,Tim Duncan,SAS,28,69,51,18,36.6,90.1,9.2,24.7,36.3,0.9,15.7,2.7,49.3,10.7,8.5,7.3,25.9,0.226
1,Keon Clark,UTA,29,2,2,0,14.0,58.0,3.0,20.0,27.3,0.5,20.0,0.0,0.0,4.5,3.0,0.0,2.0,0.224
2,Ben Wallace,DET,29,81,54,27,37.8,93.2,8.4,22.2,35.3,1.8,27.4,3.0,51.1,11.5,9.8,8.2,26.9,0.198
3,Jason Kidd,NJN,31,67,41,26,36.8,93.9,5.1,14.3,21.8,1.8,26.0,0.2,6.3,10.9,8.2,8.4,24.7,0.188
4,Bruce Bowen,SAS,33,82,57,25,32.0,91.2,2.5,7.7,11.5,1.0,20.2,0.4,8.5,9.7,7.7,7.4,23.9,0.188
5,Metta World Peace,IND,24,73,54,19,37.2,94.1,3.9,11.2,17.0,2.1,28.7,0.7,17.9,10.4,8.6,8.5,27.9,0.185
6,Chauncey Billups,DET,27,78,51,27,35.5,93.8,3.1,8.7,13.7,1.1,18.5,0.1,1.9,10.6,9.3,7.4,25.9,0.179
7,Kenyon Martin,NJN,26,65,41,24,34.7,93.9,7.4,21.7,32.6,1.5,24.2,1.3,42.5,10.3,7.8,7.7,24.1,0.175
8,Richard Hamilton,DET,26,78,50,28,35.7,94.4,2.6,7.2,11.4,1.3,22.4,0.2,4.1,10.8,9.4,7.6,26.3,0.175
9,Tony Parker,SAS,22,75,54,21,34.4,94.1,2.6,7.6,11.3,0.8,14.7,0.1,1.9,10.0,8.5,7.2,26.1,0.171
10,Richard Jefferson,NJN,24,82,47,35,38.2,95.8,4.3,11.8,18.1,1.1,15.9,0.3,10.4,11.6,9.2,8.7,26.9,0.170
11,Tayshaun Prince,DET,24,82,54,28,32.9,93.7,3.6,11.0,17.1,0.8,14.2,0.8,16.5,10.1,8.7,7.1,23.7,0.168
12,Steve Francis,HOU,27,79,44,35,40.5,97.0,4.0,9.7,14.9,1.8,30.6,0.4,9.4,13.9,10.7,8.4,25.6,0.164
13,Kevin Garnett,MIN,28,82,58,24,39.5,96.7,10.9,26.5,40.8,1.5,25.3,2.2,44.8,10.3,10.4,8.6,28.4,0.163
14,Lindsey Hunter,DET,33,33,24,9,19.8,84.9,1.6,8.1,13.1,1.2,28.9,0.2,6.7,6.0,4.7,4.2,11.9,0.162
15,Hedo Turkoglu,SAS,25,80,56,24,26.0,90.2,3.8,14.5,21.5,1.0,23.6,0.4,11.5,6.9,6.1,5.3,18.5,0.162
16,Jermaine O'Neal,IND,25,78,57,21,35.8,95.5,7.5,22.1,33.5,0.8,11.5,2.6,62.2,10.3,8.5,8.7,26.6,0.161
17,Manu Ginobili,SAS,26,77,53,24,29.3,92.9,3.4,11.4,17.4,1.8,33.7,0.2,5.3,9.0,7.3,6.6,22.1,0.159
18,Jim Jackson,HOU,33,80,43,37,39.0,97.0,5.4,13.6,20.7,1.1,19.2,0.3,6.3,13.7,10.0,8.6,24.8,0.158
19,Rasho Nesterovic,SAS,28,82,57,25,28.8,92.4,4.6,15.8,23.3,0.6,14.2,2.0,48.2,8.9,6.8,6.6,21.8,0.158
20,Kerry Kittles,NJN,30,82,47,35,34.7,95.6,3.3,9.7,14.9,1.5,23.8,0.5,16.5,11.0,8.4,7.8,24.9,0.157
21,Anthony Carter,SAS,29,5,3,2,17.4,83.2,1.8,8.5,15.0,0.8,21.1,0.0,0.0,6.6,5.2,6.6,12.8,0.155
22,Reggie Miller,IND,38,80,59,21,28.3,92.8,2.1,7.8,11.8,0.8,15.5,0.1,4.5,7.9,6.5,6.5,21.6,0.154
23,Cuttino Mobley,HOU,28,80,44,36,40.4,97.9,4.0,9.9,15.0,1.3,24.3,0.4,9.0,14.5,10.2,8.6,26.2,0.151
24,Jamaal Tinsley,IND,26,52,40,12,26.5,92.8,2.1,8.2,12.1,1.6,30.1,0.3,11.6,7.8,6.2,5.7,19.5,0.146
25,Jason Collins,NJN,25,78,44,34,28.5,93.8,3.3,12.1,18.4,0.9,16.4,0.7,30.8,8.5,6.3,5.9,19.3,0.144
26,Latrell Sprewell,MIN,33,82,58,24,37.8,97.9,3.1,7.9,12.2,1.1,19.4,0.3,5.6,10.4,10.2,8.6,27.8,0.142
27,Jeff Foster,IND,27,82,61,21,23.8,91.6,4.4,19.4,28.4,0.9,19.0,0.3,13.3,6.8,5.3,5.5,18.0,0.140
28,Sam Cassell,MIN,34,81,57,24,35.2,97.3,2.8,7.7,11.8,1.3,24.8,0.2,5.2,9.1,9.2,8.4,25.5,0.139
29,Baron Davis,NOH,25,67,36,31,40.1,98.9,3.3,8.4,13.3,2.4,31.7,0.4,11.7,12.2,11.2,9.2,30.3,0.137
30,Vince Carter,TOR,27,73,33,40,38.2,98.5,3.5,9.2,15.0,1.2,20.8,0.9,22.1,10.5,11.5,8.5,30.3,0.136
31,Yao Ming,HOU,23,82,45,37,32.9,96.8,6.6,19.6,29.8,0.3,6.3,1.9,49.1,11.4,8.4,6.9,20.5,0.135
32,Shaquille O'Neal,LAL,32,67,49,18,36.8,98.4,7.8,20.3,31.1,0.5,8.6,2.5,61.0,10.8,9.5,7.8,27.9,0.132
33,Mehmet Okur,DET,25,71,48,23,22.4,91.4,3.7,16.9,26.2,0.5,12.7,0.9,29.4,6.3,5.6,4.9,15.6,0.131
34,Allen Iverson,PHI,29,48,19,29,42.6,100.6,3.0,6.9,11.4,2.4,31.5,0.1,2.6,13.8,12.2,11.2,33.7,0.125
35,Karl Malone,LAL,40,42,33,9,32.8,98.2,7.3,20.9,32.1,1.2,20.5,0.5,13.0,9.4,8.8,6.6,26.7,0.123
36,Dwyane Wade,MIA,22,61,34,27,35.0,98.9,2.7,7.8,12.1,1.4,26.1,0.6,18.8,11.7,8.8,7.8,25.0,0.121
37,Rasheed Wallace,DET,29,68,40,28,35.2,98.9,5.3,15.4,24.0,0.9,16.5,1.8,44.7,11.6,9.3,8.2,25.9,0.119
38,Kelvin Cato,HOU,29,69,40,29,25.3,95.0,4.6,17.8,27.2,0.8,20.9,1.4,44.0,8.7,6.4,5.6,15.8,0.118
39,Eddie Jones,MIA,32,81,42,39,37.0,99.6,3.3,9.5,14.4,1.1,20.2,0.4,15.2,11.7,8.9,7.3,25.3,0.118
40,Nene,DEN,21,77,40,37,32.6,98.3,4.5,14.2,22.8,1.5,23.3,0.5,13.2,11.0,8.6,9.4,29.7,0.117
41,P.J. Brown,NOH,34,80,40,40,34.5,99.0,5.7,16.6,25.9,1.0,16.6,0.9,30.2,11.2,9.3,7.8,27.0,0.117
42,Chris Bosh,TOR,20,75,29,46,33.6,98.8,4.9,15.2,24.1,0.8,16.2,1.4,37.5,10.0,9.1,7.7,26.3,0.117
43,Kobe Bryant,LAL,25,65,48,17,37.7,100.0,3.9,10.4,16.2,1.7,24.6,0.4,10.9,11.1,10.2,8.8,30.3,0.117
44,Lamar Odom,MIA,24,80,41,39,37.5,99.9,7.7,21.3,32.7,1.1,19.0,0.9,31.3,11.7,9.6,7.7,26.1,0.117
45,Wally Szczerbiak,MIN,27,28,19,9,22.3,93.3,2.3,9.2,14.2,0.4,14.8,0.0,1.7,6.6,6.4,5.1,15.9,0.116
46,Bo Outlaw,MEM,33,82,50,32,19.7,91.0,2.6,13.3,22.8,0.9,20.2,0.9,30.2,5.9,5.6,4.3,13.6,0.116
