,PLAYER,TEAM,AGE,GP,W,L,MIN,DEF RTG,DREB,DREB%,%DREB,STL,STL%,BLK,%BLK,OPP PTS OFF TOV,OPP PTS 2ND CHANCE,OPP PTS FB,OPP PTS PAINT,DEF WS
0,Draymond Green,GSW,27,76,62,14,32.5,100.9,6.6,18.3,27.3,2.0,29.4,1.4,30.3,10.8,9.4,8.8,29.2,0.158
1,Rudy Gobert,UTA,25,81,51,30,33.9,102.0,8.9,25.9,36.5,0.6,13.2,2.6,71.1,10.1,7.7,7.3,27.6,0.150
2,Kevin Durant,GSW,28,62,51,11,33.4,102.3,7.6,20.7,30.3,1.1,16.1,1.6,34.6,10.7,9.6,9.3,31.3,0.149
3,Klay Thompson,GSW,27,78,66,12,34.0,102.4,3.0,8.1,12.2,0.8,12.3,0.5,11.2,10.6,10.1,10.0,32.1,0.148
4,George Hill,UTA,31,49,33,16,31.5,101.3,2.9,9.5,12.9,1.0,23.8,0.2,7.1,8.5,6.3,6.9,24.7,0.148
5,Stephen Curry,GSW,29,79,65,14,33.4,102.7,3.7,10.1,15.0,1.8,24.1,0.2,4.5,11.4,9.5,10.1,31.1,0.145
6,Victor Oladipo,OKC,25,67,39,28,33.2,102.6,3.8,10.9,15.4,1.2,19.9,0.3,9.0,11.6,8.2,7.8,31.3,0.144
7,Joel Embiid,PHI,23,31,13,18,25.4,98.7,5.9,21.8,31.9,0.9,21.6,2.5,63.9,10.6,5.7,8.5,20.2,0.140
8,Anthony Davis,NOP,24,75,31,44,36.1,104.1,9.5,24.1,34.9,1.3,22.2,2.2,49.9,12.0,8.8,9.6,31.9,0.138
9,Paul Millsap,ATL,32,69,40,29,34.0,103.5,6.1,17.1,25.3,1.3,21.4,0.9,25.8,11.8,9.2,9.0,26.6,0.138
10,Jimmy Butler,CHI,27,76,40,36,37.0,104.7,4.5,11.8,17.0,1.9,30.6,0.4,10.7,11.2,9.2,10.6,34.2,0.135
11,Gordon Hayward,UTA,27,73,46,27,34.5,103.8,4.7,13.6,19.4,1.0,21.2,0.3,7.4,10.3,7.9,7.5,29.1,0.135
12,Justise Winslow,MIA,21,18,4,14,34.7,103.9,3.9,10.7,15.8,1.4,30.2,0.3,8.2,9.5,9.6,5.8,29.1,0.135
13,Chris Paul,LAC,32,61,43,18,31.5,102.8,4.3,13.2,18.8,2.0,36.8,0.1,5.0,9.2,7.2,8.5,25.9,0.132
14,Jrue Holiday,NOP,27,67,32,35,32.7,103.7,3.3,9.2,13.3,1.5,28.0,0.7,17.4,10.7,8.0,8.7,28.4,0.130
15,Robert Covington,PHI,26,67,27,40,31.6,104.1,5.1,15.8,23.1,1.9,32.0,1.0,26.7,11.5,8.4,10.1,28.7,0.123
16,Andrew Bogut,CLE,32,27,8,19,21.6,97.4,6.0,28.6,39.9,0.5,14.1,0.9,59.5,6.9,4.3,5.6,14.5,0.122
17,Andre Iguodala,GSW,33,76,64,12,26.3,101.7,3.3,11.4,18.0,1.0,19.2,0.5,13.0,8.7,7.9,7.4,24.5,0.121
18,Danny Green,SAS,30,68,51,17,26.6,101.7,2.8,10.4,15.1,1.0,25.0,0.8,23.7,7.6,7.1,6.8,21.9,0.120
19,LaMarcus Aldridge,SAS,31,72,52,20,32.4,104.4,4.9,15.3,22.0,0.6,12.5,1.2,31.1,8.9,8.5,8.8,27.5,0.119
20,James Johnson,MIA,30,76,40,36,27.4,102.8,4.1,14.5,21.0,1.0,22.4,1.1,31.4,8.2,6.6,5.2,24.3,0.118
21,Kawhi Leonard,SAS,26,74,54,20,33.4,105.1,4.7,14.3,20.6,1.8,32.6,0.7,18.2,9.5,8.6,8.8,28.4,0.117
22,Kyle Lowry,TOR,31,60,36,24,37.4,106.4,4.0,10.9,16.0,1.5,21.9,0.3,9.1,11.1,10.3,8.5,32.5,0.116
23,Solomon Hill,NOP,26,80,34,46,29.7,104.0,3.2,10.1,14.7,0.9,18.7,0.4,12.2,9.7,7.5,8.1,27.3,0.116
24,Patty Mills,SAS,28,80,60,20,21.9,100.1,1.5,6.5,9.6,0.8,21.3,0.0,1.5,6.6,5.4,6.1,19.0,0.115
25,Tyler Johnson,MIA,25,73,35,38,29.8,104.3,3.3,11.1,16.2,1.2,23.8,0.6,16.7,8.6,7.4,5.7,26.7,0.114
26,Russell Westbrook,OKC,28,81,46,35,34.6,106.1,9.0,25.1,35.2,1.6,27.0,0.4,10.3,12.2,9.0,8.1,34.1,0.114
27,Harrison Barnes,DAL,25,79,32,47,35.5,106.2,3.8,11.7,16.9,0.8,14.6,0.2,7.4,10.4,7.9,10.0,28.6,0.114
28,Jonathon Simmons,SAS,27,78,60,18,17.9,96.6,1.8,9.7,14.2,0.6,18.7,0.3,15.2,6.0,4.7,4.3,15.1,0.112
29,Rodney Hood,UTA,24,59,40,19,27.0,103.2,3.2,11.7,16.5,0.6,19.0,0.2,6.6,8.3,6.4,5.7,23.5,0.111
30,Andre Roberson,OKC,25,79,46,33,30.1,104.7,3.9,12.4,17.3,1.2,21.9,1.0,30.7,10.8,7.4,6.6,28.5,0.111
31,Derrick Favors,UTA,25,50,33,17,23.7,101.5,4.3,18.5,25.6,0.9,25.9,0.8,37.4,7.2,4.8,5.5,19.1,0.111
32,Blake Griffin,LAC,28,61,40,21,34.0,106.2,6.3,18.1,26.0,0.9,16.9,0.4,12.2,10.9,8.0,9.9,29.5,0.109
33,Steven Adams,OKC,23,80,47,33,29.9,104.9,4.2,13.6,18.9,1.1,21.2,1.0,30.4,10.3,7.3,6.6,28.1,0.108
34,Marcus Smart,BOS,23,79,51,28,30.4,105.3,2.9,9.2,14.1,1.6,33.0,0.4,18.9,9.7,8.4,7.7,26.8,0.108
35,Tim Hardaway Jr.,ATL,25,79,42,37,27.3,103.9,2.4,8.3,12.3,0.7,15.1,0.2,7.5,9.6,7.5,6.5,21.7,0.107
36,Rudy Gay,SAC,30,30,11,19,33.8,106.3,5.2,15.6,22.7,1.5,23.8,0.9,26.3,10.8,7.8,11.6,28.1,0.107
37,Cody Zeller,CHA,24,62,33,29,27.8,104.1,4.4,15.7,21.9,1.0,21.2,0.9,35.6,6.7,6.1,5.8,22.5,0.107
38,Mike Conley,MEM,29,69,35,34,33.2,106.2,3.0,9.5,14.0,1.3,25.5,0.3,10.2,9.4,8.0,9.9,26.2,0.107
39,Dwight Howard,ATL,31,74,37,37,29.7,105.0,8.7,27.8,40.4,0.9,17.2,1.2,41.3,11.4,8.3,8.1,23.1,0.106
40,Josh Richardson,MIA,23,53,23,30,30.5,105.3,2.5,8.2,12.2,1.1,24.3,0.7,19.6,8.5,8.1,5.7,27.6,0.106
41,DeAndre Jordan,LAC,28,81,51,30,31.7,105.8,10.1,30.5,43.7,0.6,12.1,1.7,58.8,9.9,8.2,9.8,26.7,0.106
42,Marc Gasol,MEM,32,74,40,34,34.2,106.7,5.5,16.7,24.2,0.9,16.6,1.3,45.2,9.9,7.8,9.9,26.0,0.104
43,Paul George,IND,27,75,39,36,35.9,107.2,5.8,16.1,23.6,1.6,24.9,0.4,9.1,12.2,9.5,7.1,29.4,0.104
44,Delon Wright,TOR,25,27,19,8,16.5,95.7,1.2,7.3,10.4,1.0,32.1,0.4,21.6,5.4,3.6,3.0,11.6,0.104
45,Dion Waiters,MIA,25,46,27,19,30.1,105.5,2.9,9.5,14.1,0.9,21.5,0.4,12.0,8.8,7.7,7.2,27.3,0.103
46,Khris Middleton,MIL,25,29,19,10,30.7,105.4,3.9,13.5,20.0,1.4,26.1,0.2,8.0,10.1,6.8,7.8,27.7,0.103
47,Jae Crowder,BOS,26,72,48,24,32.4,106.3,5.1,14.9,22.7,1.0,19.0,0.3,10.6,9.9,9.5,8.2,29.4,0.103
48,Nikola Mirotic,CHI,26,70,37,33,24.0,102.7,4.6,18.6,27.3,0.8,18.8,0.8,35.3,8.2,6.3,6.0,23.0,0.103
49,Marcus Morris Sr.,DET,27,79,36,43,32.5,106.3,3.7,11.6,15.8,0.7,14.1,0.3,12.8,8.5,7.0,6.9,28.5,0.103
50,Tony Parker,SAS,35,63,46,17,25.2,103.1,1.7,6.6,9.3,0.5,13.8,0.0,0.9,7.4,6.9,6.9,21.1,0.102
51,Tobias Harris,DET,24,82,37,45,31.3,106.1,4.3,14.0,19.1,0.7,16.1,0.5,18.0,8.5,6.7,7.2,26.7,0.102
52,Seth Curry,DAL,26,70,30,40,29.0,105.2,2.2,8.4,12.2,1.1,23.9,0.1,4.7,8.3,6.6,7.8,23.7,0.102
53,Ersan Ilyasova,ATL,30,82,35,47,26.1,104.3,4.5,16.3,24.8,0.7,16.0,0.3,9.8,9.5,7.5,7.8,23.1,0.101
54,Thaddeus Young,IND,29,74,40,34,30.2,105.8,4.3,13.8,20.5,1.5,28.1,0.4,10.8,10.0,8.4,6.0,25.9,0.101
55,Eric Gordon,HOU,28,75,50,25,31.0,106.1,2.3,6.8,10.5,0.6,12.2,0.5,18.6,10.8,9.4,9.2,30.9,0.101
56,David Lee,SAS,34,79,58,21,18.7,99.5,3.7,18.9,27.3,0.4,12.0,0.5,22.5,5.8,4.5,4.9,15.9,0.100
57,Dewayne Dedmon,SAS,27,76,55,21,17.5,98.0,4.8,26.6,38.3,0.5,16.4,0.8,35.9,5.7,4.2,4.2,13.2,0.100
58,Giannis Antetokounmpo,MIL,22,80,42,38,35.6,107.5,7.0,19.9,30.1,1.6,26.6,1.9,44.5,11.4,9.4,7.7,31.3,0.100
59,Hassan Whiteside,MIA,28,77,39,38,32.6,106.6,10.3,31.3,45.1,0.7,16.5,2.1,52.6,9.5,8.5,7.5,29.1,0.100
60,Manu Ginobili,SAS,39,69,51,18,18.7,100.3,1.9,9.9,14.5,1.2,34.6,0.2,11.7,6.0,4.8,5.4,16.5,0.100
61,Myles Turner,IND,21,81,42,39,31.4,106.4,5.6,17.2,25.7,0.9,16.4,2.1,57.5,11.1,8.7,6.4,26.2,0.099
62,Kemba Walker,CHA,27,79,36,43,34.7,107.4,3.3,9.5,13.4,1.1,21.5,0.3,7.7,8.6,8.5,9.1,28.5,0.098
63,Thabo Sefolosha,ATL,33,62,32,30,25.7,104.3,3.5,13.1,19.2,1.5,31.2,0.5,20.9,9.1,6.5,6.9,20.2,0.098
64,Patrick Patterson,TOR,28,65,42,23,24.6,103.6,3.6,14.3,21.2,0.6,13.8,0.4,15.4,7.2,7.0,5.2,20.5,0.098
65,Pau Gasol,SAS,36,64,47,17,25.4,104.0,6.2,24.5,35.2,0.4,9.8,1.1,36.1,7.5,7.0,7.3,22.1,0.098
66,Goran Dragic,MIA,31,73,40,33,33.7,107.3,3.0,8.7,13.0,1.2,25.1,0.2,4.5,10.1,9.6,7.7,31.6,0.097
67,Dwyane Wade,CHI,35,60,29,31,29.9,106.1,3.5,11.3,16.2,1.4,29.1,0.7,21.2,9.3,7.2,8.0,27.6,0.097
68,Dirk Nowitzki,DAL,39,54,23,31,26.4,105.0,6.1,23.8,33.6,0.6,16.9,0.7,33.3,7.6,6.1,8.5,22.3,0.097
69,Jon Leuer,DET,28,75,34,41,25.9,104.5,4.0,15.6,21.2,0.4,11.4,0.3,16.7,7.1,5.3,5.5,21.8,0.097
70,Patrick Beverley,HOU,28,67,46,21,30.7,106.3,4.4,14.4,21.0,1.5,27.3,0.4,14.0,10.6,8.3,8.8,31.1,0.097
71,Michael Kidd-Gilchrist,CHA,23,81,36,45,29.0,105.8,5.0,17.1,24.1,1.0,22.3,1.0,31.6,7.3,6.6,7.3,22.8,0.097
72,JaMychal Green,MEM,27,77,40,37,27.3,105.2,4.9,18.6,27.2,0.6,13.3,0.4,20.4,8.8,6.5,7.9,21.0,0.096
73,Tony Allen,MEM,35,71,36,35,27.0,105.1,3.2,12.3,18.1,1.6,32.1,0.4,18.8,7.5,6.5,8.3,20.9,0.096
