,PLAYER,TEAM,AGE,GP,W,L,MIN,DEF RTG,DREB,DREB%,%DREB,STL,STL%,BLK,%BLK,OPP PTS OFF TOV,OPP PTS 2ND CHANCE,OPP PTS FB,OPP PTS PAINT,DEF WS
0,Tim Duncan,SAS,25,82,58,24,38.7,94.0,9.0,22.1,33.1,0.9,14.8,2.3,40.8,11.5,9.2,9.1,25.7,0.194
1,Theo Ratliff,PHI,28,50,36,14,36.0,94.2,5.8,15.4,24.0,0.6,9.4,3.7,72.8,12.3,9.7,10.1,27.3,0.180
2,Allen Iverson,PHI,26,71,50,21,41.9,96.5,3.1,7.3,11.3,2.5,33.3,0.3,6.2,13.5,11.2,12.2,32.8,0.179
3,Shawn Marion,PHX,23,79,50,29,36.2,94.5,7.9,22.5,34.0,1.7,22.8,1.4,34.6,11.9,9.4,9.1,26.9,0.176
4,Derek Anderson,SAS,26,82,58,24,34.9,94.3,3.5,9.6,14.3,1.5,28.9,0.2,3.3,10.5,8.1,8.3,23.2,0.173
5,David Robinson,SAS,35,80,57,23,29.6,91.7,6.0,19.4,28.8,1.0,22.8,2.5,53.2,9.0,6.5,7.0,18.3,0.172
6,Eric Snow,PHI,28,50,34,16,34.9,94.4,2.8,8.0,12.2,1.5,24.3,0.1,3.9,11.1,8.6,8.9,25.0,0.171
7,Jason Kidd,PHX,28,77,50,27,39.8,96.3,5.2,13.4,20.4,2.2,27.5,0.3,6.8,12.9,10.4,10.6,30.1,0.171
8,Baron Davis,CHH,22,82,46,36,38.9,96.5,3.4,8.8,13.3,2.1,30.9,0.4,10.4,11.8,10.3,7.7,28.3,0.164
9,Jamal Mashburn,CHH,28,76,42,34,39.4,97.0,6.4,16.3,24.3,1.1,17.0,0.2,3.9,12.0,10.3,8.4,28.6,0.162
10,David Wingate,SEA,37,1,1,0,9.0,55.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.161
11,Chris Webber,SAC,28,70,48,22,40.5,97.4,8.5,19.8,31.0,1.3,16.4,1.7,37.3,13.4,11.3,11.9,33.1,0.161
12,Latrell Sprewell,NYK,30,77,45,32,39.1,96.9,3.9,10.2,15.7,1.4,25.1,0.4,10.8,12.1,8.7,5.8,25.3,0.161
13,Anthony Mason,MIA,34,80,49,31,40.7,97.4,7.5,19.7,30.2,1.0,15.8,0.3,10.7,12.1,9.9,8.0,29.9,0.160
14,Clifford Robinson,PHX,34,82,51,31,33.6,95.6,2.8,8.5,12.9,1.1,16.4,1.0,25.5,11.3,8.7,9.3,25.5,0.151
15,Eddie Jones,MIA,29,63,40,23,36.1,96.8,3.4,10.1,15.9,1.7,29.6,0.9,28.9,11.1,9.1,7.1,26.9,0.150
16,Allan Houston,NYK,30,78,45,33,36.6,97.0,3.4,9.5,14.4,0.7,13.6,0.1,4.0,11.0,8.3,5.6,23.7,0.150
17,Dikembe Mutombo,PHI,35,75,33,42,34.6,95.9,9.4,26.7,40.0,0.4,7.5,2.7,71.5,13.0,8.3,9.3,22.3,0.149
18,George Lynch,PHI,30,82,56,26,32.3,95.6,4.8,14.6,22.5,1.2,21.1,0.4,10.9,11.0,8.3,9.3,24.4,0.148
19,David Wesley,CHH,30,82,46,36,37.9,97.7,2.0,5.2,7.8,1.6,23.5,0.2,4.7,12.4,9.9,8.3,28.0,0.147
20,P.J. Brown,CHH,31,80,46,34,35.1,96.7,6.1,17.6,26.3,1.0,16.4,1.2,28.3,10.7,9.0,7.5,25.4,0.146
21,Aaron McKie,PHI,28,76,51,25,31.5,95.5,3.7,11.5,17.7,1.4,25.1,0.1,3.4,10.5,7.7,8.5,23.2,0.145
22,Bruce Bowen,MIA,30,82,50,32,32.8,96.0,2.4,7.9,12.2,1.0,20.2,0.6,25.0,9.4,8.5,6.5,24.5,0.144
23,Brian Grant,MIA,29,82,50,32,33.8,96.6,6.1,19.0,29.3,0.7,13.6,0.9,31.8,9.8,8.2,6.8,24.7,0.141
24,Tim Hardaway,MIA,34,77,46,31,33.9,96.8,2.3,7.2,11.1,1.2,22.6,0.1,3.0,9.6,8.4,6.4,24.7,0.140
25,Glen Rice,NYK,34,75,43,32,29.5,95.2,3.3,11.8,17.9,0.5,14.2,0.2,6.9,9.7,5.9,4.1,17.7,0.136
26,Kurt Thomas,NYK,28,77,45,32,27.6,94.9,4.5,16.8,25.8,0.8,20.0,0.9,36.7,8.3,5.6,4.5,17.3,0.133
27,Sean Elliott,SAS,33,52,35,17,23.6,92.4,2.9,11.6,17.8,0.4,12.6,0.5,12.8,7.2,6.1,5.6,16.7,0.132
28,Dirk Nowitzki,DAL,23,82,53,29,38.1,98.9,7.7,19.8,31.1,1.0,15.3,1.2,25.8,11.8,11.1,10.3,32.5,0.132
29,Elden Campbell,CHH,32,78,46,32,30.0,96.0,5.8,19.5,29.1,0.8,15.0,1.8,55.3,9.3,7.8,6.3,21.7,0.132
30,Doug Christie,SAC,31,81,54,27,36.3,98.5,3.2,8.4,13.1,2.3,30.7,0.6,13.9,11.8,10.0,10.8,29.6,0.131
31,Rasheed Wallace,POR,26,77,48,29,38.2,99.0,5.9,15.8,24.5,1.2,18.0,1.8,42.6,11.9,10.0,8.3,28.7,0.131
32,Marcus Camby,NYK,27,63,38,25,33.8,97.7,8.4,25.6,38.7,1.0,23.1,2.2,63.8,11.0,8.0,5.0,21.5,0.131
33,Peja Stojakovic,SAC,24,75,50,25,38.7,99.2,4.5,11.1,17.4,1.2,16.0,0.2,4.3,12.5,10.8,11.3,32.2,0.131
34,Tracy McGrady,ORL,22,77,39,38,40.2,99.8,5.0,12.4,20.3,1.5,21.1,1.5,30.4,12.2,12.2,10.5,30.8,0.128
35,Tyrone Hill,PHI,33,76,51,25,31.1,96.8,5.9,19.0,28.7,0.5,9.7,0.4,10.9,10.2,8.1,8.7,24.2,0.127
36,Larry Johnson,NYK,32,65,38,27,32.4,97.4,4.2,13.8,20.8,0.6,13.7,0.4,17.5,10.1,7.3,4.7,21.3,0.127
37,Shawn Bradley,DAL,29,82,53,29,24.4,93.6,5.5,20.6,32.1,0.4,12.1,2.8,72.6,6.9,7.2,5.7,16.9,0.124
38,Michael Finley,DAL,28,82,53,29,42.0,100.7,3.9,9.0,14.2,1.4,21.6,0.4,7.4,13.3,12.4,11.4,35.6,0.121
39,Ben Wallace,DET,26,80,32,48,34.5,98.7,9.4,25.7,40.1,1.3,24.6,2.3,55.0,10.9,9.2,10.0,24.7,0.120
40,Chris Mills,GSW,31,15,5,10,32.9,98.5,4.6,13.3,20.1,0.6,11.7,0.3,8.3,11.1,9.5,8.8,29.1,0.120
41,Anthony Carter,MIA,26,72,43,29,22.7,93.5,1.9,8.4,13.0,1.0,26.4,0.1,7.6,7.0,5.9,4.6,16.6,0.120
42,Jerry Stackhouse,DET,26,80,31,49,40.1,100.4,2.7,6.3,10.1,1.2,19.6,0.7,14.3,13.4,11.5,11.6,29.3,0.119
43,Scot Pollard,SAC,26,77,52,25,21.6,92.2,3.8,16.5,26.5,0.6,14.5,1.3,49.0,6.5,5.5,5.0,14.2,0.118
44,Terry Porter,SAS,38,80,57,23,21.0,92.3,2.2,10.0,14.9,0.7,20.3,0.1,4.6,6.0,4.9,4.9,13.5,0.117
45,Jalen Rose,IND,28,72,36,36,40.9,100.7,4.5,10.6,16.9,0.9,15.9,0.6,11.4,12.7,11.4,10.6,29.8,0.117
46,Arvydas Sabonis,POR,36,61,37,24,21.2,92.6,4.6,21.4,32.1,0.7,17.5,1.0,44.3,6.1,5.2,4.6,14.7,0.117
47,Vince Carter,TOR,24,75,45,30,39.7,100.5,3.2,8.1,12.7,1.5,24.7,1.1,20.3,11.4,10.6,13.5,31.3,0.117
48,Mario Elie,PHX,37,68,44,24,22.2,93.2,1.7,8.1,11.9,0.9,20.4,0.2,6.6,7.2,5.2,5.8,16.4,0.116
49,Damon Stoudamire,POR,27,82,50,32,32.4,98.6,2.9,8.9,13.6,1.3,23.8,0.1,2.7,10.2,8.4,7.3,24.8,0.116
50,Derek Fisher,LAL,26,20,15,5,35.5,99.6,2.7,8.0,11.5,2.0,31.0,0.1,2.7,10.8,7.6,8.8,21.0,0.115
51,Travis Best,IND,28,77,38,39,31.9,98.5,2.4,7.4,11.7,1.4,31.3,0.1,4.0,9.5,8.7,7.9,21.5,0.115
52,Danny Ferry,SAS,34,80,58,22,21.1,93.1,2.1,9.5,14.3,0.4,11.5,0.3,9.3,6.8,5.0,5.3,14.2,0.113
53,Dan Majerle,MIA,35,53,35,18,24.6,95.7,2.8,11.9,18.1,1.0,24.9,0.3,18.3,7.1,5.4,5.5,18.2,0.112
54,Jermaine O'Neal,IND,22,81,40,41,32.6,98.9,6.7,19.8,31.1,0.6,14.4,2.8,63.0,9.8,9.1,8.0,22.3,0.112
55,Zydrunas Ilgauskas,CLE,26,24,15,9,25.6,95.8,4.0,15.1,23.4,0.6,15.5,1.5,45.1,10.6,6.5,7.0,16.8,0.111
56,Tony Delk,PHX,27,82,51,31,27.9,97.5,2.3,8.2,12.9,0.9,16.6,0.2,7.5,9.8,7.9,7.6,21.5,0.111
57,John Stockton,UTA,39,82,53,29,29.2,98.1,2.1,7.7,11.8,1.6,30.3,0.3,7.7,8.9,7.6,6.3,20.3,0.111
58,Roshown McLeod,PHI,25,35,12,23,26.2,96.6,2.3,9.0,13.8,0.7,16.7,0.2,10.0,9.0,5.6,6.1,17.5,0.110
59,Antonio Davis,TOR,32,78,46,32,35.0,99.9,6.6,19.0,29.5,0.3,5.8,1.9,44.8,9.7,9.5,12.2,28.4,0.110
60,Chris Childs,TOR,33,77,47,30,24.1,95.0,2.3,9.7,15.2,0.8,21.1,0.2,7.1,7.8,5.8,4.1,14.7,0.110
61,Kevin Garnett,MIN,25,81,47,34,39.5,101.0,8.7,22.3,35.4,1.4,19.8,1.8,38.0,12.3,11.0,9.6,33.3,0.109
62,Rodney Rogers,PHX,30,82,51,31,26.6,97.0,3.2,12.6,19.6,1.2,22.6,0.6,22.8,9.6,7.0,7.5,20.1,0.109
63,Avery Johnson,SAS,36,55,40,15,23.4,95.2,1.2,4.8,7.5,0.6,19.0,0.1,2.0,7.1,6.1,5.6,17.3,0.109
64,A.C. Green,MIA,37,82,50,32,17.2,90.4,2.5,15.1,23.6,0.4,13.1,0.1,9.0,5.0,4.3,3.7,12.9,0.108
65,Alonzo Mourning,MIA,31,13,8,5,23.5,95.7,5.1,20.6,32.4,0.3,9.5,2.4,83.8,6.5,6.5,6.7,14.8,0.108
66,Darrell Armstrong,ORL,33,75,40,35,37.0,100.7,3.3,9.0,14.6,1.8,28.1,0.2,3.8,11.7,11.1,9.6,28.2,0.106
67,Charlie Ward,NYK,30,61,35,26,24.5,96.5,2.1,8.9,13.4,1.1,31.0,0.2,7.8,7.5,5.4,3.3,15.7,0.106
68,Wally Szczerbiak,MIN,24,82,47,35,34.8,100.3,3.8,11.0,17.1,0.7,11.9,0.4,9.8,10.5,9.4,8.9,29.9,0.105
69,Kendall Gill,NJN,33,31,9,22,28.7,98.5,3.2,11.4,18.0,1.5,27.0,0.2,7.6,9.6,8.1,9.0,23.9,0.105
70,Charles Oakley,TOR,37,78,45,33,35.5,100.5,7.7,21.9,33.4,1.0,17.9,0.6,14.0,10.1,9.3,11.7,27.5,0.104
71,Bobby Jackson,SAC,28,79,54,25,20.9,93.8,2.2,10.0,16.0,1.1,26.3,0.1,4.2,6.7,5.4,5.2,15.5,0.104
72,Kobe Bryant,LAL,22,68,45,23,41.0,101.9,4.3,10.3,16.1,1.7,28.3,0.6,12.6,12.4,11.3,10.3,32.3,0.103
73,Tom Gugliotta,PHX,31,57,36,21,20.4,94.1,3.1,15.8,24.0,0.8,20.3,0.4,17.5,5.7,4.8,5.2,15.3,0.103
74,Reggie Miller,IND,35,81,41,40,39.3,101.7,3.0,7.7,12.2,1.0,18.1,0.2,3.9,11.8,11.2,10.5,28.7,0.101
75,Corliss Williamson,DET,27,69,32,37,24.4,96.6,3.1,11.8,18.1,0.7,19.9,0.3,10.6,7.6,6.8,8.0,19.1,0.101
76,Danny Fortson,GSW,25,6,1,5,33.8,100.9,11.5,32.9,49.3,0.3,5.4,0.0,0.0,17.5,8.8,11.8,35.7,0.100
77,Anfernee Hardaway,PHX,29,4,2,2,27.6,98.6,3.3,11.8,18.8,1.5,20.7,0.3,7.1,8.0,8.8,11.8,24.5,0.099
78,Donyell Marshall,UTA,28,81,52,29,28.7,99.1,4.9,17.8,26.9,1.0,20.9,1.0,28.5,9.8,7.5,6.7,19.0,0.099
79,Jason Hart,MIL,23,1,0,1,9.9,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,7.0,6.0,0.098
80,Vlade Divac,SAC,33,81,55,26,29.8,99.5,5.8,18.5,28.3,1.1,18.3,1.1,37.3,10.0,8.2,9.2,24.8,0.098
81,Grant Hill,ORL,28,4,1,3,33.1,100.7,4.3,12.6,22.7,1.3,22.7,0.5,7.1,10.8,12.0,9.3,30.5,0.098
82,Scottie Pippen,POR,35,64,37,27,33.3,100.6,4.1,12.7,19.9,1.5,25.3,0.5,14.7,10.4,9.2,7.3,25.4,0.097
83,Mark Jackson,NYK,36,83,45,38,31.1,100.3,2.9,9.4,14.4,1.0,23.6,0.1,2.7,9.6,8.0,10.0,23.1,0.097
84,Steve Nash,DAL,27,70,48,22,34.1,100.9,2.5,7.1,11.2,1.0,19.0,0.1,1.6,10.7,10.8,9.4,29.5,0.097
85,Matt Maloney,ATL,29,55,20,35,25.5,97.5,1.9,7.2,11.2,1.0,29.3,0.1,3.8,9.1,6.4,6.8,17.9,0.097
86,Malik Rose,SAS,26,57,40,17,21.4,95.9,3.7,16.4,26.4,1.0,34.5,0.7,23.7,7.0,6.4,6.0,16.4,0.095
87,Steven Smith,POR,32,81,49,32,31.4,100.2,2.3,7.5,11.9,0.6,11.9,0.3,9.0,9.8,8.4,7.5,24.0,0.095
88,Mike Miller,ORL,21,82,43,39,29.1,99.7,3.2,10.8,17.5,0.6,12.3,0.2,6.7,9.1,8.7,7.9,21.7,0.094
89,Jamal Robinson,MIA,27,6,2,4,11.9,86.3,1.3,13.6,19.5,1.0,35.3,0.0,0.0,3.0,3.8,2.0,10.0,0.094
90,Karl Malone,UTA,37,81,52,29,35.7,101.6,6.9,21.0,32.0,1.1,18.7,0.8,19.7,11.4,9.1,7.9,25.1,0.093
91,Bo Outlaw,ORL,30,80,41,39,31.7,100.6,5.1,16.0,26.6,1.3,24.0,1.7,42.3,11.0,10.3,8.3,24.6,0.092
92,Steve Francis,HOU,24,80,45,35,39.9,102.5,4.5,11.5,17.8,1.8,28.5,0.4,10.9,13.4,11.5,10.1,31.5,0.092
93,Cuttino Mobley,HOU,25,79,44,35,38.1,102.1,4.0,10.4,16.4,1.1,19.0,0.3,9.5,12.1,11.2,8.8,30.3,0.092
