,PLAYER,TEAM,AGE,GP,W,L,MIN,DEF RTG,DREB,DREB%,%DREB,STL,STL%,BLK,%BLK,OPP PTS OFF TOV,OPP PTS 2ND CHANCE,OPP PTS FB,OPP PTS PAINT,DEF WS
0,Giannis Antetokounmpo,MIL,25,63,51,12,30.4,97.4,11.4,30.7,40.9,1.0,20.7,1.0,25.0,9.2,6.6,7.7,22.9,0.195
1,Justise Winslow,MEM,24,11,7,4,32.0,99.9,5.2,15.4,21.4,0.6,11.9,0.5,13.5,12.2,7.7,9.6,27.6,0.181
2,Pascal Siakam,TOR,26,60,46,14,35.2,103.0,6.3,16.2,23.6,1.0,15.1,0.9,26.5,11.1,9.0,8.5,30.5,0.164
3,Khris Middleton,MIL,28,62,46,16,29.9,100.9,5.5,15.7,20.8,0.9,18.1,0.1,3.1,9.5,6.4,8.2,22.0,0.159
4,Kyle Lowry,TOR,34,58,41,17,36.2,104.0,4.5,11.5,16.8,1.4,20.8,0.4,12.7,12.1,9.6,9.6,31.5,0.159
5,Jayson Tatum,BOS,22,66,46,20,34.3,103.5,6.0,16.5,23.8,1.4,23.0,0.9,20.9,9.9,9.1,9.2,29.9,0.156
6,Cameron Payne,PHX,25,8,8,0,22.9,96.5,3.4,13.1,17.9,1.0,28.6,0.3,14.3,7.6,5.0,6.3,20.5,0.155
7,Marc Gasol,TOR,35,44,35,9,26.4,98.9,5.5,18.7,27.4,0.8,14.8,0.9,32.2,8.2,6.8,6.6,21.7,0.155
8,LeBron James,LAL,35,67,50,17,34.6,103.6,6.9,19.1,26.9,1.2,19.1,0.5,10.6,12.2,8.1,11.6,32.1,0.154
9,Fred VanVleet,TOR,26,54,40,14,35.7,104.3,3.4,8.8,13.0,1.9,28.9,0.3,8.9,12.0,9.9,9.3,29.7,0.152
10,Joel Embiid,PHI,26,51,32,19,29.5,102.0,8.9,27.9,39.0,0.9,18.8,1.3,40.1,9.8,6.9,8.0,26.0,0.150
11,Wesley Matthews,MIL,33,67,52,15,24.4,98.3,2.1,7.3,9.6,0.6,14.7,0.1,4.9,7.5,5.3,7.0,19.1,0.149
12,Brook Lopez,MIL,32,68,53,15,26.7,100.1,3.7,11.8,15.5,0.7,16.7,2.4,62.0,8.4,5.8,7.0,21.3,0.148
13,Eric Bledsoe,MIL,30,61,48,13,27.0,100.8,3.9,12.1,16.2,0.9,24.2,0.4,11.6,8.8,6.1,7.1,22.3,0.147
14,Dennis Schroder,OKC,26,65,40,25,30.8,103.0,3.3,9.9,15.0,0.7,14.4,0.2,6.0,10.4,8.2,6.7,30.3,0.146
15,Marcus Smart,BOS,26,60,39,21,32.0,104.6,3.1,8.9,13.0,1.7,27.7,0.5,13.3,9.8,8.9,8.4,27.7,0.136
16,Gordon Hayward,BOS,30,52,34,18,33.5,105.4,5.6,15.9,23.1,0.7,12.5,0.4,11.1,10.1,9.8,9.0,31.0,0.135
17,Kawhi Leonard,LAC,29,57,41,16,32.4,104.7,6.1,17.5,24.4,1.8,36.3,0.6,18.5,10.0,7.4,9.0,27.8,0.132
18,Donte DiVincenzo,MIL,23,66,53,13,23.0,99.6,3.8,14.0,19.2,1.3,33.1,0.3,10.9,8.3,5.5,7.3,19.7,0.132
19,OG Anunoby,TOR,22,69,50,19,29.9,104.2,4.1,12.9,18.7,1.4,23.8,0.7,24.6,10.1,8.4,7.9,26.5,0.130
