,PLAYER,TEAM,AGE,GP,W,L,MIN,DEF RTG,DREB,DREB%,%DREB,STL,STL%,BLK,%BLK,OPP PTS OFF TOV,OPP PTS 2ND CHANCE,OPP PTS FB,OPP PTS PAINT,DEF WS
0,Draymond Green,GSW,25,79,64,15,31.5,97.3,6.7,19.5,29.0,1.6,24.2,1.3,29.6,9.7,9.2,8.4,26.7,0.156
1,Khris Middleton,MIL,23,79,40,39,30.1,96.7,3.8,12.3,18.8,1.5,24.4,0.1,4.5,9.4,7.7,6.4,23.4,0.155
2,John Wall,WAS,24,79,45,34,35.9,99.6,4.2,11.1,16.3,1.7,29.1,0.6,17.2,11.4,9.3,8.8,28.7,0.153
3,Stephen Curry,GSW,27,80,67,13,32.7,98.5,3.6,10.0,14.9,2.0,30.8,0.2,4.7,10.3,9.4,9.0,28.1,0.151
4,Wesley Matthews,POR,28,60,41,19,33.7,99.3,3.1,8.5,12.4,1.3,26.5,0.2,5.1,10.3,9.3,8.6,29.5,0.148
5,Kawhi Leonard,SAS,24,64,46,18,31.8,98.3,5.9,18.1,26.3,2.3,39.4,0.8,18.4,8.4,7.3,9.0,27.8,0.148
6,Michael Carter-Williams,MIL,23,66,21,45,32.6,99.0,4.4,13.4,20.1,1.7,24.3,0.5,11.9,12.5,8.6,9.0,27.0,0.145
7,Dwight Howard,HOU,29,41,29,12,29.8,97.5,7.8,25.9,39.3,0.7,11.3,1.3,41.4,12.7,7.5,9.7,25.6,0.145
8,Michael Kidd-Gilchrist,CHA,21,55,27,28,28.9,97.4,5.6,19.1,26.0,0.5,14.3,0.7,20.7,7.5,6.4,5.9,22.3,0.143
9,Klay Thompson,GSW,25,77,64,13,31.9,98.9,2.9,8.2,12.2,1.1,18.3,0.8,18.9,10.0,9.1,8.9,27.0,0.141
10,Tony Allen,MEM,33,63,46,17,26.2,96.1,2.8,10.6,15.7,2.0,37.8,0.5,18.5,7.4,6.0,6.8,20.8,0.141
11,Kyle Korver,ATL,34,75,58,17,32.2,99.3,3.9,11.7,17.9,0.7,11.3,0.6,17.8,10.3,9.3,7.1,27.0,0.140
