,PLAYER,TEAM,AGE,GP,W,L,MIN,DEF RTG,DREB,DREB%,%DREB,STL,STL%,BLK,%BLK,OPP PTS OFF TOV,OPP PTS 2ND CHANCE,OPP PTS FB,OPP PTS PAINT,DEF WS
0,LeBron James,CLE,24,81,66,15,37.7,99.4,6.3,16.8,25.3,1.7,27.4,1.1,26.4,10.4,9.2,9.3,29.0,0.186
1,Delonte West,CLE,25,64,52,12,33.6,97.9,2.7,8.0,12.0,1.5,25.8,0.2,4.9,9.7,8.2,8.1,25.7,0.181
2,Hedo Turkoglu,ORL,30,77,56,21,36.6,99.5,4.7,12.5,18.9,0.8,15.8,0.2,5.9,11.0,9.8,8.2,26.8,0.179
3,Kevin Garnett,BOS,33,57,44,13,31.1,97.3,7.1,22.8,33.3,1.1,20.2,1.2,35.2,11.1,7.1,6.4,22.4,0.174
4,Rashard Lewis,ORL,29,79,58,21,36.2,100.2,4.6,12.3,18.3,1.0,18.5,0.6,15.9,11.5,9.5,8.4,26.9,0.171
5,Ray Allen,BOS,33,79,59,20,36.4,100.5,2.7,7.5,11.1,0.9,15.6,0.2,4.4,13.4,8.2,8.2,27.6,0.166
6,Dwight Howard,ORL,23,79,57,22,35.7,100.3,9.6,26.2,38.8,1.0,18.8,2.9,70.9,11.5,9.2,7.8,26.2,0.165
7,Paul Pierce,BOS,31,81,61,20,37.5,101.1,5.0,13.7,20.1,1.0,17.7,0.3,9.1,13.1,7.9,8.3,28.5,0.165
8,Mo Williams,CLE,26,81,66,15,35.0,100.3,2.9,8.5,12.6,0.9,16.5,0.1,2.8,9.8,8.7,9.1,27.0,0.161
9,Jameer Nelson,ORL,27,42,32,10,31.2,98.8,3.0,9.1,13.5,1.2,25.1,0.1,1.9,9.6,8.6,6.2,22.2,0.161
10,Metta World Peace,HOU,29,69,47,22,35.5,100.8,4.3,12.0,17.7,1.5,29.8,0.3,11.0,11.1,8.6,8.4,27.2,0.159
11,Andrew Bogut,MIL,24,36,19,17,31.2,98.6,7.0,23.7,35.5,0.6,14.6,1.0,45.1,11.1,8.0,6.7,22.3,0.157
12,Yao Ming,HOU,28,77,50,27,33.6,100.1,7.2,21.0,30.8,0.4,8.6,1.9,59.3,10.7,8.0,7.8,24.8,0.157
13,Gerald Wallace,CHA,26,71,32,39,37.6,102.5,6.2,17.6,27.0,1.7,28.9,0.9,25.2,12.4,10.1,7.8,28.8,0.151
14,Lamar Odom,LAL,29,78,61,17,29.7,99.1,5.9,19.4,29.9,1.0,17.5,1.3,40.8,8.1,7.8,6.0,23.4,0.150
15,Elton Brand,PHI,30,29,13,16,31.7,100.4,6.1,19.7,28.5,0.6,12.3,1.6,40.9,11.6,8.4,8.3,25.2,0.148
16,Rajon Rondo,BOS,23,80,62,18,33.0,101.1,4.0,12.3,18.2,1.9,36.4,0.1,3.9,11.5,7.2,7.3,25.5,0.147
17,Shane Battier,HOU,30,60,40,20,33.9,101.4,3.9,11.1,16.4,0.8,18.7,0.9,25.4,10.7,8.5,7.3,25.2,0.146
18,Ben Wallace,CLE,34,56,45,11,23.5,95.7,4.0,17.8,26.3,0.9,20.9,1.3,43.1,6.5,5.9,5.9,17.4,0.143
19,Zydrunas Ilgauskas,CLE,34,65,55,10,27.2,98.2,5.1,19.0,27.7,0.4,10.2,1.3,40.8,7.6,6.2,6.9,20.1,0.143
20,Raymond Felton,CHA,25,82,35,47,37.6,103.3,3.1,9.0,13.8,1.5,27.9,0.4,9.3,12.6,10.2,8.0,29.5,0.141
21,Andre Iguodala,PHI,25,82,41,41,39.9,104.2,4.6,12.3,19.2,1.6,24.2,0.4,10.3,13.0,10.7,8.6,31.9,0.137
22,Thaddeus Young,PHI,21,75,39,36,34.4,102.6,3.2,9.8,15.3,1.3,22.0,0.3,8.4,11.0,9.1,7.3,28.1,0.137
23,Tracy McGrady,HOU,30,35,20,15,33.8,102.4,3.8,11.3,17.0,1.2,25.5,0.4,16.1,10.9,9.0,9.1,27.9,0.136
24,Allen Iverson,DET,34,57,25,32,36.7,103.6,2.5,7.2,10.9,1.5,32.2,0.1,3.0,10.2,9.7,7.5,28.8,0.136
25,Pau Gasol,LAL,28,81,64,17,37.0,103.7,6.4,17.2,26.7,0.6,10.1,1.0,27.0,11.2,10.2,9.0,32.8,0.134
26,Kobe Bryant,LAL,30,82,65,17,36.1,103.4,4.1,11.2,17.2,1.5,24.0,0.5,11.7,10.5,9.6,8.2,31.1,0.133
27,Anderson Varejao,CLE,26,81,65,16,28.5,100.4,5.1,18.5,28.1,0.9,20.9,0.8,27.6,8.1,6.7,7.4,23.2,0.132
28,Chris Paul,NOH,24,78,47,31,38.5,104.6,4.7,12.8,19.0,2.8,47.3,0.1,3.9,10.4,9.4,8.4,28.4,0.130
29,Rafer Alston,ORL,32,77,48,29,31.8,102.3,2.5,7.8,11.6,1.4,30.0,0.1,4.3,10.0,7.9,8.5,25.8,0.128
30,Luis Scola,HOU,29,82,53,29,30.3,102.0,6.3,20.9,31.0,0.8,19.7,0.1,4.8,9.9,7.8,7.5,25.2,0.127
31,Emeka Okafor,CHA,26,82,35,47,32.8,103.0,6.7,21.9,33.7,0.6,12.3,1.7,48.7,10.7,8.9,7.1,26.0,0.126
32,Boris Diaw,CHA,27,81,41,40,34.0,103.6,3.9,12.0,18.6,0.8,15.7,0.7,17.0,11.9,9.2,7.5,27.7,0.125
33,Tim Duncan,SAS,33,75,49,26,33.7,103.6,8.0,24.9,35.4,0.5,13.8,1.7,58.9,9.3,7.5,7.9,25.9,0.123
34,Roger Mason Jr.,SAS,28,82,54,28,30.4,102.4,2.9,9.9,14.3,0.5,13.5,0.1,5.8,8.8,7.1,7.7,24.0,0.123
35,LaMarcus Aldridge,POR,23,81,54,27,37.1,104.7,4.6,13.9,20.8,1.0,18.5,1.0,25.2,10.0,9.1,8.0,29.2,0.122
36,Dwyane Wade,MIA,27,79,42,37,38.6,105.4,3.9,10.7,16.6,2.2,31.2,1.3,29.7,11.8,10.4,9.5,31.5,0.121
37,Andrei Kirilenko,UTA,28,67,42,25,27.3,101.2,3.5,13.5,21.3,1.2,22.9,1.1,39.5,9.2,7.8,6.6,22.9,0.121
38,Kendrick Perkins,BOS,24,76,57,19,29.6,102.1,5.5,18.6,27.6,0.3,6.7,2.0,56.8,10.8,6.5,7.0,23.3,0.121
39,Tony Parker,SAS,27,72,47,25,34.1,104.1,2.7,8.5,11.9,0.9,23.8,0.1,2.2,8.5,7.5,8.4,26.9,0.119
40,Andrew Bynum,LAL,21,50,40,10,28.9,102.0,5.2,17.8,27.0,0.4,7.6,1.8,53.3,9.5,7.6,6.7,25.0,0.119
41,Andre Miller,PHI,33,82,41,41,36.3,104.8,3.0,8.8,13.5,1.3,23.1,0.2,4.5,11.9,9.7,7.8,29.1,0.118
42,David West,NOH,28,76,45,31,39.2,105.7,6.4,17.5,25.7,0.6,11.1,0.9,26.9,10.8,8.7,9.1,28.8,0.118
43,Raja Bell,CHA,32,67,36,31,34.6,104.7,3.0,9.0,13.7,0.7,15.4,0.1,3.3,12.5,9.3,7.7,26.5,0.117
44,Joe Crawford,NYK,23,2,1,1,11.4,79.1,1.5,11.1,18.8,0.5,16.7,0.0,0.0,2.0,3.0,0.0,10.0,0.117
45,Jason Kidd,DAL,36,81,50,31,35.6,105.0,5.1,14.6,21.4,2.0,34.3,0.5,12.9,10.5,9.3,9.8,28.0,0.116
46,Joel Przybilla,POR,29,82,54,28,23.8,99.9,6.3,28.5,42.4,0.4,12.9,1.2,49.7,6.9,5.5,5.2,18.2,0.114
47,Derek Fisher,LAL,34,82,65,17,29.8,102.9,2.0,6.6,10.0,1.2,23.8,0.1,2.3,8.3,7.8,6.7,25.0,0.114
48,Brandon Roy,POR,24,78,52,26,37.2,105.5,3.4,10.3,15.0,1.1,22.4,0.3,7.0,10.3,9.4,7.7,29.9,0.114
49,Tony Allen,BOS,27,46,37,9,19.3,96.9,1.8,9.4,14.4,1.2,31.6,0.5,25.3,6.8,4.9,3.6,13.0,0.113
50,Mickael Pietrus,ORL,27,54,38,16,24.6,100.5,2.4,10.1,14.6,0.6,15.3,0.4,15.6,7.8,5.8,5.7,18.9,0.113
51,Paul Millsap,UTA,24,76,44,32,30.1,103.2,5.3,18.6,28.5,1.0,18.7,1.0,32.3,10.4,8.1,7.8,26.5,0.113
52,Kirk Hinrich,CHI,28,51,28,23,26.2,101.7,2.1,7.9,12.1,1.3,31.1,0.4,15.1,8.6,7.7,5.7,20.2,0.113
53,Tyson Chandler,NOH,26,45,30,15,32.1,104.0,5.1,16.5,24.0,0.3,7.6,1.2,40.9,8.7,7.3,7.6,22.0,0.112
54,Carmelo Anthony,DEN,25,66,45,21,34.5,105.0,5.2,14.9,23.7,1.1,17.8,0.4,8.6,10.7,9.5,8.0,28.1,0.111
55,Nene,DEN,26,77,51,26,32.6,104.3,5.4,17.0,25.8,1.2,20.2,1.3,36.3,11.1,8.5,7.2,26.0,0.111
56,Josh Howard,DAL,29,52,33,19,32.0,104.5,3.9,12.3,18.3,1.1,22.9,0.6,15.7,9.6,8.5,8.6,25.2,0.109
57,Kenyon Martin,DEN,31,66,42,24,32.0,104.3,4.8,15.1,23.7,1.5,24.1,1.1,30.1,10.3,8.7,7.0,25.6,0.108
58,Udonis Haslem,MIA,29,75,40,35,34.1,105.3,6.0,19.1,28.9,0.6,9.3,0.3,8.7,10.5,8.7,8.3,28.1,0.108
59,Courtney Lee,ORL,23,77,56,21,25.2,101.6,2.1,8.0,11.9,1.0,25.0,0.2,6.4,8.1,6.9,6.0,19.4,0.108
60,JR Smith,DEN,23,81,53,28,27.7,103.0,3.1,11.0,17.9,1.0,19.3,0.2,4.5,9.9,8.4,6.8,21.5,0.107
61,Rasheed Wallace,DET,34,66,32,34,32.2,104.8,6.6,21.4,32.3,0.9,22.9,1.3,44.3,8.1,7.8,6.1,23.7,0.106
62,Richard Hamilton,DET,31,67,32,35,34.0,105.4,2.4,7.6,11.4,0.6,14.0,0.1,2.0,9.3,8.7,7.4,26.7,0.106
63,Luol Deng,CHI,24,49,23,26,34.0,105.5,4.4,12.9,20.3,1.2,23.0,0.5,12.6,12.3,10.7,8.0,29.7,0.105
64,Dirk Nowitzki,DAL,31,81,49,32,37.7,106.5,7.3,20.1,29.8,0.8,13.2,0.8,19.7,11.1,9.9,10.3,30.5,0.105
65,Matt Bonner,SAS,29,81,54,27,23.8,101.2,3.6,15.6,22.4,0.6,21.3,0.3,16.1,6.0,5.3,5.7,18.2,0.104
66,Luc Mbah a Moute,MIL,22,82,34,48,25.8,102.5,3.6,15.4,23.8,1.1,24.9,0.5,28.3,8.9,6.4,5.8,18.4,0.103
67,Shawn Marion,TOR,31,69,34,35,35.8,106.2,5.9,17.4,26.4,1.3,21.3,1.0,23.3,11.2,9.4,9.5,32.5,0.103
68,Daniel Gibson,CLE,23,75,60,15,23.9,101.6,1.7,6.9,10.8,0.6,18.7,0.2,8.7,7.9,6.1,6.3,18.0,0.103
69,Joe Johnson,ATL,28,79,45,34,39.5,107.0,3.6,9.5,14.7,1.1,17.6,0.2,6.6,11.5,10.6,10.6,33.6,0.102
70,Richard Jefferson,MIL,29,82,34,48,35.8,106.2,3.9,11.7,17.7,0.8,14.6,0.2,6.3,12.4,9.9,8.9,27.7,0.102
71,Mario Chalmers,MIA,23,82,43,39,32.0,105.2,2.3,8.0,12.1,2.0,34.2,0.1,2.8,10.2,7.8,7.9,25.7,0.102
72,Michael Redd,MIL,29,33,17,16,36.4,106.3,2.5,7.7,11.9,1.1,17.9,0.1,2.2,11.8,10.1,8.2,27.8,0.102
73,Trevor Ariza,LAL,24,82,65,17,24.4,102.1,2.9,12.1,19.1,1.7,33.3,0.3,11.3,7.7,6.8,6.1,21.3,0.101
