,PLAYER,TEAM,AGE,GP,W,L,MIN,DEF RTG,DREB,DREB%,%DREB,STL,STL%,BLK,%BLK,OPP PTS OFF TOV,OPP PTS 2ND CHANCE,OPP PTS FB,OPP PTS PAINT,DEF WS
0,Spencer Dinwiddie,BKN,28,3,2,1,21.4,88.7,4.3,15.1,22.0,0.7,22.2,0.3,7.7,5.0,8.0,5.3,20.0,0.210
1,Henry Ellenson,TOR,24,2,0,2,19.2,88.2,4.5,20.5,29.0,0.0,0.0,0.0,0.0,4.0,6.0,8.0,14.0,0.193
2,Mike Conley,UTA,33,51,37,14,29.4,99.5,2.8,8.2,11.6,1.4,34.7,0.2,5.2,9.1,7.1,7.4,26.9,0.184
3,Rudy Gobert,UTA,29,71,52,19,30.8,100.9,10.1,28.8,40.4,0.6,13.7,2.7,74.8,10.8,7.2,7.6,28.7,0.181
4,LeBron James,LAL,36,45,30,15,33.4,103.2,7.0,20.2,28.6,1.1,20.9,0.6,13.4,10.8,8.0,8.8,32.2,0.172
5,Julius Randle,NYK,26,71,40,31,37.6,106.8,9.0,22.7,32.4,0.9,17.0,0.3,6.9,12.2,9.0,8.4,34.4,0.153
6,Elijah Bryant,MIL,26,1,0,1,31.6,105.7,4.0,13.3,20.0,0.0,0.0,1.0,25.0,10.0,11.0,6.0,40.0,0.142
7,Dante Exum,HOU,25,6,3,3,19.4,96.0,2.5,12.9,19.0,0.7,14.3,0.3,20.0,7.2,2.8,5.7,15.3,0.141
8,Ben Simmons,PHI,24,58,42,16,32.4,106.0,5.6,16.6,23.2,1.6,24.9,0.6,15.1,11.3,7.3,10.2,31.6,0.140
9,RJ Barrett,NYK,21,72,41,31,34.9,107.2,4.8,13.0,18.7,0.7,14.6,0.3,7.5,11.0,8.6,8.0,32.5,0.138
10,Tobias Harris,PHI,28,62,44,18,32.5,106.1,5.8,17.0,23.7,0.9,14.7,0.8,21.2,11.5,7.5,9.5,30.7,0.138
11,Joel Embiid,PHI,27,51,39,12,31.1,105.8,8.4,25.4,36.0,1.0,16.3,1.4,37.1,10.5,7.5,9.0,29.1,0.135
12,Jimmy Butler,MIA,31,52,33,19,33.6,106.9,5.1,15.3,21.3,2.1,34.5,0.3,12.7,10.1,7.7,7.1,28.3,0.135
13,Paul George,LAC,31,54,38,16,33.7,107.0,5.8,17.1,23.6,1.1,21.8,0.4,16.4,10.4,7.5,7.3,30.3,0.134
14,De'Andre Hunter,ATL,23,23,12,11,29.5,105.9,4.0,12.5,17.8,0.8,21.3,0.5,16.7,9.2,8.5,8.1,28.8,0.131
15,Joe Ingles,UTA,33,67,47,20,27.9,104.9,3.2,10.8,14.9,0.7,16.7,0.2,6.1,10.0,7.1,7.1,27.9,0.130
16,Giannis Antetokounmpo,MIL,26,61,40,21,33.0,107.3,9.4,26.4,35.7,1.2,21.8,1.2,34.6,10.7,8.1,7.0,29.1,0.130
17,Kyle Kuzma,LAL,25,68,40,28,28.7,105.4,4.5,15.7,22.2,0.5,11.8,0.6,19.6,10.1,6.4,6.8,28.8,0.128
18,Anthony Davis,LAL,28,36,23,13,32.3,107.4,6.2,19.8,27.2,1.3,25.6,1.6,42.4,10.6,7.1,8.8,32.4,0.125
19,Royce O'Neale,UTA,28,71,51,20,31.6,107.3,5.6,16.2,22.4,0.8,19.5,0.5,13.3,11.3,7.7,7.9,33.4,0.123
20,Larry Nance Jr.,CLE,28,35,13,22,31.2,107.4,5.2,16.9,24.7,1.7,30.3,0.5,19.1,11.9,7.2,8.4,29.7,0.121
21,Bojan Bogdanovic,UTA,32,72,52,20,30.8,107.3,3.3,9.9,13.9,0.6,15.6,0.1,1.6,11.5,7.9,7.8,33.3,0.121
22,Alec Burks,NYK,29,49,27,22,25.6,104.6,4.2,15.6,22.4,0.6,17.1,0.3,10.9,7.7,6.3,4.7,22.0,0.120
23,Devonte' Graham,CHA,26,55,23,32,30.2,107.1,2.3,7.5,11.2,0.9,18.8,0.1,4.1,9.7,7.9,6.8,28.8,0.119
24,Derrick Rose,NYK,32,50,28,22,25.6,105.0,2.2,8.1,12.0,1.0,25.7,0.4,13.4,8.0,7.5,4.9,23.2,0.119
25,Reggie Bullock Jr.,NYK,30,65,38,27,30.0,107.2,3.2,10.2,14.5,0.8,18.6,0.2,5.7,9.2,7.3,7.1,28.2,0.119
26,Victor Oladipo,MIA,29,33,13,20,32.7,108.8,4.5,13.7,20.3,1.4,24.6,0.4,13.1,9.5,8.7,8.2,31.4,0.119
27,Seth Curry,PHI,30,57,39,18,28.7,106.5,2.2,7.4,10.5,0.8,14.1,0.1,4.1,9.8,6.7,8.5,27.6,0.118
28,Alex Caruso,LAL,27,58,32,26,21.0,101.7,2.4,11.4,16.3,1.1,29.9,0.3,11.3,6.8,4.7,4.4,18.8,0.118
29,PJ Dozier,DEN,24,50,36,14,21.8,102.5,2.9,13.3,18.1,0.6,16.5,0.4,19.6,6.6,4.1,4.9,18.8,0.117
